direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,B,2022-12-01 09:35:00+05:30,2022-12-01 10:00:00+05:30,18867.9,18838.891593081404,18838.891593081404,18838.891593081404,18954.925220755795,False,-29.01,14.25,37.95,STOP_LOSS,1579,1584,TP=18955 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2022-12-02 09:35:00+05:30,2022-12-02 12:40:00+05:30,18726.3,18661.1,18742.642521273003,18661.1,18629.1,True,65.2,86.7,4.95,TRAIL_SL,1654,1691,TP=18629 RR=5.95 space=112pts opp_str=62 no_align
short,B,2022-12-23 09:50:00+05:30,2022-12-23 11:00:00+05:30,17982.1,17947.775,18008.335650225305,17947.775,17903.393049324084,True,34.32,68.65,6.6,TRAIL_SL,2782,2796,TP=17903 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@18009(str=48)
short,B,2022-12-23 11:30:00+05:30,2022-12-23 11:35:00+05:30,17897.35,17911.338776453693,17911.338776453693,17911.338776453693,17855.383670638916,False,-13.99,2.2,23.8,STOP_LOSS,2802,2803,TP=17855 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-01-06 13:05:00+05:30,2023-01-06 13:45:00+05:30,17829.4,17842.617635783357,17842.617635783357,17842.617635783357,17789.747092649937,False,-13.22,33.25,22.0,STOP_LOSS,3571,3579,TP=17790 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@17857(str=53)
short,B,2023-01-27 09:45:00+05:30,2023-01-27 10:20:00+05:30,17755.2,17716.925000000003,17784.9566099265,17716.925000000003,17665.930170220505,True,38.27,87.25,2.6,TRAIL_SL,4581,4588,TP=17666 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@17781(str=61)
short,B,2023-01-27 12:15:00+05:30,2023-01-27 13:00:00+05:30,17612.2,17571.925000000003,17631.49777392964,17571.925000000003,17554.30667821108,True,40.27,80.55,11.9,TRAIL_SL,4611,4620,TP=17554 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-01-27 14:20:00+05:30,2023-01-27 14:30:00+05:30,17495.15,17515.90831512006,17515.90831512006,17515.90831512006,17432.875054639822,False,-20.76,0.95,46.05,STOP_LOSS,4636,4638,TP=17433 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-01-30 13:00:00+05:30,2023-01-30 13:25:00+05:30,17485.3,17501.200833355797,17501.200833355797,17501.200833355797,17437.59749993261,False,-15.9,26.15,33.0,STOP_LOSS,4695,4700,TP=17438 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-02-01 14:15:00+05:30,2023-02-01 14:30:00+05:30,17633.6,17606.025,17672.070389389744,17606.025,17518.188831830765,False,27.57,59.75,13.25,STOP_LOSS,4860,4863,TP=17518 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
