direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2026-01-02 14:30:00+05:30,2026-01-02 15:00:00+05:30,26285.650390625,26294.73864607938,26294.73864607938,26294.73864607938,False,-9.09,19.8,29.65,STOP_LOSS
long,2026-01-05 10:15:00+05:30,2026-01-05 11:20:00+05:30,26357.30078125,26326.453582094175,26326.453582094175,26326.453582094175,False,-30.85,15.55,36.9,STOP_LOSS
short,2026-01-08 09:30:00+05:30,2026-01-08 09:35:00+05:30,26060.69921875,26078.057964828407,26078.057964828407,26078.057964828407,False,-17.36,7.45,35.2,STOP_LOSS
long,2026-01-12 12:15:00+05:30,2026-01-12 13:00:00+05:30,25601.30078125,25705.61606868052,25565.893238792887,25705.61606868052,True,104.32,136.8,0.25,TRAIL_SL
short,2026-01-16 12:25:00+05:30,2026-01-16 14:10:00+05:30,25752.099609375,25685.8961979838,25771.190854904897,25685.8961979838,True,66.2,89.3,22.5,TRAIL_SL
long,2026-01-21 12:20:00+05:30,2026-01-21 12:25:00+05:30,25185.849609375,25142.055780847815,25142.055780847815,25142.055780847815,False,-43.79,0.75,67.35,STOP_LOSS
long,2026-01-22 09:30:00+05:30,2026-01-22 10:15:00+05:30,25406.650390625,25351.169952779746,25351.169952779746,25351.169952779746,False,-55.48,28.2,65.35,STOP_LOSS
long,2026-01-27 09:40:00+05:30,2026-01-27 10:40:00+05:30,25147.599609375,25076.769029831274,25076.769029831274,25076.769029831274,False,-70.83,36.4,127.9,STOP_LOSS
long,2026-01-27 14:50:00+05:30,2026-01-27 15:00:00+05:30,25142.5,25128.849609375,25105.74721063865,25105.74721063865,False,-13.65,12.8,41.75,SOFT_EOD_EXIT
long,2026-01-28 14:50:00+05:30,2026-01-28 15:00:00+05:30,25307.19921875,25334.349609375,25277.530298278652,25277.530298278652,False,27.15,37.3,0.0,SOFT_EOD_EXIT
short,2026-01-29 09:50:00+05:30,2026-01-29 10:10:00+05:30,25180.69921875,25209.306112366303,25209.306112366303,25209.306112366303,False,-28.61,20.65,33.65,STOP_LOSS
short,2026-02-06 09:35:00+05:30,2026-02-06 09:45:00+05:30,25544.30078125,25565.251881076518,25565.251881076518,25565.251881076518,False,-20.95,21.9,24.7,STOP_LOSS
long,2026-02-06 11:30:00+05:30,2026-02-06 12:20:00+05:30,25607.80078125,25580.485577919048,25580.485577919048,25580.485577919048,False,-27.32,49.8,37.5,STOP_LOSS
short,2026-02-09 12:50:00+05:30,2026-02-09 12:55:00+05:30,25822.349609375,25832.25211849207,25832.25211849207,25832.25211849207,False,-9.9,2.4,16.4,STOP_LOSS
long,2026-02-13 12:25:00+05:30,2026-02-13 12:50:00+05:30,25585.30078125,25564.39290581183,25564.39290581183,25564.39290581183,False,-20.91,20.75,31.6,STOP_LOSS
long,2026-02-16 10:10:00+05:30,2026-02-16 11:50:00+05:30,25551.44921875,25511.793021936133,25511.793021936133,25511.793021936133,False,-39.66,9.7,48.4,STOP_LOSS
short,2026-02-19 10:10:00+05:30,2026-02-19 12:20:00+05:30,25756.44921875,25615.78149316432,25775.67572246587,25615.78149316432,True,140.67,169.6,9.4,TRAIL_SL
short,2026-02-20 13:10:00+05:30,2026-02-20 13:30:00+05:30,25554.599609375,25573.98202245501,25573.98202245501,25573.98202245501,False,-19.38,22.6,38.9,STOP_LOSS
short,2026-02-24 09:30:00+05:30,2026-02-24 12:55:00+05:30,25513.900390625,25404.634937375176,25540.238361413016,25404.634937375176,True,109.27,126.45,21.7,TRAIL_SL
short,2026-02-25 12:30:00+05:30,2026-02-25 13:50:00+05:30,25536.19921875,25471.781377356554,25553.666002514172,25471.781377356554,True,64.42,107.8,1.65,TRAIL_SL
long,2026-02-26 14:35:00+05:30,2026-02-26 15:00:00+05:30,25471.25,25486.0,25442.57728538138,25442.57728538138,False,14.75,55.9,0.0,SOFT_EOD_EXIT
long,2026-03-02 14:30:00+05:30,2026-03-02 14:55:00+05:30,24799.75,24847.10345722518,24739.38193680804,24847.10345722518,True,47.35,92.65,0.0,TRAIL_SL
long,2026-03-05 14:50:00+05:30,2026-03-05 15:00:00+05:30,24846.55078125,24790.69921875,24780.232175728408,24780.232175728408,False,-55.85,7.35,78.5,SOFT_EOD_EXIT
long,2026-03-09 11:35:00+05:30,2026-03-09 12:05:00+05:30,23901.099609375,23851.924977920553,23851.924977920553,23851.924977920553,False,-49.17,30.9,59.15,STOP_LOSS
short,2026-03-11 09:50:00+05:30,2026-03-11 10:55:00+05:30,24148.55078125,24092.52431185912,24177.954166758853,24092.52431185912,True,56.03,99.15,22.0,TRAIL_SL
short,2026-03-16 10:15:00+05:30,2026-03-16 10:35:00+05:30,23100.0,23052.62041038042,23135.416895048776,23052.62041038042,True,47.38,75.05,0.6,TRAIL_SL
long,2026-03-16 14:25:00+05:30,2026-03-16 15:00:00+05:30,23347.849609375,23425.291661910407,23284.807138795062,23425.291661910407,True,77.44,154.15,10.2,TRAIL_SL
long,2026-03-20 09:30:00+05:30,2026-03-20 09:40:00+05:30,23313.80078125,23241.313380120573,23241.313380120573,23241.313380120573,False,-72.49,5.1,84.85,STOP_LOSS
short,2026-03-20 12:15:00+05:30,2026-03-20 12:45:00+05:30,23185.599609375,23208.978882241183,23208.978882241183,23208.978882241183,False,-23.38,65.25,41.1,STOP_LOSS
long,2026-03-25 09:30:00+05:30,2026-03-25 11:20:00+05:30,23233.44921875,23414.73178774206,23172.86450657978,23414.73178774206,True,181.28,200.8,30.9,TRAIL_SL
short,2026-03-25 14:20:00+05:30,2026-03-25 14:40:00+05:30,23321.400390625,23347.753685929976,23347.753685929976,23347.753685929976,False,-26.35,16.9,46.65,STOP_LOSS
