direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason
long,2025-12-19 10:10:00+05:30,2025-12-19 14:25:00+05:30,25935.599609375,25971.05078125,25909.60856024469,25980.878155963597,True,35.45,57.5,30.0,53.45,TRAIL_SL
long,2025-12-22 10:25:00+05:30,2025-12-22 15:00:00+05:30,26124.849609375,26176.69921875,26105.829358199793,26105.829358199793,False,51.85,54.5,13.1,51.85,SOFT_EOD_EXIT
long,2025-12-31 14:15:00+05:30,2025-12-31 15:00:00+05:30,26160.94921875,26134.25,26146.35962800941,26146.35962800941,False,-26.7,26.05,28.95,23.05,STOP_LOSS
long,2026-01-02 10:25:00+05:30,2026-01-02 12:45:00+05:30,26247.099609375,26289.400390625,26227.18388699327,26302.267191060335,True,42.3,65.15,12.05,62.5,TRAIL_SL
long,2026-01-28 09:50:00+05:30,2026-01-28 13:20:00+05:30,25288.400390625,25238.30078125,25244.72685086191,25244.72685086191,False,-50.1,62.65,73.35,49.5,STOP_LOSS
long,2026-01-29 14:15:00+05:30,2026-01-29 15:00:00+05:30,25401.849609375,25419.400390625,25372.79785846439,25372.79785846439,False,17.55,55.35,3.2,49.35,SOFT_EOD_EXIT
long,2026-01-30 14:25:00+05:30,2026-01-30 15:00:00+05:30,25336.099609375,25314.05078125,25308.322377467168,25308.322377467168,False,-22.05,32.7,42.8,16.35,SOFT_EOD_EXIT
long,2026-02-03 09:55:00+05:30,2026-02-03 10:45:00+05:30,25702.599609375,25763.69921875,25595.643336830504,25780.222600347013,True,61.1,119.05,60.25,111.4,TRAIL_SL
long,2026-02-04 14:45:00+05:30,2026-02-04 15:00:00+05:30,25795.05078125,25789.900390625,25773.654299689988,25773.654299689988,False,-5.15,17.35,15.2,0.6,SOFT_EOD_EXIT
long,2026-02-09 10:10:00+05:30,2026-02-09 11:30:00+05:30,25801.599609375,25848.400390625,25770.07502580519,25854.48805137175,True,46.8,68.45,7.6,63.0,TRAIL_SL
long,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25656.80078125,25681.962149454237,25681.962149454237,False,-61.05,15.85,62.7,10.65,STOP_LOSS
