direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason
short,C,2025-12-18 09:40:00+05:30,2025-12-18 10:05:00+05:30,25745.099609375,25774.55078125,25756.504076712663,25756.504076712663,False,-29.45,18.35,30.25,4.35,STOP_LOSS
long,C,2025-12-18 10:30:00+05:30,2025-12-18 11:00:00+05:30,25855.400390625,25827.5,25834.5787755423,25834.5787755423,False,-27.9,8.5,29.6,0.0,STOP_LOSS
long,C,2025-12-19 09:30:00+05:30,2025-12-19 10:10:00+05:30,25963.5,25935.599609375,25939.813186563617,25939.813186563617,False,-27.9,6.75,34.45,3.25,STOP_LOSS
long,A,2025-12-19 10:10:00+05:30,2025-12-19 11:40:00+05:30,25935.599609375,25913.400390625,25917.189282907697,25917.189282907697,False,-22.2,43.1,22.2,39.25,STOP_LOSS
long,C,2025-12-22 09:30:00+05:30,2025-12-22 15:10:00+05:30,26125.25,26174.80078125,26102.288872290537,26102.288872290537,False,49.55,55.3,14.05,51.45,SOFT_EOD_EXIT
long,C,2025-12-23 11:15:00+05:30,2025-12-23 11:30:00+05:30,26195.75,26183.900390625,26185.353274921836,26185.353274921836,False,-11.85,0.5,15.55,0.0,STOP_LOSS
long,C,2025-12-24 10:25:00+05:30,2025-12-24 10:45:00+05:30,26230.94921875,26207.849609375,26217.658293711793,26217.658293711793,False,-23.1,4.4,25.55,0.0,STOP_LOSS
short,C,2025-12-26 09:30:00+05:30,2025-12-26 14:55:00+05:30,26109.349609375,26038.94921875,26119.820820110854,26019.788224175594,True,70.4,100.6,3.0,96.6,TRAIL_SL
long,C,2025-12-29 09:35:00+05:30,2025-12-29 09:55:00+05:30,26075.30078125,26037.25,26060.15071262061,26060.15071262061,False,-38.05,11.85,39.2,5.1,STOP_LOSS
short,C,2025-12-29 10:40:00+05:30,2025-12-29 15:10:00+05:30,26003.400390625,25944.05078125,26010.584831914384,26010.584831914384,False,59.35,81.15,8.4,76.1,SOFT_EOD_EXIT
