direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
long,C,2025-12-18 10:20:00+05:30,2025-12-18 12:50:00+05:30,25834.44921875,25880.69921875,25804.865964303393,25885.132026554824,True,46.25,66.85,14.6,59.4,TRAIL_SL,150,2H:30M,46.25,0.2,0.237,0.0008,-10.0,6.0,9.71,9.71,0.0,10.0201,0.0,64.1719,-4.0,0.0,6.0201,6.0201,451.5,50.0,401.5,19.2582
long,C,2025-12-19 09:30:00+05:30,2025-12-19 11:30:00+05:30,25963.5,25929.75,25930.059815650056,25930.059815650056,False,-33.75,15.2,37.2,11.35,STOP_LOSS,120,2H:00M,-33.75,0.2,0.173,0.0008,-10.0,6.0,9.52,9.52,0.0,-6.3399,0.0,34.1719,-3.2,0.0,-9.5399,-9.5399,-715.5,50.0,-765.5,15.5184
long,C,2025-12-22 09:30:00+05:30,2025-12-22 15:10:00+05:30,26125.25,26174.80078125,26092.834290293024,26092.834290293024,False,49.55,55.3,14.05,51.45,SOFT_EOD_EXIT,340,5H:40M,49.5508,0.2,0.239641,0.0008,-10.0,6.0,9.68,9.68,0.0,10.7941,0.0,73.6584,-9.0667,0.0,1.7274,1.7274,129.55,50.0,79.55,41.8333
long,C,2025-12-23 11:15:00+05:30,2025-12-23 11:35:00+05:30,26195.75,26171.19921875,26181.072270477885,26181.072270477885,False,-24.55,0.5,27.4,0.0,STOP_LOSS,20,0H:20M,-24.5508,0.2,0.180359,0.0008,-10.0,6.0,9.38,9.38,0.0,-4.6932,0.0,18.0822,-0.5333,0.0,-5.2265,-5.2265,-391.99,50.0,-441.99,2.6526
long,C,2025-12-24 10:25:00+05:30,2025-12-24 10:45:00+05:30,26230.94921875,26207.849609375,26212.18555987253,26212.18555987253,False,-23.1,4.4,25.55,0.0,STOP_LOSS,20,0H:20M,-23.0996,0.2,0.18152,0.0008,-10.0,6.0,9.19,9.19,0.0,-4.4278,0.0,16.0078,-0.5333,0.0,-4.9612,-4.9612,-372.09,50.0,-422.09,2.6526
short,C,2025-12-26 09:30:00+05:30,2025-12-26 14:55:00+05:30,26109.349609375,26038.94921875,26125.056425478782,26019.788224175594,True,70.4,100.6,3.0,96.6,TRAIL_SL,325,5H:25M,-70.4004,-0.2,-0.25632,0.0008,-10.0,6.0,9.15,9.15,0.0,15.8643,0.0,148.6865,-8.6667,0.0,7.1976,7.1976,539.82,50.0,489.82,-40.1149
long,C,2025-12-29 09:35:00+05:30,2025-12-29 09:55:00+05:30,26075.30078125,26037.25,26053.91244906733,26053.91244906733,False,-38.05,11.85,39.2,5.1,STOP_LOSS,20,0H:20M,-38.0508,0.2,0.169559,0.0008,-10.0,6.0,9.72,9.72,0.0,-7.0889,0.0,43.4359,-0.5333,0.0,-7.6223,-7.6223,-571.67,50.0,-621.67,2.6526
short,C,2025-12-29 10:40:00+05:30,2025-12-29 15:10:00+05:30,26003.400390625,25944.05078125,26014.177052559073,26014.177052559073,False,59.35,81.15,8.4,76.1,SOFT_EOD_EXIT,270,4H:30M,-59.3496,-0.2,-0.24748,0.0008,-10.0,6.0,9.72,9.72,0.0,13.138,0.0,105.6713,-7.2,0.0,5.938,5.938,445.35,50.0,395.35,-33.7252
short,C,2025-12-30 09:30:00+05:30,2025-12-30 09:35:00+05:30,25905.349609375,25924.150390625,25920.47767022944,25920.47767022944,False,-18.8,1.75,19.75,0.0,STOP_LOSS,5,0H:05M,18.8008,-0.2,-0.184959,0.0008,-10.0,6.0,9.68,9.68,0.0,-3.6329,0.0,10.6041,-0.1333,0.0,-3.7662,-3.7662,-282.47,50.0,-332.47,-0.6658
long,C,2025-12-31 09:30:00+05:30,2025-12-31 09:40:00+05:30,26004.80078125,25973.25,25974.57018510465,25974.57018510465,False,-31.55,8.6,32.75,2.1,STOP_LOSS,10,0H:10M,-31.5508,0.2,0.174759,0.0008,-10.0,6.0,9.48,9.48,0.0,-5.9518,0.0,29.8636,-0.2667,0.0,-6.2185,-6.2185,-466.38,50.0,-516.38,1.3298
long,A,2025-12-31 09:40:00+05:30,2025-12-31 11:20:00+05:30,25973.25,26044.44921875,25941.89969250638,26051.566585074026,True,71.2,90.5,3.9,86.45,TRAIL_SL,100,1H:40M,71.1992,0.2,0.256959,0.0008,-10.0,6.0,9.48,9.48,0.0,16.0648,0.0,152.0799,-2.6667,0.0,13.3981,13.3981,1004.86,50.0,954.86,12.9956
long,A,2025-12-31 11:20:00+05:30,2025-12-31 13:15:00+05:30,26044.44921875,26147.25,26027.656716211648,26148.44339169159,True,102.8,112.25,4.1,110.9,TRAIL_SL,115,1H:55M,102.8008,0.2,0.282241,0.0008,-10.0,6.0,9.48,9.48,0.0,24.3646,0.0,317.04,-3.0667,0.0,21.298,21.298,1597.35,50.0,1547.35,14.8899
