bottom,top,center,strength,touches,kinds
25699.150390625,25720.44921875,25708.758355034723,20,18,"['high', 'low']"
25590.5,25613.099609375,25604.546752929688,18,16,"['high', 'low']"
25645.900390625,25669.75,25657.571899414062,18,16,"['low', 'high']"
25508.69921875,25532.0,25523.156770833335,17,15,"['low', 'high']"
25806.849609375,25831.099609375,25820.83671875,17,15,"['low', 'high']"
25728.94921875,25753.19921875,25740.13211495536,16,14,"['high', 'low']"
25564.19921875,25586.849609375,25574.15760216346,15,13,"['high', 'low']"
25620.05078125,25642.75,25632.57707331731,15,13,"['low', 'high']"
25754.650390625,25770.69921875,25762.441731770832,14,12,"['high', 'low']"
25428.400390625,25446.099609375,25435.849964488636,13,11,"['low', 'high']"
25483.599609375,25507.150390625,25498.045454545456,13,11,"['low', 'high']"
25673.099609375,25695.849609375,25683.119921875,12,10,"['low', 'high']"
25861.44921875,25886.400390625,25874.455078125,12,10,"['low', 'high']"
25889.0,25909.94921875,25901.6595703125,12,10,"['low', 'high']"
26178.0,26200.19921875,26188.024739583332,12,12,['high']
25232.0,25251.55078125,25241.800347222223,11,9,"['high', 'low']"
25266.44921875,25291.30078125,25279.41259765625,10,8,"['high', 'low']"
25292.650390625,25316.599609375,25303.975341796875,10,8,"['high', 'low']"
25345.349609375,25368.80078125,25353.98779296875,10,8,"['low', 'high']"
25538.900390625,25561.150390625,25550.706298828125,10,8,"['low', 'high']"
23200.650390625,23218.150390625,23210.743024553572,9,7,"['high', 'low']"
25318.19921875,25341.650390625,25328.564453125,9,7,"['high', 'low']"
25835.5,25860.30078125,25843.32840401786,9,7,"['high', 'low']"
25925.55078125,25946.19921875,25937.871651785714,9,7,"['high', 'low']"
25950.849609375,25970.75,25965.921316964286,9,7,"['low', 'high']"
26125.099609375,26149.30078125,26135.92795138889,9,9,['low']
24648.69921875,24672.5,24660.24365234375,8,8,['high']
25168.5,25188.150390625,25178.69140625,8,6,"['low', 'high']"
25370.599609375,25394.099609375,25379.991536458332,8,6,"['high', 'low']"
25780.900390625,25801.80078125,25789.983723958332,8,6,"['high', 'low']"
26097.25,26118.400390625,26110.841796875,8,6,"['low', 'high']"
26297.099609375,26314.55078125,26310.625,8,6,"['high', 'low']"
23258.599609375,23281.19921875,23270.730078125,7,5,"['high', 'low']"
23738.44921875,23760.900390625,23751.549609375,7,5,"['low', 'high']"
24296.650390625,24316.25,24303.780078125,7,5,"['low', 'high']"
25138.19921875,25162.05078125,25153.3,7,5,"['low', 'high']"
25454.75,25475.19921875,25464.2796875,7,5,"['low', 'high']"
26150.150390625,26167.94921875,26158.519921875,7,5,"['high', 'low']"
