direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
short,B,2026-03-23 09:40:00+05:30,2026-03-23 13:35:00+05:30,22706.400390625,22517.55078125,22756.32054137573,22517.55078125,22556.639938372802,True,188.85,234.3,0.25,TRAIL_SL,155,202,TP=22557 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-03-27 09:50:00+05:30,2026-03-27 12:25:00+05:30,23014.94921875,22959.25,23049.370635366817,22959.25,22911.684968899553,True,55.7,108.55,23.7,TRAIL_SL,382,413,TP=22912 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,A,2026-03-30 09:30:00+05:30,2026-03-30 11:35:00+05:30,22683.599609375,22511.30078125,22738.313514756603,22511.30078125,22519.457893230192,True,172.3,229.6,29.7,TRAIL_SL,453,478,TP=22519 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,A,2026-03-30 11:55:00+05:30,2026-03-30 12:00:00+05:30,22484.0,22506.986787162878,22506.986787162878,22506.986787162878,22415.03963851137,False,-22.99,3.7,76.6,STOP_LOSS,482,483,TP=22415 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-04-02 09:35:00+05:30,2026-04-02 12:30:00+05:30,22251.44921875,22301.67890951602,22301.67890951602,22301.67890951602,22100.76014645194,False,-50.23,68.15,68.0,STOP_LOSS,604,639,TP=22101 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2026-04-06 12:50:00+05:30,2026-04-07 09:15:00+05:30,22775.25,22949.19921875,22722.757271423143,22949.19921875,23048.98,True,173.95,222.4,54.8,TRAIL_SL,718,750,TP=23049 RR=5.21 space=289pts opp_str=79 no_align
short,B,2026-04-07 09:40:00+05:30,2026-04-07 09:55:00+05:30,22801.80078125,22846.611179521296,22846.611179521296,22846.611179521296,22667.369586436114,False,-44.81,0.0,90.85,STOP_LOSS,755,758,TP=22667 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2026-04-07 10:25:00+05:30,2026-04-07 10:50:00+05:30,22943.650390625,22889.73869458273,22889.73869458273,22889.73869458273,23048.98,False,-53.91,21.6,81.25,STOP_LOSS,764,769,TP=23049 RR=1.95 space=120pts opp_str=79 no_align
long,B,2026-04-15 09:40:00+05:30,2026-04-15 10:50:00+05:30,24207.349609375,24236.55078125,24134.433103342522,24236.55078125,24426.099127472437,True,29.2,65.8,20.65,TRAIL_SL,1130,1144,TP=24426 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-04-16 09:35:00+05:30,2026-04-16 09:55:00+05:30,24326.80078125,24279.32202328103,24279.32202328103,24279.32202328103,24469.237055156904,False,-47.48,10.25,55.65,STOP_LOSS,1204,1208,TP=24469 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
