entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
2025-12-12 09:40:00+05:30,2025-12-12 10:45:00+05:30,26023.900390625,25953.349609375,0.0,-70.55,STOP_LOSS
2025-12-12 11:30:00+05:30,2025-12-12 12:25:00+05:30,26017.099609375,26023.650390625,11.75,6.55,PEAK_STAGNANT
2025-12-12 14:10:00+05:30,2025-12-12 15:15:00+05:30,26043.05078125,26046.44921875,11.05,3.4,EOD_EXIT
2025-12-18 10:30:00+05:30,2025-12-18 13:10:00+05:30,25855.400390625,25879.80078125,38.45,24.4,PEAK_STAGNANT
2025-12-19 09:40:00+05:30,2025-12-19 11:10:00+05:30,25956.400390625,25954.75,18.45,-1.65,PEAK_STAGNANT
2025-12-19 13:45:00+05:30,2025-12-19 14:50:00+05:30,25977.150390625,25964.69921875,11.9,-12.45,PEAK_STAGNANT
2025-12-22 10:05:00+05:30,2025-12-22 11:25:00+05:30,26127.94921875,26136.55078125,14.65,8.6,PEAK_STAGNANT
2025-12-23 11:15:00+05:30,2025-12-23 14:40:00+05:30,26195.75,26166.849609375,26.55,-28.9,ST_TOUCH
2025-12-30 10:25:00+05:30,2025-12-30 11:00:00+05:30,25965.099609375,25926.25,8.6,-38.85,PEAK_STAGNANT
2025-12-31 10:25:00+05:30,2025-12-31 15:00:00+05:30,26018.099609375,26134.25,165.9,116.15,ST_TOUCH
2026-01-02 09:50:00+05:30,2026-01-02 13:00:00+05:30,26268.0,26296.75,41.6,28.75,PEAK_STAGNANT
2026-01-05 10:25:00+05:30,2026-01-05 11:05:00+05:30,26354.55078125,26353.099609375,8.45,-1.45,PEAK_STAGNANT
2026-01-05 11:05:00+05:30,2026-01-05 11:40:00+05:30,26353.099609375,26338.69921875,6.15,-14.4,PEAK_STAGNANT
2026-01-12 14:20:00+05:30,2026-01-12 15:15:00+05:30,25763.55078125,25785.69921875,46.9,22.15,EOD_EXIT
2026-01-14 11:20:00+05:30,2026-01-14 12:30:00+05:30,25737.5,25765.150390625,49.45,27.65,PEAK_STAGNANT
2026-01-16 09:55:00+05:30,2026-01-16 11:05:00+05:30,25739.25,25829.400390625,126.0,90.15,PEAK_STAGNANT
2026-01-19 14:00:00+05:30,2026-01-19 14:35:00+05:30,25617.599609375,25615.30078125,1.25,-2.3,PEAK_STAGNANT
2026-01-27 09:50:00+05:30,2026-01-27 10:25:00+05:30,25137.25,25117.69921875,39.35,-19.55,BREAKEVEN_SL
2026-01-28 11:15:00+05:30,2026-01-28 11:50:00+05:30,25322.55078125,25314.599609375,15.35,-7.95,PEAK_STAGNANT
2026-01-29 13:45:00+05:30,2026-01-29 15:00:00+05:30,25419.5,25419.400390625,31.7,-0.1,BREAKEVEN_SL
2026-01-30 13:55:00+05:30,2026-01-30 14:35:00+05:30,25342.650390625,25344.849609375,23.0,2.2,PEAK_STAGNANT
2026-02-06 14:05:00+05:30,2026-02-06 15:15:00+05:30,25625.30078125,25695.19921875,73.2,69.9,EOD_EXIT
2026-02-09 10:30:00+05:30,2026-02-09 11:25:00+05:30,25826.25,25858.400390625,38.35,32.15,PEAK_STAGNANT
2026-02-09 11:25:00+05:30,2026-02-09 12:05:00+05:30,25858.400390625,25855.19921875,1.6,-3.2,PEAK_STAGNANT
2026-02-10 09:40:00+05:30,2026-02-10 11:00:00+05:30,25949.400390625,25964.599609375,27.35,15.2,PEAK_STAGNANT
2026-02-16 10:10:00+05:30,2026-02-16 13:00:00+05:30,25551.44921875,25570.650390625,32.85,19.2,PEAK_STAGNANT
2026-02-17 10:25:00+05:30,2026-02-17 13:35:00+05:30,25724.400390625,25742.25,35.05,17.85,PEAK_STAGNANT
2026-02-20 10:30:00+05:30,2026-02-20 11:10:00+05:30,25570.849609375,25561.849609375,25.8,-9.0,PEAK_STAGNANT
2026-02-25 10:05:00+05:30,2026-02-25 11:00:00+05:30,25629.849609375,25615.05078125,13.45,-14.8,PEAK_STAGNANT
2026-03-02 14:20:00+05:30,2026-03-02 15:15:00+05:30,24779.25,24912.099609375,132.85,132.85,EOD_EXIT
2026-03-05 10:00:00+05:30,2026-03-05 10:35:00+05:30,24623.25,24627.69921875,5.35,4.45,PEAK_STAGNANT
2026-03-10 10:40:00+05:30,2026-03-10 11:15:00+05:30,24217.05078125,24210.25,5.35,-6.8,PEAK_STAGNANT
