direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason
long,2025-12-15 11:05:00+05:30,2025-12-15 15:15:00+05:30,25977.349609375,26023.55078125,25958.832228666863,26042.16044185348,46.2,EOD_EXIT
short,2025-12-16 10:30:00+05:30,2025-12-16 15:15:00+05:30,25913.25,25849.908597227342,25931.34754364933,25849.908597227342,63.34,TAKE_PROFIT
long,2025-12-19 10:55:00+05:30,2025-12-19 11:25:00+05:30,25962.400390625,25946.3857848706,25946.3857848706,26018.451510765408,-16.01,STOP_LOSS
long,2025-12-22 10:35:00+05:30,2025-12-22 15:00:00+05:30,26122.80078125,26175.500357551427,26107.743759449593,26175.500357551427,52.7,TAKE_PROFIT
short,2025-12-26 10:25:00+05:30,2025-12-26 12:40:00+05:30,26091.75,26039.968632187007,26106.544676518,26039.968632187007,51.78,TAKE_PROFIT
long,2025-12-31 09:50:00+05:30,2025-12-31 11:40:00+05:30,25984.150390625,26064.635873291576,25961.154538434548,26064.635873291576,80.49,TAKE_PROFIT
long,2025-12-31 13:35:00+05:30,2025-12-31 15:05:00+05:30,26143.05078125,26130.56585903742,26130.56585903742,26186.748008994033,-12.48,STOP_LOSS
long,2026-01-02 11:05:00+05:30,2026-01-02 12:30:00+05:30,26252.0,26299.514230402467,26238.424505599294,26299.514230402467,47.51,TAKE_PROFIT
long,2026-01-05 10:55:00+05:30,2026-01-05 11:20:00+05:30,26349.599609375,26330.95940881671,26330.95940881671,26414.840311329015,-18.64,STOP_LOSS
short,2026-01-07 13:45:00+05:30,2026-01-07 14:00:00+05:30,26082.900390625,26096.11489570584,26096.11489570584,26036.649622842066,-13.21,STOP_LOSS
short,2026-01-08 13:00:00+05:30,2026-01-08 15:15:00+05:30,25923.75,25874.099609375,25941.517973490732,25861.56209278244,49.65,EOD_EXIT
short,2026-01-12 09:45:00+05:30,2026-01-12 12:20:00+05:30,25595.44921875,25633.459905068983,25633.459905068983,25462.411816633557,-38.01,STOP_LOSS
short,2026-01-14 14:10:00+05:30,2026-01-14 14:45:00+05:30,25663.19921875,25685.33117124412,25685.33117124412,25585.737385020577,-22.13,STOP_LOSS
long,2026-01-16 10:55:00+05:30,2026-01-16 11:35:00+05:30,25829.5,25804.90847105192,25804.90847105192,25915.570351318274,-24.59,STOP_LOSS
short,2026-01-19 11:10:00+05:30,2026-01-19 13:45:00+05:30,25537.75,25561.291137728527,25561.291137728527,25455.356017950155,-23.54,STOP_LOSS
short,2026-01-20 10:05:00+05:30,2026-01-20 13:35:00+05:30,25479.80078125,25376.46420971396,25509.325515974582,25376.46420971396,103.34,TAKE_PROFIT
short,2026-01-21 11:30:00+05:30,2026-01-21 12:00:00+05:30,25043.650390625,25085.27572428967,25085.27572428967,24897.96172279866,-41.63,STOP_LOSS
long,2026-01-22 10:05:00+05:30,2026-01-22 10:25:00+05:30,25366.150390625,25327.684785471796,25327.684785471796,25500.78000866121,-38.47,STOP_LOSS
short,2026-01-22 11:25:00+05:30,2026-01-22 14:40:00+05:30,25247.25,25283.34602142807,25283.34602142807,25120.91392500175,-36.1,STOP_LOSS
long,2026-01-23 09:45:00+05:30,2026-01-23 10:15:00+05:30,25300.25,25261.899981710638,25261.899981710638,25434.475064012768,-38.35,STOP_LOSS
short,2026-01-23 14:25:00+05:30,2026-01-23 15:15:00+05:30,25069.349609375,25039.25,25099.193029402813,24964.897639277657,30.1,EOD_EXIT
short,2026-01-27 11:20:00+05:30,2026-01-27 11:35:00+05:30,25039.400390625,25078.711071341015,25078.711071341015,24901.813008118945,-39.31,STOP_LOSS
long,2026-01-28 10:00:00+05:30,2026-01-28 10:05:00+05:30,25289.80078125,25254.14542210199,25254.14542210199,25414.594538268033,-35.66,STOP_LOSS
short,2026-01-29 10:20:00+05:30,2026-01-29 11:10:00+05:30,25213.30078125,25249.251876738897,25249.251876738897,25087.47194703886,-35.95,STOP_LOSS
long,2026-01-29 14:55:00+05:30,2026-01-29 15:10:00+05:30,25434.80078125,25415.435398359,25415.435398359,25502.579621368503,-19.37,STOP_LOSS
short,2026-01-30 13:30:00+05:30,2026-01-30 13:40:00+05:30,25254.30078125,25276.252391464255,25276.252391464255,25177.4701455001,-21.95,STOP_LOSS
long,2026-02-03 10:45:00+05:30,2026-02-03 15:15:00+05:30,25763.69921875,25741.30078125,25712.281637193668,25943.66075419716,-22.4,EOD_EXIT
long,2026-02-04 14:00:00+05:30,2026-02-04 15:15:00+05:30,25766.19921875,25768.94921875,25749.931330864463,25823.13682634937,2.75,EOD_EXIT
short,2026-02-05 11:00:00+05:30,2026-02-05 11:10:00+05:30,25643.099609375,25668.958420727664,25668.958420727664,25552.593769640673,-25.86,STOP_LOSS
short,2026-02-06 10:20:00+05:30,2026-02-06 11:10:00+05:30,25544.69921875,25572.812500089396,25572.812500089396,25446.30273406211,-28.11,STOP_LOSS
long,2026-02-09 10:10:00+05:30,2026-02-09 15:15:00+05:30,25801.599609375,25868.650390625,25775.329123066826,25893.546311453614,67.05,EOD_EXIT
long,2026-02-10 10:40:00+05:30,2026-02-10 13:20:00+05:30,25960.69921875,25944.56640814066,25944.56640814066,26017.16405588268,-16.13,STOP_LOSS
short,2026-02-12 09:55:00+05:30,2026-02-12 14:45:00+05:30,25865.099609375,25792.240665226414,25885.91645056031,25792.240665226414,72.86,TAKE_PROFIT
short,2026-02-13 10:50:00+05:30,2026-02-13 12:25:00+05:30,25559.849609375,25581.589946179276,25581.589946179276,25483.75843056004,-21.74,STOP_LOSS
