direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
long,2025-12-15 11:05:00+05:30,2025-12-15 15:15:00+05:30,25977.349609375,26023.55078125,25955.128752525234,46.2,EOD_EXIT
short,2025-12-16 10:15:00+05:30,2025-12-16 15:15:00+05:30,25912.44921875,25841.05078125,25928.19280425859,71.4,EOD_EXIT
short,2025-12-17 10:45:00+05:30,2025-12-17 11:45:00+05:30,25828.150390625,25842.96800121506,25842.96800121506,-14.82,STOP_LOSS
long,2025-12-19 10:55:00+05:30,2025-12-19 11:25:00+05:30,25962.400390625,25943.182863719718,25943.182863719718,-19.22,STOP_LOSS
long,2025-12-22 10:35:00+05:30,2025-12-22 15:15:00+05:30,26122.80078125,26168.400390625,26104.73235508951,45.6,EOD_EXIT
short,2025-12-26 10:25:00+05:30,2025-12-26 15:15:00+05:30,26091.75,26039.400390625,26102.8460073885,52.35,EOD_EXIT
long,2025-12-31 11:20:00+05:30,2025-12-31 15:00:00+05:30,26044.44921875,26175.20457643261,26175.20457643261,130.76,TRAIL_SL
long,2026-01-02 11:05:00+05:30,2026-01-02 15:15:00+05:30,26252.0,26326.25,26235.709406719154,74.25,EOD_EXIT
long,2026-01-05 10:55:00+05:30,2026-01-05 11:20:00+05:30,26349.599609375,26327.231368705052,26327.231368705052,-22.37,STOP_LOSS
short,2026-01-07 13:45:00+05:30,2026-01-07 14:00:00+05:30,26082.900390625,26092.811269435628,26092.811269435628,-9.91,STOP_LOSS
short,2026-01-08 13:00:00+05:30,2026-01-08 15:15:00+05:30,25923.75,25874.099609375,25937.07598011805,49.65,EOD_EXIT
short,2026-01-09 09:50:00+05:30,2026-01-09 12:00:00+05:30,25877.30078125,25754.382822488664,25754.382822488664,122.92,TRAIL_SL
short,2026-01-12 09:45:00+05:30,2026-01-12 11:45:00+05:30,25595.44921875,25489.972838210546,25489.972838210546,105.48,TRAIL_SL
short,2026-01-12 11:55:00+05:30,2026-01-12 12:05:00+05:30,25501.55078125,25515.657301498413,25515.657301498413,-14.11,STOP_LOSS
short,2026-01-14 14:10:00+05:30,2026-01-14 14:45:00+05:30,25663.19921875,25679.79818312059,25679.79818312059,-16.6,STOP_LOSS
long,2026-01-16 10:55:00+05:30,2026-01-16 11:40:00+05:30,25829.5,25799.990165262305,25799.990165262305,-29.51,STOP_LOSS
short,2026-01-16 14:10:00+05:30,2026-01-16 14:40:00+05:30,25688.25,25706.512970992866,25706.512970992866,-18.26,STOP_LOSS
