direction,entry_method,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
long,MOMENTUM,2025-12-22 09:30:00+05:30,2025-12-22 10:15:00+05:30,26125.25,26132.900390625,26092.833923280952,26092.833923280952,False,7.65,16.65,14.05,TIME_EXIT
long,RETEST,2025-12-22 10:25:00+05:30,2025-12-22 11:10:00+05:30,26124.849609375,26123.94921875,26105.829282157923,26105.829282157923,False,-0.9,22.4,6.65,TIME_EXIT
short,MOMENTUM,2025-12-26 09:35:00+05:30,2025-12-26 10:20:00+05:30,26094.69921875,26081.55078125,26110.30183176911,26110.30183176911,False,13.15,23.0,7.4,TIME_EXIT
short,MOMENTUM,2025-12-26 10:20:00+05:30,2025-12-26 10:35:00+05:30,26081.55078125,26092.663437010768,26092.663437010768,26092.663437010768,False,-11.11,2.6,14.7,STOP_LOSS
short,MOMENTUM,2025-12-30 09:30:00+05:30,2025-12-30 09:35:00+05:30,25905.349609375,25920.47767022944,25920.47767022944,25920.47767022944,False,-15.13,1.75,19.75,STOP_LOSS
long,MOMENTUM,2026-01-02 09:35:00+05:30,2026-01-02 09:55:00+05:30,26211.650390625,26255.15128652384,26186.134887085365,26255.15128652384,True,43.5,59.15,0.95,TRAIL_SL
long,MOMENTUM,2026-01-02 09:55:00+05:30,2026-01-02 10:40:00+05:30,26254.599609375,26253.650390625,26229.896631016323,26229.896631016323,False,-0.95,11.6,19.55,TIME_EXIT
long,MOMENTUM,2026-01-05 10:20:00+05:30,2026-01-05 11:05:00+05:30,26367.69921875,26353.099609375,26338.140916981618,26338.140916981618,False,-14.6,5.15,33.75,TIME_EXIT
short,RETEST,2026-01-06 09:30:00+05:30,2026-01-06 09:55:00+05:30,26215.05078125,26236.254272020684,26236.254272020684,26236.254272020684,False,-21.2,24.4,43.95,STOP_LOSS
short,MOMENTUM,2026-01-07 09:50:00+05:30,2026-01-07 09:55:00+05:30,26108.05078125,26127.425665620074,26127.425665620074,26127.425665620074,False,-19.37,0.95,31.0,STOP_LOSS
short,MOMENTUM,2026-01-08 10:10:00+05:30,2026-01-08 10:55:00+05:30,26061.150390625,26016.900390625,26078.140388206415,26078.140388206415,False,44.25,47.85,0.85,TIME_EXIT
short,MOMENTUM,2026-01-09 09:30:00+05:30,2026-01-09 09:40:00+05:30,25837.150390625,25863.592914251007,25863.592914251007,25863.592914251007,False,-26.44,18.8,39.55,STOP_LOSS
short,RETEST,2026-01-09 09:50:00+05:30,2026-01-09 10:35:00+05:30,25877.30078125,25851.0,25906.36686049956,25906.36686049956,False,26.3,38.75,24.65,TIME_EXIT
short,MOMENTUM,2026-01-12 09:30:00+05:30,2026-01-12 09:45:00+05:30,25568.75,25595.368179148238,25595.368179148238,25595.368179148238,False,-26.62,25.1,28.35,STOP_LOSS
short,RETEST,2026-01-12 09:45:00+05:30,2026-01-12 10:30:00+05:30,25595.44921875,25570.94921875,25623.957233489236,25623.957233489236,False,24.5,49.5,13.1,TIME_EXIT
long,MOMENTUM,2026-01-16 10:15:00+05:30,2026-01-16 11:00:00+05:30,25836.75,25824.650390625,25798.944386156207,25798.944386156207,False,-12.1,36.1,12.55,TIME_EXIT
short,MOMENTUM,2026-01-19 09:30:00+05:30,2026-01-19 10:15:00+05:30,25588.0,25533.150390625,25616.843119885787,25616.843119885787,False,54.85,82.65,8.3,TIME_EXIT
short,RETEST,2026-01-19 10:20:00+05:30,2026-01-19 11:05:00+05:30,25540.650390625,25546.849609375,25561.710909886246,25561.710909886246,False,-6.2,45.7,23.55,TIME_EXIT
short,MOMENTUM,2026-01-20 09:30:00+05:30,2026-01-20 10:15:00+05:30,25495.55078125,25485.69921875,25517.190157827456,25517.190157827456,False,9.85,62.8,3.5,TIME_EXIT
