entry_type,direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
breakout,short,2025-12-24 11:50:00+05:30,2025-12-24 12:15:00+05:30,26186.19921875,26195.597030487374,26195.597030487374,26195.597030487374,False,-9.4,0.4,14.9,STOP_LOSS,25,9.3978,-0.2,-0.194361,0.0006,-5.53,-1.8557,1.7222,-0.3687,0.0,-2.2244,-2.2244,-144.58,50.0,-194.58,-1.8383,65
breakout,short,2025-12-24 13:35:00+05:30,2025-12-24 15:10:00+05:30,26160.5,26154.80078125,26169.420067445182,26169.420067445182,False,5.7,36.3,8.15,SOFT_EOD_EXIT,95,-5.6992,-0.2,-0.20342,0.0006,-5.53,1.1486,0.6334,-1.4009,0.0,-0.2523,-0.2523,-16.4,50.0,-66.4,-6.9326,65
breakout,short,2025-12-26 09:30:00+05:30,2025-12-26 14:55:00+05:30,26109.349609375,26019.788224210355,26125.05678301936,26019.788224210355,True,89.56,100.6,3.0,TRAIL_SL,325,-89.5614,-0.2,-0.253737,0.0006,-5.53,20.078,156.4142,-4.7927,0.0,15.2853,15.2853,993.55,50.0,943.55,-23.1588,65
breakout,short,2025-12-29 10:40:00+05:30,2025-12-29 15:10:00+05:30,26003.400390625,25944.05078125,26014.177052560128,26014.177052560128,False,59.35,81.15,8.4,SOFT_EOD_EXIT,270,-59.3496,-0.2,-0.23561,0.0006,-5.53,12.821,68.6863,-3.9816,0.0,8.8394,8.8394,574.56,50.0,524.56,-19.3466,65
breakout,short,2025-12-30 09:30:00+05:30,2025-12-30 09:35:00+05:30,25905.349609375,25920.47767022944,25920.47767022944,25920.47767022944,False,-15.13,1.75,19.75,STOP_LOSS,5,15.1281,-0.2,-0.190923,0.0006,-5.53,-2.9638,4.4627,-0.0737,0.0,-3.0376,-3.0376,-197.44,50.0,-247.44,-0.3685,65
breakout,short,2025-12-30 12:25:00+05:30,2025-12-30 12:35:00+05:30,25885.900390625,25895.8317000189,25895.8317000189,25895.8317000189,False,-9.93,1.45,17.5,STOP_LOSS,10,9.9313,-0.2,-0.194041,0.0006,-5.53,-1.9596,1.9233,-0.1475,0.0,-2.1071,-2.1071,-136.96,50.0,-186.96,-0.7365,65
breakout,long,2025-12-31 11:00:00+05:30,2025-12-31 13:15:00+05:30,26052.150390625,26148.44339169159,26034.05556424229,26148.44339169159,True,96.29,104.55,11.8,TRAIL_SL,135,96.293,0.2,0.257776,0.0006,-5.53,21.7621,180.8107,-1.9908,0.0,19.7713,19.7713,1285.14,50.0,1235.14,9.8097,65
pullback,long,2025-12-31 13:35:00+05:30,2025-12-31 15:10:00+05:30,26143.05078125,26128.068874594905,26128.068874594905,26128.068874594905,False,-14.98,43.95,28.0,STOP_LOSS,95,-14.9819,0.2,0.191011,0.0006,-5.53,-2.9358,4.3769,-1.4009,0.0,-4.3367,-4.3367,-281.89,50.0,-331.89,6.9326,65
breakout,long,2026-01-02 09:50:00+05:30,2026-01-02 10:05:00+05:30,26268.0,26242.30257304768,26242.30257304768,26242.30257304768,False,-25.7,0.75,28.55,STOP_LOSS,15,-25.6974,0.2,0.184582,0.0006,-5.53,-4.9612,12.877,-0.2212,0.0,-5.1824,-5.1824,-336.86,50.0,-386.86,1.1042,65
pullback,long,2026-01-02 10:25:00+05:30,2026-01-02 12:45:00+05:30,26247.099609375,26302.267191060335,26227.18388699327,26302.267191060335,True,55.17,65.15,12.05,TRAIL_SL,140,55.1676,0.2,0.233101,0.0006,-5.53,11.8553,59.3475,-2.0645,0.0,9.7907,9.7907,636.4,50.0,586.4,10.1676,65
breakout,long,2026-01-02 13:20:00+05:30,2026-01-02 13:55:00+05:30,26310.099609375,26298.31599823723,26298.31599823723,26298.31599823723,False,-11.78,1.6,13.75,STOP_LOSS,35,-11.7836,0.2,0.19293,0.0006,-5.53,-2.3192,2.7076,-0.5161,0.0,-2.8354,-2.8354,-184.3,50.0,-234.3,2.5708,65
breakout,short,2026-01-05 14:05:00+05:30,2026-01-05 14:20:00+05:30,26218.94921875,26232.266622833078,26232.266622833078,26232.266622833078,False,-13.32,8.15,17.1,STOP_LOSS,15,13.3174,-0.2,-0.19201,0.0006,-5.53,-2.6156,3.4584,-0.2212,0.0,-2.8368,-2.8368,-184.39,50.0,-234.39,-1.1042,65
pullback,short,2026-01-05 14:30:00+05:30,2026-01-05 14:45:00+05:30,26246.5,26259.68759602387,26259.68759602387,26259.68759602387,False,-13.19,12.7,14.6,STOP_LOSS,15,13.1876,-0.2,-0.192087,0.0006,-5.53,-2.5906,3.3913,-0.2212,0.0,-2.8118,-2.8118,-182.76,50.0,-232.76,-1.1042,65
pullback,short,2026-01-06 09:30:00+05:30,2026-01-06 09:55:00+05:30,26215.05078125,26236.254272020684,26236.254272020684,26236.254272020684,False,-21.2,24.4,43.95,STOP_LOSS,25,21.2035,-0.2,-0.187278,0.0006,-5.53,-4.1193,8.767,-0.3687,0.0,-4.488,-4.488,-291.72,50.0,-341.72,-1.8383,65
breakout,short,2026-01-06 12:20:00+05:30,2026-01-06 12:50:00+05:30,26152.69921875,26165.569541345925,26165.569541345925,26165.569541345925,False,-12.87,2.55,18.25,STOP_LOSS,30,12.8703,-0.2,-0.192278,0.0006,-5.53,-2.5293,3.2301,-0.4424,0.0,-2.9717,-2.9717,-193.16,50.0,-243.16,-2.2047,65
