direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
long,2025-12-22 10:25:00+05:30,2025-12-22 15:00:00+05:30,26124.849609375,26176.69921875,26105.829282157923,26105.829282157923,False,51.85,54.5,13.1,SOFT_EOD_EXIT,275,51.8496,0.2,0.236295,0.0007,-10.53,5.0,11.2168,61.1607,-7.722,0.0,3.4948,3.4948,227.16,50.0,177.16,36.3036,65
short,2025-12-26 10:25:00+05:30,2025-12-26 14:55:00+05:30,26091.75,26019.788224175594,26102.8460073885,26019.788224175594,True,71.96,83.0,5.85,TRAIL_SL,270,-71.9618,-0.2,-0.250373,0.0007,-10.53,5.0,16.0236,117.8108,-7.5816,0.0,8.442,8.442,548.73,50.0,498.73,-35.6801,65
long,2026-01-02 10:25:00+05:30,2026-01-02 12:45:00+05:30,26247.099609375,26302.267191060335,26227.18388699327,26302.267191060335,True,55.17,65.15,12.05,TRAIL_SL,140,55.1676,0.2,0.238617,0.0007,-10.53,5.0,11.9922,69.2388,-3.9312,0.0,8.061,8.061,523.97,50.0,473.97,19.0227,65
short,2026-01-06 09:30:00+05:30,2026-01-06 09:55:00+05:30,26215.05078125,26236.254272020684,26236.254272020684,26236.254272020684,False,-21.2,24.4,43.95,STOP_LOSS,25,21.2035,-0.2,-0.185158,0.0007,-10.53,5.0,-4.0991,10.2281,-0.702,0.0,-4.8011,-4.8011,-312.07,50.0,-362.07,-3.4887,65
short,2026-01-09 09:50:00+05:30,2026-01-09 12:00:00+05:30,25877.30078125,25754.382822488664,25906.36686049956,25754.382822488664,True,122.92,142.1,24.65,TRAIL_SL,130,-122.918,-0.2,-0.286043,0.0007,-10.53,5.0,29.3429,343.7258,-3.6504,0.0,25.6925,25.6925,1670.01,50.0,1620.01,-17.7035,65
short,2026-01-12 09:45:00+05:30,2026-01-12 11:45:00+05:30,25595.44921875,25489.972838210546,25623.957233489236,25489.972838210546,True,105.48,122.05,13.1,TRAIL_SL,120,-105.4764,-0.2,-0.273833,0.0007,-10.53,5.0,24.5997,253.0998,-3.3696,0.0,21.2301,21.2301,1379.96,50.0,1329.96,-16.3786,65
short,2026-01-19 10:20:00+05:30,2026-01-19 13:45:00+05:30,25540.650390625,25561.710909886246,25561.710909886246,25561.710909886246,False,-21.06,45.7,35.4,STOP_LOSS,205,21.0605,-0.2,-0.185258,0.0007,-10.53,5.0,-4.0724,10.0907,-5.7564,0.0,-9.8288,-9.8288,-638.87,50.0,-688.87,-27.4622,65
short,2026-01-20 10:05:00+05:30,2026-01-20 14:00:00+05:30,25479.80078125,25375.03649516594,25501.94433229344,25375.03649516594,True,104.76,129.9,24.2,TRAIL_SL,235,-104.7643,-0.2,-0.273335,0.0007,-10.53,5.0,24.4102,249.6939,-6.5988,0.0,17.8114,17.8114,1157.74,50.0,1107.74,-31.2816,65
short,2026-01-21 09:30:00+05:30,2026-01-21 10:55:00+05:30,25242.849609375,24992.688995147408,25279.53002924053,24992.688995147408,True,250.16,322.65,8.45,TRAIL_SL,85,-250.1606,-0.2,-0.375112,0.0007,-10.53,5.0,69.7449,1423.7026,-2.3868,0.0,67.3581,67.3581,4378.28,50.0,4328.28,-11.6947,65
long,2026-01-28 09:50:00+05:30,2026-01-28 13:20:00+05:30,25288.400390625,25244.72685086191,25244.72685086191,25244.72685086191,False,-43.67,62.65,73.35,STOP_LOSS,210,-43.6735,0.2,0.169429,0.0007,-10.53,5.0,-8.1339,43.3929,-5.8968,0.0,-14.0307,-14.0307,-911.99,50.0,-961.99,28.102,65
short,2026-01-29 10:10:00+05:30,2026-01-29 11:00:00+05:30,25211.650390625,25238.099229731888,25238.099229731888,25238.099229731888,False,-26.45,44.0,35.5,STOP_LOSS,50,26.4488,-0.2,-0.181486,0.0007,-10.53,5.0,-5.0694,15.9146,-1.404,0.0,-6.4734,-6.4734,-420.77,50.0,-470.77,-6.9358,65
short,2026-01-30 09:45:00+05:30,2026-01-30 13:55:00+05:30,25305.55078125,25336.399134592117,25336.399134592117,25336.399134592117,False,-30.85,91.75,38.75,STOP_LOSS,250,30.8484,-0.2,-0.178406,0.0007,-10.53,5.0,-5.8699,21.6494,-7.02,0.0,-12.8899,-12.8899,-837.84,50.0,-887.84,-33.1741,65
long,2026-02-03 09:55:00+05:30,2026-02-03 10:45:00+05:30,25702.599609375,25780.222600347013,25595.643336830504,25780.222600347013,True,77.62,119.05,60.25,TRAIL_SL,50,77.623,0.2,0.254336,0.0007,-10.53,5.0,17.4226,137.0762,-1.404,0.0,16.0186,16.0186,1041.21,50.0,991.21,6.9358,65
short,2026-02-05 10:25:00+05:30,2026-02-05 15:00:00+05:30,25669.55078125,25665.25,25690.493905139367,25690.493905139367,False,4.3,88.95,10.65,SOFT_EOD_EXIT,275,-4.3008,-0.2,-0.203011,0.0007,-10.53,5.0,0.866,0.4208,-7.722,0.0,-6.856,-6.856,-445.64,50.0,-495.64,-36.3036,65
short,2026-02-06 10:15:00+05:30,2026-02-06 11:10:00+05:30,25544.849609375,25566.94553793794,25566.94553793794,25566.94553793794,False,-22.1,52.7,31.55,STOP_LOSS,55,22.0959,-0.2,-0.184533,0.0007,-10.53,5.0,-4.2654,11.1072,-1.5444,0.0,-5.8098,-5.8098,-377.64,50.0,-427.64,-7.6204,65
long,2026-02-09 10:10:00+05:30,2026-02-09 11:30:00+05:30,25801.599609375,25854.48805137175,25770.07502580519,25854.48805137175,True,52.89,68.45,7.6,TRAIL_SL,80,52.8884,0.2,0.237022,0.0007,-10.53,5.0,11.4588,63.636,-2.2464,0.0,9.2124,9.2124,598.81,50.0,548.81,11.0195,65
short,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,False,-15.61,15.2,15.8,STOP_LOSS,15,15.6126,-0.2,-0.189071,0.0007,-10.53,5.0,-3.0457,5.5454,-0.4212,0.0,-3.4669,-3.4669,-225.35,50.0,-275.35,-2.0983,65
short,2026-02-12 10:20:00+05:30,2026-02-12 14:50:00+05:30,25875.30078125,25772.305442681463,25890.138636952313,25772.305442681463,True,103.0,122.9,4.0,TRAIL_SL,270,-102.9953,-0.2,-0.272097,0.0007,-10.53,5.0,23.9406,241.3329,-7.5816,0.0,16.359,16.359,1063.34,50.0,1013.34,-35.6801,65
short,2026-02-13 10:25:00+05:30,2026-02-13 10:35:00+05:30,25548.94921875,25567.40599673665,25567.40599673665,25567.40599673665,False,-18.46,0.7,32.7,STOP_LOSS,10,18.4568,-0.2,-0.18708,0.0007,-10.53,5.0,-3.5841,7.7498,-0.2808,0.0,-3.8649,-3.8649,-251.22,50.0,-301.22,-1.4006,65
