direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
long,2026-03-18 12:00:00+05:30,2026-03-18 13:45:00+05:30,23793.30078125,23831.21889008321,23766.75980200353,23831.21889008321,True,37.92,52.15,32.4,TRAIL_SL
long,2026-03-18 14:25:00+05:30,2026-03-18 14:30:00+05:30,23835.25,23805.368550616826,23805.368550616826,23805.368550616826,False,-29.88,4.8,39.45,STOP_LOSS
short,2026-03-19 11:30:00+05:30,2026-03-19 12:15:00+05:30,23248.900390625,23271.25214797606,23271.25214797606,23271.25214797606,False,-22.35,31.05,32.3,STOP_LOSS
short,2026-03-19 12:20:00+05:30,2026-03-19 12:45:00+05:30,23245.94921875,23265.89675775007,23265.89675775007,23265.89675775007,False,-19.95,16.65,28.95,STOP_LOSS
short,2026-03-20 12:40:00+05:30,2026-03-20 13:00:00+05:30,23205.75,23230.571536913558,23230.571536913558,23230.571536913558,False,-24.82,3.15,43.95,STOP_LOSS
short,2026-03-23 11:50:00+05:30,2026-03-23 13:20:00+05:30,22552.75,22498.557322261462,22576.828589527533,22498.557322261462,True,54.19,80.65,11.25,TRAIL_SL
short,2026-03-23 13:20:00+05:30,2026-03-23 13:40:00+05:30,22501.849609375,22522.747166422076,22522.747166422076,22522.747166422076,False,-20.9,19.0,65.5,STOP_LOSS
long,2026-03-24 14:15:00+05:30,2026-03-24 14:35:00+05:30,22981.099609375,22929.57295173903,22929.57295173903,22929.57295173903,False,-51.53,15.35,87.8,STOP_LOSS
long,2026-03-25 12:45:00+05:30,2026-03-25 12:55:00+05:30,23418.650390625,23384.45439332675,23384.45439332675,23384.45439332675,False,-34.2,1.75,46.3,STOP_LOSS
short,2026-03-27 11:50:00+05:30,2026-03-27 14:45:00+05:30,22958.05078125,22853.183217547692,22975.97903692848,22853.183217547692,True,104.87,125.85,34.9,TRAIL_SL
short,2026-03-30 11:30:00+05:30,2026-03-30 12:00:00+05:30,22503.80078125,22529.198196530047,22529.198196530047,22529.198196530047,False,-25.4,50.65,56.8,STOP_LOSS
short,2026-04-01 14:15:00+05:30,2026-04-01 15:00:00+05:30,22742.05078125,22663.037764723016,22769.72560886215,22663.037764723016,True,79.01,123.0,1.05,TRAIL_SL
short,2026-04-02 11:30:00+05:30,2026-04-02 11:45:00+05:30,22219.80078125,22238.820064679734,22238.820064679734,22238.820064679734,False,-19.02,1.5,31.25,STOP_LOSS
long,2026-04-06 10:20:00+05:30,2026-04-06 11:10:00+05:30,22640.55078125,22577.612000866702,22577.612000866702,22577.612000866702,False,-62.94,28.65,97.15,STOP_LOSS
long,2026-04-08 11:30:00+05:30,2026-04-08 11:55:00+05:30,23968.30078125,23936.42997585894,23936.42997585894,23936.42997585894,False,-31.87,30.3,44.8,STOP_LOSS
long,2026-04-08 12:10:00+05:30,2026-04-08 12:30:00+05:30,23963.30078125,23929.886876453802,23929.886876453802,23929.886876453802,False,-33.41,10.65,61.05,STOP_LOSS
short,2026-04-09 10:15:00+05:30,2026-04-09 13:30:00+05:30,23870.69921875,23784.845463259404,23903.958033889652,23784.845463259404,True,85.85,111.65,36.6,TRAIL_SL
short,2026-04-09 14:45:00+05:30,2026-04-09 15:00:00+05:30,23737.94921875,23741.599609375,23760.069581921452,23760.069581921452,False,-3.65,14.45,68.85,SOFT_EOD_EXIT
long,2026-04-15 11:35:00+05:30,2026-04-15 15:00:00+05:30,24199.599609375,24249.98245740133,24174.25383144193,24249.98245740133,True,50.38,66.15,11.85,TRAIL_SL
long,2026-04-16 09:40:00+05:30,2026-04-16 11:40:00+05:30,24301.94921875,24255.42502434356,24255.42502434356,24255.42502434356,False,-46.52,35.1,48.25,STOP_LOSS
long,2026-04-21 11:40:00+05:30,2026-04-21 15:00:00+05:30,24528.25,24559.44921875,24507.362391359322,24507.362391359322,False,31.2,71.9,6.45,SOFT_EOD_EXIT
short,2026-04-23 09:45:00+05:30,2026-04-23 10:00:00+05:30,24271.650390625,24303.62127376974,24303.62127376974,24303.62127376974,False,-31.97,5.6,34.85,STOP_LOSS
short,2026-04-23 10:05:00+05:30,2026-04-23 11:00:00+05:30,24285.900390625,24222.72568136601,24312.99721010688,24222.72568136601,True,63.17,100.7,5.75,TRAIL_SL
short,2026-04-23 11:55:00+05:30,2026-04-23 12:10:00+05:30,24206.099609375,24221.35553582035,24221.35553582035,24221.35553582035,False,-15.26,10.15,19.8,STOP_LOSS
short,2026-04-24 11:30:00+05:30,2026-04-24 13:25:00+05:30,23939.69921875,23877.866099435454,23955.603540343556,23877.866099435454,True,61.83,88.45,2.95,TRAIL_SL
short,2026-04-28 13:05:00+05:30,2026-04-28 15:00:00+05:30,24030.55078125,24002.150390625,24046.921333533115,24046.921333533115,False,28.4,68.95,18.45,SOFT_EOD_EXIT
long,2026-04-29 11:40:00+05:30,2026-04-29 12:55:00+05:30,24271.849609375,24319.260165155265,24248.733692824342,24319.260165155265,True,47.41,59.8,8.2,TRAIL_SL
short,2026-04-29 14:40:00+05:30,2026-04-29 15:00:00+05:30,24229.150390625,24189.5,24247.887854948316,24247.887854948316,False,39.65,45.25,1.55,SOFT_EOD_EXIT
short,2026-04-30 11:40:00+05:30,2026-04-30 12:05:00+05:30,23835.650390625,23852.127904901758,23852.127904901758,23852.127904901758,False,-16.48,9.35,42.3,STOP_LOSS
long,2026-05-04 10:25:00+05:30,2026-05-04 12:10:00+05:30,24196.650390625,24148.07283615222,24148.07283615222,24148.07283615222,False,-48.58,52.5,80.85,STOP_LOSS
short,2026-05-05 09:50:00+05:30,2026-05-05 11:00:00+05:30,24047.900390625,23941.632699231213,24079.125701418132,23941.632699231213,True,106.27,132.65,6.95,TRAIL_SL
short,2026-05-05 11:30:00+05:30,2026-05-05 12:45:00+05:30,23950.849609375,23968.745674111375,23968.745674111375,23968.745674111375,False,-17.9,67.35,32.85,STOP_LOSS
short,2026-05-06 13:05:00+05:30,2026-05-06 13:15:00+05:30,24038.900390625,24056.23363284676,24056.23363284676,24056.23363284676,False,-17.33,7.9,29.65,STOP_LOSS
long,2026-05-07 09:50:00+05:30,2026-05-07 12:50:00+05:30,24335.19921875,24442.47076709969,24288.02920276877,24442.47076709969,True,107.27,146.75,50.55,TRAIL_SL
long,2026-05-07 12:55:00+05:30,2026-05-07 13:35:00+05:30,24388.25,24344.157346716234,24344.157346716234,24344.157346716234,False,-44.09,32.3,63.7,STOP_LOSS
short,2026-05-08 10:10:00+05:30,2026-05-08 10:25:00+05:30,24211.30078125,24234.007449624893,24234.007449624893,24234.007449624893,False,-22.71,30.05,32.65,STOP_LOSS
short,2026-05-12 10:15:00+05:30,2026-05-12 11:15:00+05:30,23668.25,23603.263996977006,23689.207319898185,23603.263996977006,True,64.99,89.55,6.95,TRAIL_SL
short,2026-05-12 11:40:00+05:30,2026-05-12 13:00:00+05:30,23602.69921875,23526.486437451356,23618.825960454025,23526.486437451356,True,76.21,94.1,10.15,TRAIL_SL
short,2026-05-12 13:10:00+05:30,2026-05-12 14:20:00+05:30,23536.80078125,23471.059704274176,23553.28883392673,23471.059704274176,True,65.74,88.8,27.25,TRAIL_SL
short,2026-05-13 09:50:00+05:30,2026-05-13 10:15:00+05:30,23367.599609375,23408.736730140354,23408.736730140354,23408.736730140354,False,-41.14,22.9,72.95,STOP_LOSS
long,2026-05-14 14:20:00+05:30,2026-05-14 14:45:00+05:30,23740.19921875,23709.941538138566,23709.941538138566,23709.941538138566,False,-30.26,36.45,47.0,STOP_LOSS
long,2026-05-15 10:05:00+05:30,2026-05-15 11:05:00+05:30,23788.05078125,23746.967742257828,23746.967742257828,23746.967742257828,False,-41.08,50.9,46.25,STOP_LOSS
long,2026-05-19 09:30:00+05:30,2026-05-19 09:45:00+05:30,23684.0,23722.267230887803,23633.284929693855,23722.267230887803,True,38.27,73.9,36.1,TRAIL_SL
long,2026-05-19 09:50:00+05:30,2026-05-19 10:15:00+05:30,23696.0,23729.73491905014,23643.36942281701,23729.73491905014,True,33.73,66.9,18.4,TRAIL_SL
short,2026-05-20 09:55:00+05:30,2026-05-20 11:05:00+05:30,23541.900390625,23568.55299860445,23568.55299860445,23568.55299860445,False,-26.65,66.25,38.6,STOP_LOSS
long,2026-05-21 10:05:00+05:30,2026-05-21 11:00:00+05:30,23763.599609375,23721.692987407976,23721.692987407976,23721.692987407976,False,-41.91,26.95,56.5,STOP_LOSS
long,2026-05-22 10:25:00+05:30,2026-05-22 13:05:00+05:30,23761.44921875,23820.37822042619,23730.115613567024,23820.37822042619,True,58.93,74.15,11.4,TRAIL_SL
long,2026-05-26 09:50:00+05:30,2026-05-26 10:40:00+05:30,24035.900390625,24073.815672713565,24006.8599450894,24073.815672713565,True,37.92,53.65,21.35,TRAIL_SL
short,2026-05-26 14:55:00+05:30,2026-05-26 15:00:00+05:30,23913.05078125,23909.75,23927.918865073803,23927.918865073803,False,3.3,16.65,10.2,SOFT_EOD_EXIT
short,2026-05-27 09:40:00+05:30,2026-05-27 10:05:00+05:30,23908.30078125,23930.131274147177,23930.131274147177,23930.131274147177,False,-21.83,39.5,32.75,STOP_LOSS
short,2026-05-29 14:25:00+05:30,2026-05-29 14:30:00+05:30,23760.099609375,23773.72612851712,23773.72612851712,23773.72612851712,False,-13.63,0.55,41.95,STOP_LOSS
short,2026-05-29 14:50:00+05:30,2026-05-29 15:25:00+05:30,23776.599609375,23517.387744910608,23791.310774813475,23517.387744910608,True,259.21,290.0,10.65,TRAIL_SL
short,2026-06-01 09:30:00+05:30,2026-06-01 10:05:00+05:30,23609.599609375,23564.08346898772,23650.468518581532,23564.08346898772,True,45.52,72.55,14.2,TRAIL_SL
short,2026-06-02 09:55:00+05:30,2026-06-02 10:20:00+05:30,23315.19921875,23340.570536091058,23340.570536091058,23340.570536091058,False,-25.37,49.55,46.2,STOP_LOSS
short,2026-06-03 11:30:00+05:30,2026-06-03 12:30:00+05:30,23221.69921875,23241.760889569665,23241.760889569665,23241.760889569665,False,-20.06,69.55,69.1,STOP_LOSS
long,2026-06-05 09:45:00+05:30,2026-06-05 10:35:00+05:30,23445.900390625,23408.95882475962,23408.95882475962,23408.95882475962,False,-36.94,66.75,84.8,STOP_LOSS
short,2026-06-05 14:20:00+05:30,2026-06-05 14:25:00+05:30,23324.19921875,23341.592969126796,23341.592969126796,23341.592969126796,False,-17.39,0.4,29.85,STOP_LOSS
short,2026-06-08 09:55:00+05:30,2026-06-08 12:40:00+05:30,23199.5,23233.948383434476,23233.948383434476,23233.948383434476,False,-34.45,45.15,45.95,STOP_LOSS
