direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,B,2026-03-20 12:20:00+05:30,2026-03-20 12:35:00+05:30,23155.05078125,23179.347979449954,23179.347979449954,23179.347979449954,False,-24.3,34.7,36.7,STOP_LOSS,112,115
short,B,2026-03-23 09:40:00+05:30,2026-03-23 13:35:00+05:30,22706.400390625,22517.55078125,22756.32054137573,22517.55078125,True,188.85,234.3,0.25,TRAIL_SL,155,202
long,B,2026-03-25 09:40:00+05:30,2026-03-25 11:35:00+05:30,23270.900390625,23372.30078125,23208.631998483812,23372.30078125,True,101.4,163.35,24.35,TRAIL_SL,305,328
short,B,2026-03-27 09:50:00+05:30,2026-03-27 12:25:00+05:30,23014.94921875,22959.25,23049.370635366817,22959.25,True,55.7,108.55,23.7,TRAIL_SL,382,413
short,B,2026-03-30 10:15:00+05:30,2026-03-30 11:35:00+05:30,22556.30078125,22511.30078125,22598.896106876487,22511.30078125,True,45.0,102.3,8.25,TRAIL_SL,462,478
short,B,2026-04-02 09:35:00+05:30,2026-04-02 12:30:00+05:30,22251.44921875,22301.67890951602,22301.67890951602,22301.67890951602,False,-50.23,68.15,68.0,STOP_LOSS,604,639
long,B,2026-04-06 12:50:00+05:30,2026-04-07 09:15:00+05:30,22775.25,22949.19921875,22722.757271423143,22949.19921875,True,173.95,222.4,54.8,TRAIL_SL,718,750
short,B,2026-04-07 09:40:00+05:30,2026-04-07 09:55:00+05:30,22801.80078125,22846.611179521296,22846.611179521296,22846.611179521296,False,-44.81,0.0,90.85,STOP_LOSS,755,758
long,B,2026-04-08 09:35:00+05:30,2026-04-08 11:30:00+05:30,23913.900390625,23976.30078125,23801.671402578577,23976.30078125,True,62.4,100.1,44.8,TRAIL_SL,829,852
short,B,2026-04-09 09:40:00+05:30,2026-04-09 10:15:00+05:30,23861.150390625,23858.150390625,23897.505076161062,23858.150390625,True,3.0,100.6,21.9,TRAIL_SL,905,912
long,B,2026-04-10 09:45:00+05:30,2026-04-10 14:15:00+05:30,23974.349609375,23997.349609375,23920.9844879379,23997.349609375,True,23.0,73.5,58.05,TRAIL_SL,981,1035
short,B,2026-04-13 09:35:00+05:30,2026-04-13 09:50:00+05:30,23592.849609375,23639.138645385516,23639.138645385516,23639.138645385516,False,-46.29,4.5,64.2,STOP_LOSS,1054,1057
