direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,A,2026-02-04 09:50:00+05:30,2026-02-04 15:00:00+05:30,25762.650390625,25789.900390625,25658.667335350732,25658.667335350732,False,27.25,55.65,76.7,EOD_EXIT,7,69
short,B,2026-02-05 09:40:00+05:30,2026-02-05 10:10:00+05:30,25635.150390625,25659.91338692725,25659.91338692725,25659.91338692725,False,-24.76,22.05,41.55,STOP_LOSS,80,86
short,B,2026-02-06 09:40:00+05:30,2026-02-06 09:45:00+05:30,25526.30078125,25546.98828393325,25546.98828393325,25546.98828393325,False,-20.69,0.0,42.7,STOP_LOSS,155,156
long,A,2026-02-09 10:10:00+05:30,2026-02-09 11:50:00+05:30,25801.599609375,25846.75,25770.07502580519,25846.75,True,45.15,68.45,7.6,TRAIL_SL,236,256
long,C,2026-02-10 09:35:00+05:30,2026-02-10 15:00:00+05:30,25941.05078125,25951.400390625,25843.349609375,25843.349609375,False,10.35,48.15,47.85,EOD_EXIT,304,369
short,A,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,False,-15.61,15.2,15.8,STOP_LOSS,458,461
short,B,2026-02-13 09:35:00+05:30,2026-02-13 10:35:00+05:30,25538.30078125,25567.938834160064,25567.938834160064,25567.938834160064,False,-29.64,24.75,43.35,STOP_LOSS,529,541
short,B,2026-02-19 12:10:00+05:30,2026-02-19 12:20:00+05:30,25603.5,25618.851866455396,25618.851866455396,25618.851866455396,False,-15.35,16.65,36.2,STOP_LOSS,860,862
short,C,2026-02-20 13:10:00+05:30,2026-02-20 15:00:00+05:30,25554.599609375,25598.0,25668.349609375,25668.349609375,False,-43.4,22.6,98.25,EOD_EXIT,947,969
long,A,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25681.962149454237,25681.962149454237,25681.962149454237,False,-35.89,15.85,62.7,STOP_LOSS,986,992
short,B,2026-02-24 09:35:00+05:30,2026-02-24 13:55:00+05:30,25508.150390625,25385.19921875,25533.136592912113,25385.19921875,True,122.95,180.15,27.45,TRAIL_SL,1054,1106
short,B,2026-02-25 12:45:00+05:30,2026-02-25 14:15:00+05:30,25467.849609375,25487.77836733339,25487.77836733339,25487.77836733339,False,-19.93,39.45,27.9,STOP_LOSS,1167,1185
short,C,2026-02-26 12:25:00+05:30,2026-02-26 15:00:00+05:30,25430.69921875,25486.0,25542.25,25542.25,False,-55.3,27.3,96.45,EOD_EXIT,1238,1269
short,C,2026-02-27 09:55:00+05:30,2026-03-02 14:05:00+05:30,25330.0,24692.849609375,25508.25,24692.849609375,True,637.15,726.05,22.05,TRAIL_SL,1283,1408
short,B,2026-03-04 09:55:00+05:30,2026-03-04 10:10:00+05:30,24325.900390625,24375.972056724306,24375.972056724306,24375.972056724306,False,-50.07,19.3,88.9,STOP_LOSS,1433,1436
short,B,2026-03-09 09:40:00+05:30,2026-03-09 10:05:00+05:30,23738.69921875,23802.92980326977,23802.92980326977,23802.92980326977,False,-64.23,26.85,74.4,STOP_LOSS,1655,1660
short,B,2026-03-11 09:50:00+05:30,2026-03-11 14:25:00+05:30,24148.55078125,23965.900390625,24177.954166758853,23965.900390625,True,182.65,256.35,22.0,TRAIL_SL,1807,1862
short,B,2026-03-12 09:35:00+05:30,2026-03-12 09:45:00+05:30,23572.849609375,23611.8383650353,23611.8383650353,23611.8383650353,False,-38.99,3.45,51.7,STOP_LOSS,1879,1881
