direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,A,2026-02-05 10:25:00+05:30,2026-02-05 15:00:00+05:30,25669.55078125,25665.25,25694.734942078398,25694.734942078398,False,4.3,88.95,10.65,EOD_EXIT,14,69
short,B,2026-02-06 09:40:00+05:30,2026-02-06 09:45:00+05:30,25526.30078125,25546.98861942581,25546.98861942581,25546.98861942581,False,-20.69,0.0,42.7,STOP_LOSS,80,81
short,A,2026-02-06 10:15:00+05:30,2026-02-06 11:10:00+05:30,25544.849609375,25566.94566115614,25566.94566115614,25566.94566115614,False,-22.1,52.7,31.55,STOP_LOSS,87,98
long,C,2026-02-09 10:05:00+05:30,2026-02-09 11:50:00+05:30,25810.0,25846.75,25754.452723894665,25846.75,True,36.75,60.05,16.0,TRAIL_SL,160,181
long,C,2026-02-10 11:35:00+05:30,2026-02-10 13:30:00+05:30,25953.30078125,25927.347723914747,25927.347723914747,25927.347723914747,False,-25.95,35.9,44.45,STOP_LOSS,253,276
short,A,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,False,-15.61,15.2,15.8,STOP_LOSS,383,386
short,A,2026-02-12 10:20:00+05:30,2026-02-12 15:00:00+05:30,25875.30078125,25823.94921875,25890.138636952313,25834.650390625,True,51.35,122.9,4.0,EOD_EXIT,388,444
short,B,2026-02-13 09:35:00+05:30,2026-02-13 10:35:00+05:30,25538.30078125,25567.938834160064,25567.938834160064,25567.938834160064,False,-29.64,24.75,43.35,STOP_LOSS,454,466
long,C,2026-02-17 12:15:00+05:30,2026-02-17 13:55:00+05:30,25742.099609375,25706.71417921635,25706.71417921635,25706.71417921635,False,-35.39,21.8,45.35,STOP_LOSS,636,656
short,B,2026-02-19 12:10:00+05:30,2026-02-19 12:20:00+05:30,25603.5,25618.851866455396,25618.851866455396,25618.851866455396,False,-15.35,16.65,36.2,STOP_LOSS,785,787
short,A,2026-02-19 13:00:00+05:30,2026-02-19 13:05:00+05:30,25598.44921875,25615.032012346477,25615.032012346477,25615.032012346477,False,-16.58,0.95,31.35,STOP_LOSS,795,796
short,C,2026-02-20 10:05:00+05:30,2026-02-20 10:30:00+05:30,25475.099609375,25553.813017148655,25553.813017148655,25553.813017148655,False,-78.71,0.8,102.65,STOP_LOSS,835,840
