direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-12-16 10:15:00+05:30,2025-12-16 13:45:00+05:30,25912.44921875,25911.44921875,25928.19280425859,25911.44921875,3,True,False,1.0,41.95,16.7,TRAIL_SL
long,2025-12-19 10:55:00+05:30,2025-12-19 11:25:00+05:30,25962.400390625,25943.182863719718,25943.182863719718,25943.182863719718,3,False,False,-19.22,6.15,32.1,STOP_LOSS
long,2025-12-22 10:35:00+05:30,2025-12-22 15:25:00+05:30,26122.80078125,26162.75,26104.73235508951,26123.80078125,3,True,False,39.95,57.75,11.05,HARD_EOD_EXIT
short,2025-12-26 10:25:00+05:30,2025-12-26 15:25:00+05:30,26091.75,26047.650390625,26102.8460073885,26090.75,3,True,False,44.1,83.0,5.85,HARD_EOD_EXIT
long,2025-12-31 11:20:00+05:30,2025-12-31 13:15:00+05:30,26044.44921875,26148.44339169159,26027.656716211648,26148.44339169159,2,True,True,103.99,112.25,4.1,TRAIL_SL
long,2026-01-02 11:05:00+05:30,2026-01-02 11:55:00+05:30,26252.0,26287.512122866487,26235.709406719154,26287.512122866487,2,True,True,35.51,45.1,8.7,TRAIL_SL
short,2026-01-12 09:45:00+05:30,2026-01-12 10:00:00+05:30,25595.44921875,25580.453513884422,25623.957233489236,25580.453513884422,2,True,True,15.0,38.0,13.1,TRAIL_SL
short,2026-01-12 10:00:00+05:30,2026-01-12 10:15:00+05:30,25589.69921875,25577.255212292876,25617.94566868729,25577.255212292876,2,True,True,12.44,43.75,6.55,TRAIL_SL
short,2026-01-12 10:15:00+05:30,2026-01-12 11:45:00+05:30,25583.599609375,25489.972838210546,25609.760822431865,25489.972838210546,2,True,True,93.63,110.2,14.6,TRAIL_SL
long,2026-01-16 10:55:00+05:30,2026-01-16 11:40:00+05:30,25829.5,25799.990165262305,25799.990165262305,25799.990165262305,3,False,False,-29.51,12.3,32.35,STOP_LOSS
short,2026-01-19 10:50:00+05:30,2026-01-19 10:55:00+05:30,25519.650390625,25537.42902734789,25537.42902734789,25537.42902734789,3,False,False,-17.78,0.45,29.6,STOP_LOSS
short,2026-01-20 10:05:00+05:30,2026-01-20 11:25:00+05:30,25479.80078125,25460.843946080753,25501.94433229344,25460.843946080753,2,True,True,18.96,35.95,24.2,TRAIL_SL
short,2026-01-20 11:25:00+05:30,2026-01-20 11:50:00+05:30,25464.05078125,25478.861160853718,25478.861160853718,25478.861160853718,2,False,False,-14.81,11.5,28.45,STOP_LOSS
short,2026-01-22 11:20:00+05:30,2026-01-22 12:05:00+05:30,25253.69921875,25207.54304399462,25280.868852678137,25207.54304399462,2,True,True,46.16,75.85,26.85,TRAIL_SL
long,2026-01-28 09:50:00+05:30,2026-01-28 12:20:00+05:30,25288.400390625,25289.400390625,25244.72685086191,25289.400390625,3,True,False,1.0,62.65,55.7,TRAIL_SL
short,2026-01-29 10:10:00+05:30,2026-01-29 10:55:00+05:30,25211.650390625,25229.282950029592,25238.099229731888,25229.282950029592,2,False,True,-17.63,44.0,28.9,MICRO_SL
short,2026-01-30 10:15:00+05:30,2026-01-30 11:35:00+05:30,25303.349609375,25259.661179284,25329.2241909892,25259.661179284,2,True,True,43.69,71.35,9.3,TRAIL_SL
long,2026-02-03 09:55:00+05:30,2026-02-03 15:25:00+05:30,25702.599609375,25714.80078125,25595.643336830504,25703.599609375,3,True,False,12.2,160.55,60.25,HARD_EOD_EXIT
short,2026-02-05 10:25:00+05:30,2026-02-05 11:00:00+05:30,25669.55078125,25638.45441747492,25690.493905139367,25638.45441747492,2,True,True,31.1,57.6,1.3,TRAIL_SL
short,2026-02-06 10:15:00+05:30,2026-02-06 10:35:00+05:30,25544.849609375,25521.62650004029,25566.94553793794,25521.62650004029,2,True,True,23.22,48.2,13.95,TRAIL_SL
long,2026-02-09 10:10:00+05:30,2026-02-09 15:25:00+05:30,25801.599609375,25863.30078125,25770.07502580519,25802.599609375,3,True,False,61.7,74.25,7.6,HARD_EOD_EXIT
long,2026-02-10 10:40:00+05:30,2026-02-10 13:20:00+05:30,25960.69921875,25941.339846018796,25941.339846018796,25941.339846018796,3,False,False,-19.36,28.5,33.25,STOP_LOSS
short,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,2,False,False,-15.61,15.2,15.8,STOP_LOSS
short,2026-02-12 10:30:00+05:30,2026-02-12 11:40:00+05:30,25872.80078125,25826.297202651273,25886.70881057474,25826.297202651273,2,True,True,46.5,58.9,3.2,TRAIL_SL
short,2026-02-13 10:25:00+05:30,2026-02-13 10:35:00+05:30,25548.94921875,25567.40599673665,25567.40599673665,25567.40599673665,3,False,False,-18.46,0.7,32.7,STOP_LOSS
long,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25681.962149454237,25681.962149454237,25681.962149454237,2,False,False,-35.89,15.85,62.7,STOP_LOSS
short,2026-02-24 10:35:00+05:30,2026-02-24 11:00:00+05:30,25504.0,25478.96329863501,25521.007178024745,25478.96329863501,2,True,True,25.04,43.15,9.25,TRAIL_SL
