direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
long,2025-12-12 09:40:00+05:30,2025-12-12 10:20:00+05:30,26023.900390625,25958.900390625,0.0,-65.0,STOP_LOSS
long,2025-12-12 14:10:00+05:30,2025-12-12 15:15:00+05:30,26043.05078125,26046.44921875,11.05,3.4,EOD_EXIT
short,2025-12-16 10:10:00+05:30,2025-12-16 13:45:00+05:30,25892.849609375,25923.69921875,17.75,-30.85,ST_TRAIL
short,2025-12-16 14:15:00+05:30,2025-12-16 15:15:00+05:30,25860.400390625,25841.05078125,19.35,19.35,EOD_EXIT
short,2025-12-17 10:05:00+05:30,2025-12-17 14:15:00+05:30,25837.75,25827.400390625,54.15,10.35,ST_TRAIL
short,2025-12-18 09:45:00+05:30,2025-12-18 10:10:00+05:30,25740.75,25791.150390625,0.0,-50.4,STOP_LOSS
long,2025-12-18 10:20:00+05:30,2025-12-18 13:30:00+05:30,25834.44921875,25848.5,59.4,14.05,ST_TRAIL
short,2025-12-18 14:10:00+05:30,2025-12-18 15:15:00+05:30,25805.25,25818.44921875,23.95,-13.2,EOD_EXIT
long,2025-12-19 09:40:00+05:30,2025-12-19 11:40:00+05:30,25956.400390625,25913.400390625,18.45,-43.0,ST_TRAIL
long,2025-12-19 13:40:00+05:30,2025-12-19 15:15:00+05:30,25977.650390625,25970.349609375,11.4,-7.3,EOD_EXIT
long,2025-12-22 10:05:00+05:30,2025-12-22 12:40:00+05:30,26127.94921875,26121.849609375,21.2,-6.1,ST_TRAIL
long,2025-12-22 13:05:00+05:30,2025-12-22 15:15:00+05:30,26141.849609375,26168.400390625,34.85,26.55,EOD_EXIT
long,2025-12-23 10:05:00+05:30,2025-12-23 11:45:00+05:30,26186.75,26160.599609375,9.0,-26.15,ST_TRAIL
long,2025-12-23 14:00:00+05:30,2025-12-23 14:40:00+05:30,26199.44921875,26166.849609375,22.85,-32.6,ST_TRAIL
short,2025-12-24 13:10:00+05:30,2025-12-24 15:15:00+05:30,26181.05078125,26139.650390625,44.5,41.4,EOD_EXIT
short,2025-12-26 09:45:00+05:30,2025-12-26 15:10:00+05:30,26091.849609375,26048.30078125,79.1,43.55,ST_TRAIL
short,2025-12-29 10:40:00+05:30,2025-12-29 15:15:00+05:30,26003.400390625,25941.150390625,76.1,62.25,EOD_EXIT
short,2025-12-30 11:15:00+05:30,2025-12-30 13:40:00+05:30,25922.44921875,25935.349609375,37.65,-12.9,ST_TRAIL
long,2025-12-31 10:30:00+05:30,2025-12-31 15:00:00+05:30,26030.94921875,26134.25,153.05,103.3,ST_TRAIL
long,2026-01-01 10:50:00+05:30,2026-01-01 12:05:00+05:30,26179.5,26130.849609375,0.0,-48.65,ST_TRAIL
long,2026-01-01 14:05:00+05:30,2026-01-01 15:15:00+05:30,26163.05078125,26143.599609375,8.15,-19.45,EOD_EXIT
long,2026-01-02 09:50:00+05:30,2026-01-02 14:35:00+05:30,26268.0,26273.650390625,45.65,5.65,ST_TRAIL
long,2026-01-05 10:10:00+05:30,2026-01-05 13:10:00+05:30,26339.150390625,26308.75,28.55,-30.4,ST_TRAIL
short,2026-01-05 14:00:00+05:30,2026-01-05 14:50:00+05:30,26223.94921875,26273.5,5.0,-49.55,ST_TRAIL
short,2026-01-06 11:00:00+05:30,2026-01-06 15:00:00+05:30,26213.44921875,26178.5,80.3,34.95,ST_TRAIL
short,2026-01-08 10:20:00+05:30,2026-01-08 15:15:00+05:30,26034.80078125,25874.099609375,166.35,160.7,EOD_EXIT
short,2026-01-09 11:05:00+05:30,2026-01-09 15:15:00+05:30,25817.099609375,25678.0,165.05,139.1,EOD_EXIT
short,2026-01-12 11:05:00+05:30,2026-01-12 12:10:00+05:30,25541.400390625,25578.30078125,64.5,-36.9,BREAKEVEN_SL
long,2026-01-12 13:40:00+05:30,2026-01-12 15:15:00+05:30,25730.44921875,25785.69921875,80.0,55.25,EOD_EXIT
short,2026-01-13 14:05:00+05:30,2026-01-13 14:40:00+05:30,25649.19921875,25692.650390625,36.6,-43.45,ST_TRAIL
long,2026-01-14 11:25:00+05:30,2026-01-14 13:20:00+05:30,25770.400390625,25717.150390625,16.55,-53.25,STOP_LOSS
short,2026-01-14 13:45:00+05:30,2026-01-14 14:40:00+05:30,25661.650390625,25676.650390625,50.8,-15.0,BREAKEVEN_SL
long,2026-01-16 10:00:00+05:30,2026-01-16 11:45:00+05:30,25761.94921875,25789.099609375,103.3,27.15,ST_TRAIL
short,2026-01-16 13:10:00+05:30,2026-01-16 15:15:00+05:30,25716.55078125,25695.55078125,44.95,21.0,EOD_EXIT
short,2026-01-19 10:05:00+05:30,2026-01-19 13:45:00+05:30,25532.05078125,25576.05078125,28.25,-44.0,ST_TRAIL
short,2026-01-20 09:40:00+05:30,2026-01-20 15:15:00+05:30,25467.5,25200.05078125,267.45,267.45,EOD_EXIT
short,2026-01-21 10:25:00+05:30,2026-01-21 11:15:00+05:30,25096.400390625,25075.650390625,126.2,20.75,ST_TRAIL
short,2026-01-22 10:55:00+05:30,2026-01-22 13:50:00+05:30,25221.69921875,25233.400390625,42.65,-11.7,BREAKEVEN_SL
short,2026-01-23 13:25:00+05:30,2026-01-23 15:15:00+05:30,25124.599609375,25039.25,94.65,85.35,EOD_EXIT
short,2026-01-27 10:45:00+05:30,2026-01-27 11:15:00+05:30,25041.349609375,25048.05078125,58.1,-6.7,BREAKEVEN_SL
short,2026-01-27 13:40:00+05:30,2026-01-27 14:45:00+05:30,25045.25,25115.19921875,28.7,-69.95,STOP_LOSS
long,2026-01-28 11:25:00+05:30,2026-01-28 12:20:00+05:30,25336.94921875,25286.099609375,0.85,-50.85,STOP_LOSS
short,2026-01-29 09:40:00+05:30,2026-01-29 11:15:00+05:30,25210.69921875,25267.55078125,30.0,-56.85,STOP_LOSS
long,2026-01-29 13:00:00+05:30,2026-01-29 15:15:00+05:30,25351.30078125,25421.55078125,99.9,70.25,EOD_EXIT
short,2026-01-30 11:20:00+05:30,2026-01-30 12:20:00+05:30,25263.5,25306.94921875,17.65,-43.45,ST_TRAIL
short,2026-01-30 13:20:00+05:30,2026-01-30 13:40:00+05:30,25229.80078125,25301.19921875,0.0,-71.4,STOP_LOSS
long,2026-01-30 14:00:00+05:30,2026-01-30 15:15:00+05:30,25338.80078125,25324.44921875,26.85,-14.35,EOD_EXIT
short,2026-02-03 10:05:00+05:30,2026-02-03 10:15:00+05:30,25685.349609375,25753.349609375,14.35,-68.0,STOP_LOSS
short,2026-02-03 13:35:00+05:30,2026-02-03 15:15:00+05:30,25773.5,25741.30078125,56.65,32.2,EOD_EXIT
short,2026-02-04 11:25:00+05:30,2026-02-04 13:20:00+05:30,25699.349609375,25750.599609375,0.0,-51.25,STOP_LOSS
short,2026-02-06 09:40:00+05:30,2026-02-06 11:10:00+05:30,25526.30078125,25576.400390625,28.05,-50.1,STOP_LOSS
long,2026-02-06 11:30:00+05:30,2026-02-06 12:20:00+05:30,25607.80078125,25570.30078125,29.05,-37.5,ST_TRAIL
long,2026-02-06 13:55:00+05:30,2026-02-06 15:15:00+05:30,25617.599609375,25695.19921875,80.9,77.6,EOD_EXIT
long,2026-02-09 10:30:00+05:30,2026-02-09 15:15:00+05:30,25826.25,25868.650390625,44.0,42.4,EOD_EXIT
long,2026-02-10 09:40:00+05:30,2026-02-10 13:15:00+05:30,25949.400390625,25948.400390625,34.75,-1.0,ST_TRAIL
long,2026-02-11 10:40:00+05:30,2026-02-11 12:30:00+05:30,25969.05078125,25926.25,7.5,-42.8,ST_TRAIL
long,2026-02-11 13:40:00+05:30,2026-02-11 15:15:00+05:30,25955.349609375,25955.25,3.05,-0.1,EOD_EXIT
short,2026-02-12 11:25:00+05:30,2026-02-12 13:20:00+05:30,25831.099609375,25860.44921875,16.35,-29.35,ST_TRAIL
