id,start_time,end_time,duration_bars,quality,compression,upper_r2,lower_r2,containment,pivots_high,pivots_low,breakout_dir,breakout_price,bars_to_breakout
1,2022-11-02 13:10:00,2022-11-02 14:55:00,22,0.755,0.799,1.0,1.0,1.0,2,2,up,18084.4,1
2,2022-11-09 09:20:00,2022-11-09 11:10:00,23,0.79,0.59,1.0,1.0,0.913,2,2,up,18190.85,3
3,2022-11-14 09:20:00,2022-11-14 12:15:00,36,0.817,0.534,0.988,1.0,0.917,3,2,down,18323.6,4
4,2022-11-15 09:45:00,2022-11-15 10:55:00,15,0.808,0.514,1.0,1.0,0.933,2,2,up,18306.8,9
5,2022-11-17 09:35:00,2022-11-17 10:45:00,15,0.803,0.543,1.0,1.0,0.933,2,2,down,18362.65,3
6,2022-11-17 15:10:00,2022-11-18 10:25:00,19,0.83,0.37,1.0,1.0,0.895,2,2,down,18268.75,2
7,2022-11-18 11:20:00,2022-11-18 12:30:00,15,0.78,0.726,1.0,1.0,1.0,2,2,up,18258.0,3
8,2022-11-21 09:15:00,2022-11-21 12:00:00,34,0.839,0.42,1.0,0.988,0.912,2,3,down,18153.45,4
9,2022-11-23 09:15:00,2022-11-23 10:55:00,21,0.804,0.513,0.939,1.0,0.905,3,2,up,18270.2,1
10,2022-11-24 15:15:00,2022-11-25 10:15:00,16,0.813,0.436,1.0,1.0,0.875,2,2,up,18472.8,1
11,2022-11-25 09:55:00,2022-11-25 11:35:00,21,0.799,0.629,1.0,1.0,1.0,2,2,down,18452.7,4
12,2022-11-29 15:10:00,2022-11-30 10:05:00,15,0.745,0.767,1.0,1.0,0.867,2,2,down,18631.6,6
13,2022-12-01 09:15:00,2022-12-01 11:35:00,29,0.862,0.373,0.982,1.0,0.897,4,2,down,18827.2,1
14,2022-12-02 15:20:00,2022-12-05 11:15:00,27,0.751,0.444,0.798,1.0,0.889,3,2,up,18636.5,1
15,2022-12-06 10:40:00,2022-12-06 11:55:00,16,0.777,0.696,1.0,1.0,1.0,2,2,up,18605.8,4
16,2022-12-06 13:45:00,2022-12-06 14:55:00,15,0.733,0.691,1.0,1.0,0.933,2,2,up,18644.8,1
17,2022-12-06 15:00:00,2022-12-07 09:55:00,15,0.761,0.755,1.0,1.0,0.933,2,2,up,18661.7,3
18,2022-12-08 10:00:00,2022-12-08 11:25:00,18,0.79,0.621,1.0,1.0,0.944,2,2,down,18572.15,3
19,2022-12-12 09:15:00,2022-12-12 11:15:00,25,0.819,0.489,1.0,1.0,0.96,2,2,down,18503.95,1
20,2022-12-12 10:45:00,2022-12-12 12:00:00,16,0.711,0.725,0.96,1.0,0.875,3,2,up,18504.1,4
21,2022-12-15 09:55:00,2022-12-15 11:10:00,16,0.759,0.767,1.0,1.0,0.938,2,2,down,18568.9,3
22,2022-12-15 12:30:00,2022-12-15 13:40:00,15,0.772,0.763,1.0,1.0,1.0,2,2,down,18500.5,2
23,2022-12-16 09:25:00,2022-12-16 10:35:00,15,0.802,0.557,0.988,1.0,0.867,3,2,up,18314.55,7
24,2022-12-21 10:05:00,2022-12-21 11:15:00,15,0.817,0.539,1.0,1.0,1.0,2,2,up,18362.35,4
25,2022-12-21 13:35:00,2022-12-21 15:25:00,23,0.765,0.774,1.0,0.95,0.957,2,3,down,18178.35,5
26,2022-12-23 09:30:00,2022-12-23 11:00:00,19,0.805,0.493,1.0,1.0,0.895,2,2,up,17951.55,2
27,2022-12-27 09:15:00,2022-12-27 11:20:00,26,0.853,0.359,1.0,1.0,1.0,2,2,down,18039.3,2
