direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,2024-12-10 09:55:00+05:30,2024-12-10 10:35:00+05:30,24668.95,24640.54674563171,24640.54674563171,24640.54674563171,False,-28.4,8.85,52.9,STOP_LOSS,158,166
short,2024-12-11 12:35:00+05:30,2024-12-11 13:00:00+05:30,24632.5,24645.34667916361,24645.34667916361,24645.34667916361,False,-12.85,6.4,20.65,STOP_LOSS,265,270
long,2024-12-13 11:50:00+05:30,2024-12-13 12:30:00+05:30,24417.6,24559.732519705984,24364.79993989508,24559.732519705984,True,142.13,197.95,0.0,TRAIL_SL,406,414
short,2024-12-18 10:00:00+05:30,2024-12-18 10:40:00+05:30,24261.1,24293.21428015395,24293.21428015395,24293.21428015395,False,-32.11,34.25,44.8,STOP_LOSS,609,617
long,2024-12-20 09:40:00+05:30,2024-12-20 09:45:00+05:30,24045.95,23997.22006385611,23997.22006385611,23997.22006385611,False,-48.73,5.9,191.45,STOP_LOSS,755,756
short,2024-12-20 09:45:00+05:30,2024-12-20 10:15:00+05:30,23862.65,23908.78038207794,23908.78038207794,23908.78038207794,False,-46.13,55.35,98.15,STOP_LOSS,756,762
long,2024-12-23 14:35:00+05:30,2024-12-23 15:00:00+05:30,23759.15,23740.15,23729.169123218406,23729.169123218406,False,-19.0,11.55,30.85,SOFT_EOD_EXIT,889,894
short,2024-12-24 12:10:00+05:30,2024-12-24 15:00:00+05:30,23793.3,23723.55,23804.77100602764,23804.77100602764,False,69.75,78.6,25.85,SOFT_EOD_EXIT,935,969
short,2025-01-01 09:45:00+05:30,2025-01-01 10:05:00+05:30,23570.65,23594.776668406797,23594.776668406797,23594.776668406797,False,-24.13,7.85,36.0,STOP_LOSS,1281,1285
short,2025-01-03 09:30:00+05:30,2025-01-03 10:45:00+05:30,24105.2,24028.202248681762,24126.22377999859,24028.202248681762,True,77.0,98.45,22.8,TRAIL_SL,1428,1443
short,2025-01-10 09:30:00+05:30,2025-01-10 10:05:00+05:30,23458.6,23381.985311606797,23483.51857469945,23381.985311606797,True,76.61,114.25,33.0,TRAIL_SL,1803,1810
short,2025-01-21 10:05:00+05:30,2025-01-21 10:35:00+05:30,23263.5,23168.54694070981,23290.72782874524,23168.54694070981,True,94.95,135.8,10.85,TRAIL_SL,2335,2341
long,2025-01-21 11:45:00+05:30,2025-01-21 12:10:00+05:30,23370.95,23300.85503914003,23300.85503914003,23300.85503914003,False,-70.09,50.3,95.4,STOP_LOSS,2355,2360
short,2025-01-21 12:20:00+05:30,2025-01-21 12:55:00+05:30,23127.15,23177.501542658167,23177.501542658167,23177.501542658167,False,-50.35,16.05,143.85,STOP_LOSS,2362,2369
long,2025-01-22 14:15:00+05:30,2025-01-23 09:15:00+05:30,23090.95,23147.65054654052,23052.17141316463,23147.65054654052,True,56.7,78.6,8.55,TRAIL_SL,2460,2475
short,2025-01-24 09:50:00+05:30,2025-01-24 10:35:00+05:30,23158.25,23184.48895940554,23184.48895940554,23184.48895940554,False,-26.24,55.35,68.85,STOP_LOSS,2557,2566
short,2025-01-28 14:50:00+05:30,2025-01-28 15:00:00+05:30,22970.35,22929.4,23000.34119493506,23000.34119493506,False,40.95,44.65,32.05,SOFT_EOD_EXIT,2767,2769
short,2025-02-01 11:50:00+05:30,2025-02-01 12:00:00+05:30,23396.6,23443.348924096652,23443.348924096652,23443.348924096652,False,-46.75,32.9,98.35,STOP_LOSS,3031,3033
long,2025-02-03 13:05:00+05:30,2025-02-03 15:00:00+05:30,23351.55,23353.35,23320.350724506407,23320.350724506407,False,1.8,19.15,45.2,SOFT_EOD_EXIT,3121,3144
short,2025-02-07 10:15:00+05:30,2025-02-07 10:55:00+05:30,23549.5,23585.25453671958,23585.25453671958,23585.25453671958,False,-35.75,55.9,63.7,STOP_LOSS,3387,3395
short,2025-02-10 09:40:00+05:30,2025-02-10 09:50:00+05:30,23408.25,23435.546242884346,23435.546242884346,23435.546242884346,False,-27.3,3.35,46.1,STOP_LOSS,3455,3457
long,2025-02-10 14:55:00+05:30,2025-02-10 15:00:00+05:30,23400.4,23388.0,23376.99990424121,23376.99990424121,False,-12.4,9.5,20.85,SOFT_EOD_EXIT,3518,3519
long,2025-02-12 11:40:00+05:30,2025-02-12 12:15:00+05:30,23009.55,23030.349388964212,22958.179798418354,23030.349388964212,True,20.8,67.85,36.15,TRAIL_SL,3629,3636
long,2025-02-14 14:30:00+05:30,2025-02-14 14:55:00+05:30,22892.8,22938.90492914591,22853.521290625198,22938.90492914591,True,46.1,73.65,0.0,TRAIL_SL,3813,3818
short,2025-02-18 10:15:00+05:30,2025-02-18 12:30:00+05:30,22868.0,22893.495295081386,22893.495295081386,22893.495295081386,False,-25.5,66.5,32.7,STOP_LOSS,3912,3939
long,2025-02-19 09:55:00+05:30,2025-02-19 10:45:00+05:30,22989.1,23017.558511923016,22950.105445195793,23017.558511923016,True,28.46,60.85,34.85,TRAIL_SL,3983,3993
short,2025-02-21 09:40:00+05:30,2025-02-21 10:30:00+05:30,22843.5,22777.391779208403,22860.460971061755,22777.391779208403,True,66.11,110.2,9.45,TRAIL_SL,4130,4140
long,2025-02-21 12:30:00+05:30,2025-02-21 12:50:00+05:30,22822.35,22800.684407774606,22800.684407774606,22800.684407774606,False,-21.67,2.1,24.25,STOP_LOSS,4164,4168
long,2025-02-24 11:45:00+05:30,2025-02-24 11:55:00+05:30,22614.65,22593.59207643296,22593.59207643296,22593.59207643296,False,-21.06,3.15,26.1,STOP_LOSS,4230,4232
long,2025-02-25 09:35:00+05:30,2025-02-25 10:45:00+05:30,22601.2,22569.22685804437,22569.22685804437,22569.22685804437,False,-31.97,24.1,39.7,STOP_LOSS,4279,4293
short,2025-03-03 09:45:00+05:30,2025-03-03 10:15:00+05:30,22086.2,22042.566573015825,22119.301046835113,22042.566573015825,True,43.63,73.95,2.2,TRAIL_SL,4506,4512
long,2025-03-07 10:05:00+05:30,2025-03-07 12:00:00+05:30,22584.9,22540.663785573815,22540.663785573815,22540.663785573815,False,-44.24,48.9,58.7,STOP_LOSS,4810,4833
