direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
long,A,2024-12-06 09:45:00+05:30,2024-12-06 10:05:00+05:30,24722.95,24643.3,24672.208504338436,24672.208504338436,False,-79.65,28.1,97.7,4.0,STOP_LOSS,20,0H:20M,-79.65,0.2,0.13628,0.0008,-10.0,6.0,,,0.0,-13.6461,0.0,190.3237,-0.5333,0.0,-14.1794,-14.1794,-1063.46,50.0,-1113.46,2.6526
long,C,2024-12-06 11:05:00+05:30,2024-12-06 11:15:00+05:30,24738.0,24696.75,24698.238069216957,24698.238069216957,False,-41.25,2.05,47.45,0.0,STOP_LOSS,10,0H:10M,-41.25,0.2,0.167,0.0008,-10.0,6.0,,,0.0,-7.6374,0.0,51.0469,-0.2667,0.0,-7.9041,-7.9041,-592.81,50.0,-642.81,1.3298
long,C,2024-12-10 09:55:00+05:30,2024-12-10 10:35:00+05:30,24668.95,24616.05,24640.54674563171,24640.54674563171,False,-52.9,8.85,52.9,0.0,STOP_LOSS,40,0H:40M,-52.9,0.2,0.15768,0.0008,-10.0,6.0,,,0.0,-9.5726,0.0,83.9523,-1.0667,0.0,-10.6392,-10.6392,-797.94,50.0,-847.94,5.2776
short,C,2024-12-10 12:30:00+05:30,2024-12-10 15:05:00+05:30,24576.6,24620.3,24590.38627705859,24590.38627705859,False,-43.7,65.95,43.7,61.4,STOP_LOSS,155,2H:35M,43.7,-0.2,-0.16504,0.0008,-10.0,6.0,,,0.0,-8.0525,0.0,57.2907,-4.1333,0.0,-12.1858,-12.1858,-913.94,50.0,-963.94,-19.8765
long,A,2024-12-11 09:45:00+05:30,2024-12-11 10:55:00+05:30,24607.75,24654.85,24582.389765173637,24658.054117932144,True,47.1,69.25,23.9,64.0,TRAIL_SL,70,1H:10M,47.1,0.2,0.23768,0.0008,-10.0,6.0,,,0.0,10.2186,0.0,66.5523,-1.8667,0.0,8.352,8.352,626.4,50.0,576.4,9.1653
long,A,2024-12-11 10:55:00+05:30,2024-12-11 14:45:00+05:30,24654.85,24628.95,24630.223474938062,24630.223474938062,False,-25.9,36.9,30.1,31.95,STOP_LOSS,230,3H:50M,-25.9,0.2,0.17928,0.0008,-10.0,6.0,,,0.0,-4.9385,0.0,20.1243,-6.1333,0.0,-11.0718,-11.0718,-830.39,50.0,-880.39,28.9863
short,C,2024-12-12 12:15:00+05:30,2024-12-12 12:30:00+05:30,24559.5,24580.8,24571.37760253708,24571.37760253708,False,-21.3,6.05,24.15,2.3,STOP_LOSS,15,0H:15M,21.3,-0.2,-0.18296,0.0008,-10.0,6.0,,,0.0,-4.0967,0.0,13.6107,-0.4,0.0,-4.4967,-4.4967,-337.25,50.0,-387.25,-1.9921
short,C,2024-12-13 09:30:00+05:30,2024-12-13 10:55:00+05:30,24391.85,24260.0,24414.10787990644,24233.61829867066,True,131.85,211.05,17.05,181.6,TRAIL_SL,85,1H:25M,-131.85,-0.2,-0.30548,0.0008,-10.0,6.0,,,0.0,32.6284,0.0,521.5327,-2.2667,0.0,30.3617,30.3617,2277.13,50.0,2227.13,-11.0875
short,B,2024-12-13 10:55:00+05:30,2024-12-13 11:15:00+05:30,24260.0,24317.25,24290.41087756103,24290.41087756103,False,-57.25,23.4,83.0,7.65,STOP_LOSS,20,0H:20M,57.25,-0.2,-0.1542,0.0008,-10.0,6.0,,,0.0,-10.2701,0.0,98.3269,-0.5333,0.0,-10.8034,-10.8034,-810.26,50.0,-860.26,-2.6526
short,B,2024-12-13 11:25:00+05:30,2024-12-13 11:30:00+05:30,24299.2,24355.15,24332.945175983274,24332.945175983274,False,-55.95,5.7,60.65,0.0,STOP_LOSS,5,0H:05M,55.95,-0.2,-0.15524,0.0008,-10.0,6.0,,,0.0,-10.0631,0.0,93.9121,-0.1333,0.0,-10.1964,-10.1964,-764.73,50.0,-814.73,-0.6658
