direction,entry_time,exit_time,entry_price,exit_price,vwap_at_entry,price_vs_vwap,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2024-12-09 10:25:00+05:30,2024-12-09 11:10:00+05:30,24611.95,24632.236369063747,24632.78,-20.83,24632.236369063747,24632.236369063747,False,-20.29,22.9,34.1,STOP_LOSS
short,2024-12-09 14:30:00+05:30,2024-12-09 14:45:00+05:30,24616.8,24628.820994119433,24637.44,-20.64,24628.820994119433,24628.820994119433,False,-12.02,12.75,28.45,STOP_LOSS
short,2024-12-10 14:15:00+05:30,2024-12-10 14:25:00+05:30,24537.1,24551.07187826739,24604.65,-67.55,24551.07187826739,24551.07187826739,False,-13.97,9.8,25.45,STOP_LOSS
long,2024-12-13 14:35:00+05:30,2024-12-13 15:00:00+05:30,24732.6,24743.8,24489.85,242.75,24692.387258606366,24692.387258606366,False,11.2,18.2,26.75,SOFT_EOD_EXIT
short,2024-12-17 14:15:00+05:30,2024-12-17 15:00:00+05:30,24347.2,24347.3,24435.43,-88.23,24367.562063588448,24367.562063588448,False,-0.1,43.75,15.25,SOFT_EOD_EXIT
short,2024-12-18 10:20:00+05:30,2024-12-18 10:40:00+05:30,24272.05,24300.908008997078,24302.4,-30.35,24300.908008997078,24300.908008997078,False,-28.86,17.1,33.85,STOP_LOSS
short,2024-12-20 10:20:00+05:30,2024-12-20 10:35:00+05:30,23881.4,23930.402589949976,23907.34,-25.94,23930.402589949976,23930.402589949976,False,-49.0,13.3,69.4,STOP_LOSS
short,2024-12-20 14:15:00+05:30,2024-12-20 15:15:00+05:30,23708.45,23559.718946638113,23853.65,-145.2,23728.727300698683,23559.718946638113,True,148.73,171.1,16.75,TRAIL_SL
short,2024-12-30 14:30:00+05:30,2024-12-30 14:55:00+05:30,23658.25,23678.83542287042,23774.47,-116.22,23678.83542287042,23678.83542287042,False,-20.59,17.4,49.25,STOP_LOSS
short,2025-01-01 10:05:00+05:30,2025-01-01 10:10:00+05:30,23597.2,23619.929124471437,23610.92,-13.72,23619.929124471437,23619.929124471437,False,-22.73,1.35,51.05,STOP_LOSS
long,2025-01-01 14:15:00+05:30,2025-01-01 14:50:00+05:30,23782.15,23756.31261760158,23707.75,74.4,23756.31261760158,23756.31261760158,False,-25.84,15.5,37.45,STOP_LOSS
short,2025-01-03 10:20:00+05:30,2025-01-03 11:20:00+05:30,24066.95,24091.76381958406,24095.25,-28.3,24091.76381958406,24091.76381958406,False,-24.81,66.7,69.95,STOP_LOSS
short,2025-01-03 14:25:00+05:30,2025-01-03 15:00:00+05:30,24043.7,24006.85,24078.27,-34.57,24058.911380167105,24058.911380167105,False,36.85,38.35,9.8,SOFT_EOD_EXIT
short,2025-01-06 14:15:00+05:30,2025-01-06 14:45:00+05:30,23651.05,23585.562439832156,23793.6,-142.55,23677.83107543953,23585.562439832156,True,65.49,99.15,9.15,TRAIL_SL
short,2025-01-06 14:45:00+05:30,2025-01-06 14:55:00+05:30,23605.1,23630.99540184241,23776.44,-171.34,23630.99540184241,23630.99540184241,False,-25.9,5.55,38.95,STOP_LOSS
short,2025-01-10 10:15:00+05:30,2025-01-10 10:45:00+05:30,23420.2,23449.842840592646,23450.14,-29.94,23449.842840592646,23449.842840592646,False,-29.64,30.15,46.85,STOP_LOSS
short,2025-01-13 14:45:00+05:30,2025-01-13 15:00:00+05:30,23099.15,23064.75,23211.13,-111.98,23121.646344387806,23121.646344387806,False,34.4,35.9,23.65,SOFT_EOD_EXIT
