direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,2024-12-09 10:25:00+05:30,2024-12-09 11:10:00+05:30,24611.95,24632.236369063747,24632.236369063747,24632.236369063747,False,-20.29,22.9,34.1,STOP_LOSS,45,20.2864,-0.45,-0.4358,0.0007,-10.53,5.0,-8.9992,9.3625,-1.2636,0.0,-10.2628,-10.2628,-667.08,50.0,-717.08,-2.8019,65
short,2024-12-18 09:30:00+05:30,2024-12-18 09:35:00+05:30,24313.0,24336.835893310385,24336.835893310385,24336.835893310385,False,-23.84,11.9,40.8,STOP_LOSS,5,23.8359,-0.45,-0.433315,0.0007,-10.53,5.0,-10.5472,12.9254,-0.1404,0.0,-10.6876,-10.6876,-694.69,50.0,-744.69,-0.3119,65
short,2024-12-18 10:20:00+05:30,2024-12-18 10:40:00+05:30,24272.05,24300.908008997078,24300.908008997078,24300.908008997078,False,-28.86,17.1,33.85,STOP_LOSS,20,28.858,-0.45,-0.429799,0.0007,-10.53,5.0,-12.7238,18.9459,-0.5616,0.0,-13.2854,-13.2854,-863.55,50.0,-913.55,-1.2468,65
short,2024-12-19 09:50:00+05:30,2024-12-19 15:00:00+05:30,23981.2,23958.0,24019.871630848822,24019.871630848822,False,23.2,63.8,23.7,SOFT_EOD_EXIT,310,-23.2,-0.45,-0.46624,0.0007,-10.53,5.0,10.6095,12.245,-8.7048,0.0,1.9047,1.9047,123.81,50.0,73.81,-19.0614,65
short,2024-12-20 10:20:00+05:30,2024-12-20 10:35:00+05:30,23881.4,23930.402589949976,23930.402589949976,23930.402589949976,False,-49.0,13.3,69.4,STOP_LOSS,15,49.0026,-0.45,-0.415698,0.0007,-10.53,5.0,-21.2948,54.6285,-0.4212,0.0,-21.716,-21.716,-1411.54,50.0,-1461.54,-0.9353,65
short,2024-12-30 10:00:00+05:30,2024-12-30 10:25:00+05:30,23760.65,23785.33135124143,23785.33135124143,23785.33135124143,False,-24.68,14.1,35.65,STOP_LOSS,25,24.6814,-0.45,-0.432723,0.0007,-10.53,5.0,-10.9147,13.8586,-0.702,0.0,-11.6167,-11.6167,-755.09,50.0,-805.09,-1.5581,65
short,2024-12-31 09:35:00+05:30,2024-12-31 10:15:00+05:30,23580.7,23492.622356781645,23610.360744918456,23492.622356781645,True,88.08,120.25,3.8,TRAIL_SL,40,-88.0776,-0.45,-0.511654,0.0007,-10.53,5.0,42.0786,176.487,-1.1232,0.0,40.9554,40.9554,2662.1,50.0,2612.1,-2.4912,65
short,2024-12-31 10:15:00+05:30,2024-12-31 10:50:00+05:30,23521.8,23551.642553180114,23551.642553180114,23551.642553180114,False,-29.84,23.1,70.25,STOP_LOSS,35,29.8426,-0.45,-0.42911,0.0007,-10.53,5.0,-13.1486,20.2606,-0.9828,0.0,-14.1314,-14.1314,-918.54,50.0,-968.54,-2.1803,65
short,2025-01-01 10:05:00+05:30,2025-01-01 10:10:00+05:30,23597.2,23619.929124471437,23619.929124471437,23619.929124471437,False,-22.73,1.35,51.05,STOP_LOSS,5,22.7291,-0.45,-0.43409,0.0007,-10.53,5.0,-10.0654,11.7529,-0.1404,0.0,-10.2058,-10.2058,-663.38,50.0,-713.38,-0.3119,65
short,2025-01-03 10:20:00+05:30,2025-01-03 11:20:00+05:30,24066.95,24091.76381958406,24091.76381958406,24091.76381958406,False,-24.81,66.7,69.95,STOP_LOSS,60,24.8138,-0.45,-0.43263,0.0007,-10.53,5.0,-10.9723,14.0078,-1.6848,0.0,-12.6571,-12.6571,-822.71,50.0,-872.71,-3.7332,65
short,2025-01-09 09:50:00+05:30,2025-01-09 11:10:00+05:30,23625.0,23560.990395291592,23644.645435787585,23560.990395291592,True,64.01,87.05,27.85,TRAIL_SL,80,-64.0096,-0.45,-0.494807,0.0007,-10.53,5.0,30.0949,93.212,-2.2464,0.0,27.8485,27.8485,1810.16,50.0,1760.16,-4.9728,65
short,2025-01-10 10:15:00+05:30,2025-01-10 10:45:00+05:30,23420.2,23449.842840592646,23449.842840592646,23449.842840592646,False,-29.64,30.15,46.85,STOP_LOSS,30,29.6428,-0.45,-0.42925,0.0007,-10.53,5.0,-13.0625,19.9904,-0.8424,0.0,-13.9049,-13.9049,-903.82,50.0,-953.82,-1.8693,65
short,2025-01-13 10:00:00+05:30,2025-01-13 10:25:00+05:30,23261.45,23296.92166096395,23296.92166096395,23296.92166096395,False,-35.47,22.25,62.0,STOP_LOSS,25,35.4717,-0.45,-0.42517,0.0007,-10.53,5.0,-15.5659,28.6249,-0.702,0.0,-16.2679,-16.2679,-1057.41,50.0,-1107.41,-1.5581,65
long,2025-01-16 09:50:00+05:30,2025-01-16 15:00:00+05:30,23306.9,23310.6,23274.344796288653,23274.344796288653,False,3.7,34.0,34.85,SOFT_EOD_EXIT,310,3.7,0.45,0.45259,0.0007,-10.53,5.0,1.6693,0.3114,-8.7048,0.0,-7.0355,-7.0355,-457.31,50.0,-507.31,19.0614,65
short,2025-01-17 09:55:00+05:30,2025-01-17 10:25:00+05:30,23226.0,23252.713379248027,23252.713379248027,23252.713379248027,False,-26.71,28.5,38.15,STOP_LOSS,30,26.7134,-0.45,-0.431301,0.0007,-10.53,5.0,-11.7962,16.2345,-0.8424,0.0,-12.6386,-12.6386,-821.51,50.0,-871.51,-1.8693,65
short,2025-01-24 10:20:00+05:30,2025-01-24 10:35:00+05:30,23156.9,23183.321773323176,23183.321773323176,23183.321773323176,False,-26.42,0.0,70.2,STOP_LOSS,15,26.4218,-0.45,-0.431505,0.0007,-10.53,5.0,-11.6699,15.882,-0.4212,0.0,-12.0911,-12.0911,-785.92,50.0,-835.92,-0.9353,65
long,2025-01-29 10:15:00+05:30,2025-01-29 11:10:00+05:30,23055.4,23106.49690141993,23019.59322374714,23106.49690141993,True,51.1,70.45,0.0,TRAIL_SL,55,51.0969,0.45,0.485768,0.0007,-10.53,5.0,23.816,59.3978,-1.5444,0.0,22.2716,22.2716,1447.66,50.0,1397.66,3.4229,65
long,2025-01-31 10:10:00+05:30,2025-01-31 11:05:00+05:30,23340.2,23426.480875863013,23299.343542124738,23426.480875863013,True,86.28,104.35,8.5,TRAIL_SL,55,86.2809,0.45,0.510397,0.0007,-10.53,5.0,41.1714,169.3599,-1.5444,0.0,39.627,39.627,2575.75,50.0,2525.75,3.4229,65
long,2025-02-01 10:05:00+05:30,2025-02-01 11:35:00+05:30,23558.15,23609.014537449166,23520.246006174926,23609.014537449166,True,50.86,74.3,27.35,TRAIL_SL,90,50.8645,0.45,0.485605,0.0007,-10.53,5.0,23.704,58.8588,-2.5272,0.0,21.1768,21.1768,1376.49,50.0,1326.49,5.5917,65
short,2025-02-03 10:20:00+05:30,2025-02-03 10:40:00+05:30,23276.6,23303.45376531413,23303.45376531413,23303.45376531413,False,-26.85,9.95,39.05,STOP_LOSS,20,26.8538,-0.45,-0.431202,0.0007,-10.53,5.0,-11.857,16.4056,-0.5616,0.0,-12.4186,-12.4186,-807.21,50.0,-857.21,-1.2468,65
long,2025-02-04 10:15:00+05:30,2025-02-04 10:35:00+05:30,23525.35,23489.11336775267,23489.11336775267,23489.11336775267,False,-36.24,9.15,102.2,STOP_LOSS,20,-36.2366,0.45,0.424634,0.0007,-10.53,5.0,-15.8929,29.8729,-0.5616,0.0,-16.4545,-16.4545,-1069.54,50.0,-1119.54,1.2468,65
long,2025-02-05 09:50:00+05:30,2025-02-05 11:15:00+05:30,23759.5,23726.87669032651,23726.87669032651,23726.87669032651,False,-32.62,26.8,45.0,STOP_LOSS,85,-32.6233,0.45,0.427164,0.0007,-10.53,5.0,-14.3452,24.2124,-2.3868,0.0,-16.732,-16.732,-1087.58,50.0,-1137.58,5.2823,65
short,2025-02-06 10:20:00+05:30,2025-02-06 13:55:00+05:30,23647.75,23576.653044696355,23666.057360967283,23576.653044696355,True,71.1,85.5,9.15,TRAIL_SL,215,-71.097,-0.45,-0.499768,0.0007,-10.53,5.0,33.5859,114.9962,-6.0372,0.0,27.5487,27.5487,1790.66,50.0,1740.66,-13.2789,65
short,2025-02-11 09:40:00+05:30,2025-02-11 10:20:00+05:30,23339.95,23279.17948843486,23359.94291495327,23279.17948843486,True,60.77,78.7,3.4,TRAIL_SL,40,-60.7705,-0.45,-0.492539,0.0007,-10.53,5.0,28.51,84.017,-1.1232,0.0,27.3868,27.3868,1780.14,50.0,1730.14,-2.4912,65
short,2025-02-11 10:25:00+05:30,2025-02-11 13:15:00+05:30,23289.0,23051.251177613893,23306.62185303051,23051.251177613893,True,237.75,266.55,12.75,TRAIL_SL,170,-237.7488,-0.45,-0.616424,0.0007,-10.53,5.0,124.7922,1285.9324,-4.7736,0.0,120.0186,120.0186,7801.21,50.0,7751.21,-10.5219,65
short,2025-02-12 10:25:00+05:30,2025-02-12 10:30:00+05:30,22857.85,22887.53669833139,22887.53669833139,22887.53669833139,False,-29.69,7.7,32.9,STOP_LOSS,5,29.6867,-0.45,-0.429219,0.0007,-10.53,5.0,-13.0814,20.0496,-0.1404,0.0,-13.2218,-13.2218,-859.42,50.0,-909.42,-0.3119,65
short,2025-02-17 10:05:00+05:30,2025-02-17 10:25:00+05:30,22779.0,22813.173971873883,22813.173971873883,22813.173971873883,False,-34.17,29.0,48.85,STOP_LOSS,20,34.174,-0.45,-0.426078,0.0007,-10.53,5.0,-15.0104,26.5688,-0.5616,0.0,-15.572,-15.572,-1012.18,50.0,-1062.18,-1.2468,65
short,2025-02-19 09:30:00+05:30,2025-02-19 09:45:00+05:30,22890.65,22915.157426706206,22915.157426706206,22915.157426706206,False,-24.51,8.55,74.25,STOP_LOSS,15,24.5074,-0.45,-0.432845,0.0007,-10.53,5.0,-10.8391,13.664,-0.4212,0.0,-11.2603,-11.2603,-731.92,50.0,-781.92,-0.9353,65
short,2025-02-20 09:35:00+05:30,2025-02-20 13:50:00+05:30,22891.15,22913.861914741083,22913.861914741083,22913.861914741083,False,-22.71,78.4,31.85,STOP_LOSS,255,22.7119,-0.45,-0.434102,0.0007,-10.53,5.0,-10.0579,11.7352,-7.1604,0.0,-17.2183,-17.2183,-1119.19,50.0,-1169.19,-15.7198,65
short,2025-02-28 10:15:00+05:30,2025-02-28 12:15:00+05:30,22286.55,22227.973421673203,22309.33994014403,22227.973421673203,True,58.58,69.05,13.95,TRAIL_SL,120,-58.5766,-0.45,-0.491004,0.0007,-10.53,5.0,27.4403,78.0602,-3.3696,0.0,24.0707,24.0707,1564.6,50.0,1514.6,-7.4449,65
short,2025-03-04 09:35:00+05:30,2025-03-04 10:55:00+05:30,22047.75,22081.08103098711,22081.08103098711,22081.08103098711,False,-33.33,34.15,43.3,STOP_LOSS,80,33.331,-0.45,-0.426668,0.0007,-10.53,5.0,-14.649,25.2743,-2.2464,0.0,-16.8954,-16.8954,-1098.2,50.0,-1148.2,-4.9728,65
long,2025-03-05 10:15:00+05:30,2025-03-05 11:05:00+05:30,22219.45,22274.968520212642,22187.15465041585,22274.968520212642,True,55.52,76.9,8.35,TRAIL_SL,50,55.5185,0.45,0.488863,0.0007,-10.53,5.0,25.9543,70.1225,-1.404,0.0,24.5503,24.5503,1595.77,50.0,1545.77,3.1125,65
long,2025-03-10 10:10:00+05:30,2025-03-10 12:00:00+05:30,22631.75,22599.98619287431,22599.98619287431,22599.98619287431,False,-31.76,18.75,40.65,STOP_LOSS,110,-31.7638,0.45,0.427765,0.0007,-10.53,5.0,-13.9759,22.9534,-3.0888,0.0,-17.0647,-17.0647,-1109.21,50.0,-1159.21,6.8277,65
short,2025-03-11 09:45:00+05:30,2025-03-11 10:40:00+05:30,22399.75,22431.399873260554,22431.399873260554,22431.399873260554,False,-31.65,30.7,49.6,STOP_LOSS,55,31.6499,-0.45,-0.427845,0.0007,-10.53,5.0,-13.9269,22.789,-1.5444,0.0,-15.4713,-15.4713,-1005.63,50.0,-1055.63,-3.4229,65
