direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,A,2024-12-09 10:25:00+05:30,2024-12-09 11:10:00+05:30,24611.95,24632.236369063747,24632.236369063747,24632.236369063747,False,-20.29,22.9,34.1,STOP_LOSS,89,98
short,A,2024-12-10 13:00:00+05:30,2024-12-10 15:00:00+05:30,24572.15,24586.902544371616,24586.902544371616,24586.902544371616,False,-14.75,61.5,35.4,STOP_LOSS,195,219
short,B,2024-12-13 09:35:00+05:30,2024-12-13 10:55:00+05:30,24389.15,24233.61829867066,24411.330162585586,24233.61829867066,True,155.53,208.35,18.1,TRAIL_SL,379,395
short,B,2024-12-17 09:45:00+05:30,2024-12-17 10:40:00+05:30,24521.0,24428.707482474674,24542.626184293782,24428.707482474674,True,92.29,137.25,12.6,TRAIL_SL,531,542
short,A,2024-12-18 09:30:00+05:30,2024-12-18 09:35:00+05:30,24313.0,24336.835893310385,24336.835893310385,24336.835893310385,False,-23.84,11.9,40.8,STOP_LOSS,603,604
short,B,2024-12-18 10:05:00+05:30,2024-12-18 10:30:00+05:30,24249.25,24280.107376133426,24280.107376133426,24280.107376133426,False,-30.86,22.4,51.65,STOP_LOSS,610,615
short,A,2024-12-19 09:50:00+05:30,2024-12-19 15:00:00+05:30,23981.2,23958.0,24019.871630848822,24019.871630848822,False,23.2,63.8,23.7,SOFT_EOD_EXIT,682,744
short,B,2024-12-20 09:55:00+05:30,2024-12-20 10:15:00+05:30,23847.9,23893.693042538544,23893.693042538544,23893.693042538544,False,-45.79,40.6,112.9,STOP_LOSS,758,762
short,A,2024-12-20 10:20:00+05:30,2024-12-20 10:35:00+05:30,23881.4,23930.402589949976,23930.402589949976,23930.402589949976,False,-49.0,13.3,69.4,STOP_LOSS,763,766
short,A,2024-12-23 13:00:00+05:30,2024-12-23 14:25:00+05:30,23718.35,23740.72421291993,23740.72421291993,23740.72421291993,False,-22.37,71.15,29.5,STOP_LOSS,870,887
long,B,2024-12-27 09:50:00+05:30,2024-12-27 11:20:00+05:30,23904.0,23869.021604098863,23869.021604098863,23869.021604098863,False,-34.98,34.85,41.15,STOP_LOSS,1057,1075
short,B,2024-12-30 09:35:00+05:30,2024-12-30 09:45:00+05:30,23726.05,23746.19898125998,23746.19898125998,23746.19898125998,False,-20.15,16.95,35.3,STOP_LOSS,1129,1131
short,A,2024-12-30 10:00:00+05:30,2024-12-30 10:25:00+05:30,23760.65,23785.33135124143,23785.33135124143,23785.33135124143,False,-24.68,14.1,35.65,STOP_LOSS,1134,1139
short,A,2024-12-31 09:35:00+05:30,2024-12-31 10:15:00+05:30,23580.7,23492.622356781645,23610.360744918456,23492.622356781645,True,88.08,120.25,3.8,TRAIL_SL,1204,1212
short,A,2024-12-31 10:15:00+05:30,2024-12-31 10:50:00+05:30,23521.8,23551.642553180114,23551.642553180114,23551.642553180114,False,-29.84,23.1,70.25,STOP_LOSS,1212,1219
short,B,2025-01-01 09:45:00+05:30,2025-01-01 10:05:00+05:30,23570.65,23594.776668406797,23594.776668406797,23594.776668406797,False,-24.13,7.85,36.0,STOP_LOSS,1281,1285
short,A,2025-01-01 10:05:00+05:30,2025-01-01 10:10:00+05:30,23597.2,23619.929124471437,23619.929124471437,23619.929124471437,False,-22.73,1.35,51.05,STOP_LOSS,1285,1286
long,A,2025-01-02 11:55:00+05:30,2025-01-02 13:25:00+05:30,23937.4,24102.07693860599,23910.72499245304,24102.07693860599,True,164.68,192.35,10.05,TRAIL_SL,1382,1400
short,A,2025-01-03 10:20:00+05:30,2025-01-03 11:20:00+05:30,24066.95,24091.76381958406,24091.76381958406,24091.76381958406,False,-24.81,66.7,69.95,STOP_LOSS,1438,1450
