direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,CROSSOVER_BREAKOUT,2024-12-06 10:15:00+05:30,2024-12-06 10:20:00+05:30,24628.4,24665.01973109096,24665.01973109096,24665.01973109096,False,-36.62,2.05,98.45,STOP_LOSS,5,36.6197,-0.3,-0.278028,0.0006,-10.53,-10.6238,26.1496,-0.1404,0.0,-10.7642,-10.7642,-699.68,50.0,-749.68,-0.4678,65
short,RETEST,2024-12-09 10:25:00+05:30,2024-12-09 11:10:00+05:30,24611.95,24632.236369063747,24632.236369063747,24632.236369063747,False,-20.29,22.9,34.1,STOP_LOSS,45,20.2864,-0.3,-0.287828,0.0006,-10.53,-5.9748,8.025,-1.2636,0.0,-7.2384,-7.2384,-470.5,50.0,-520.5,-4.1944,65
short,RETEST,2024-12-18 09:30:00+05:30,2024-12-18 09:35:00+05:30,24313.0,24336.835893310385,24336.835893310385,24336.835893310385,False,-23.84,11.9,40.8,STOP_LOSS,5,23.8359,-0.3,-0.285698,0.0006,-10.53,-6.9974,11.0789,-0.1404,0.0,-7.1378,-7.1378,-463.95,50.0,-513.95,-0.4678,65
short,CROSSOVER_BREAKOUT,2024-12-18 10:05:00+05:30,2024-12-18 10:30:00+05:30,24249.25,24280.107376133426,24280.107376133426,24280.107376133426,False,-30.86,22.4,51.65,STOP_LOSS,25,30.8574,-0.3,-0.281486,0.0006,-10.53,-9.0001,18.5675,-0.702,0.0,-9.7021,-9.7021,-630.64,50.0,-680.64,-2.3345,65
short,CROSSOVER_BREAKOUT,2024-12-20 09:55:00+05:30,2024-12-20 10:10:00+05:30,23847.9,23846.9,23893.693042538544,23846.9,True,1.0,40.6,15.9,TRAIL_SL,15,-1.0,-0.3,-0.3006,0.0006,-10.53,0.3003,0.0195,-0.4212,0.0,-0.1209,-0.1209,-7.86,50.0,-57.86,-1.402,65
short,RETEST,2024-12-20 10:20:00+05:30,2024-12-20 10:35:00+05:30,23881.4,23930.402589949976,23930.402589949976,23930.402589949976,False,-49.0,13.3,69.4,STOP_LOSS,15,49.0026,-0.3,-0.270598,0.0006,-10.53,-14.0524,46.8244,-0.4212,0.0,-14.4736,-14.4736,-940.79,50.0,-990.79,-1.402,65
short,CROSSOVER_BREAKOUT,2025-01-01 09:45:00+05:30,2025-01-01 10:05:00+05:30,23570.65,23594.776668406797,23594.776668406797,23594.776668406797,False,-24.13,7.85,36.0,STOP_LOSS,20,24.1267,-0.3,-0.285524,0.0006,-10.53,-7.0808,11.3509,-0.5616,0.0,-7.6424,-7.6424,-496.76,50.0,-546.76,-1.8685,65
short,RETEST,2025-01-01 10:05:00+05:30,2025-01-01 10:10:00+05:30,23597.2,23619.929124471437,23619.929124471437,23619.929124471437,False,-22.73,1.35,51.05,STOP_LOSS,5,22.7291,-0.3,-0.286363,0.0006,-10.53,-6.6793,10.074,-0.1404,0.0,-6.8197,-6.8197,-443.28,50.0,-493.28,-0.4678,65
short,CROSSOVER_BREAKOUT,2025-01-03 09:40:00+05:30,2025-01-03 10:00:00+05:30,24083.4,24075.440610696445,24105.638194754498,24075.440610696445,True,7.96,31.9,25.9,TRAIL_SL,20,-7.9594,-0.3,-0.304776,0.0006,-10.53,2.4049,1.2354,-0.5616,0.0,1.8433,1.8433,119.82,50.0,69.82,-1.8685,65
short,RETEST,2025-01-03 10:20:00+05:30,2025-01-03 10:45:00+05:30,24066.95,24028.202248681762,24091.76381958406,24028.202248681762,True,38.75,60.2,1.9,TRAIL_SL,25,-38.7478,-0.3,-0.323249,0.0006,-10.53,12.0297,29.2771,-0.702,0.0,11.3277,11.3277,736.3,50.0,686.3,-2.3345,65
