direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2024-12-09 10:25:00+05:30,2024-12-09 10:45:00+05:30,24611.95,24625.474246042497,24632.236369063747,24625.474246042497,2,False,True,-13.52,22.9,34.1,MICRO_SL
short,2024-12-09 10:55:00+05:30,2024-12-09 11:10:00+05:30,24614.8,24633.13009463258,24633.13009463258,24633.13009463258,2,False,False,-18.33,6.65,22.2,STOP_LOSS
short,2024-12-10 13:00:00+05:30,2024-12-10 13:20:00+05:30,24572.15,24538.201813448653,24586.902544371616,24538.201813448653,2,True,True,33.95,46.2,4.75,TRAIL_SL
short,2024-12-10 13:30:00+05:30,2024-12-10 13:55:00+05:30,24555.8,24536.832719455746,24571.75409151568,24536.832719455746,3,True,False,18.97,45.15,14.15,TRAIL_SL
short,2024-12-10 13:55:00+05:30,2024-12-10 14:25:00+05:30,24538.5,24555.042306371863,24555.042306371863,24555.042306371863,3,False,False,-16.54,15.65,24.05,STOP_LOSS
short,2024-12-13 10:55:00+05:30,2024-12-13 11:15:00+05:30,24260.0,24290.41087756103,24290.41087756103,24290.41087756103,3,False,False,-30.41,23.4,83.0,STOP_LOSS
long,2024-12-13 14:50:00+05:30,2024-12-13 15:10:00+05:30,24733.25,24772.229328637146,24694.760959157982,24772.229328637146,2,True,True,38.98,57.0,5.25,TRAIL_SL
short,2024-12-17 10:45:00+05:30,2024-12-17 11:05:00+05:30,24461.9,24486.530136323443,24486.530136323443,24486.530136323443,3,False,False,-24.63,24.15,38.2,STOP_LOSS
short,2024-12-17 13:35:00+05:30,2024-12-17 14:15:00+05:30,24373.9,24346.689650870758,24396.344344485267,24346.689650870758,2,True,True,27.21,43.5,14.4,TRAIL_SL
short,2024-12-19 10:20:00+05:30,2024-12-19 11:35:00+05:30,23951.65,23980.280325469477,23980.280325469477,23980.280325469477,2,False,False,-28.63,18.8,53.25,STOP_LOSS
short,2024-12-20 13:30:00+05:30,2024-12-20 14:15:00+05:30,23756.5,23707.967324366797,23778.316777815515,23707.967324366797,3,True,False,48.53,80.3,0.25,TRAIL_SL
short,2024-12-20 14:15:00+05:30,2024-12-20 15:20:00+05:30,23708.45,23578.187893276227,23728.727300698683,23578.187893276227,3,True,False,130.26,171.1,16.75,TRAIL_SL
short,2024-12-23 13:50:00+05:30,2024-12-23 14:15:00+05:30,23686.1,23699.76855192526,23706.602827887888,23699.76855192526,2,False,True,-13.67,25.9,54.6,MICRO_SL
long,2024-12-27 10:40:00+05:30,2024-12-27 11:00:00+05:30,23913.35,23889.035899691007,23889.035899691007,23889.035899691007,3,False,False,-24.31,1.35,28.85,STOP_LOSS
short,2024-12-30 10:00:00+05:30,2024-12-30 10:25:00+05:30,23760.65,23785.33135124143,23785.33135124143,23785.33135124143,2,False,False,-24.68,14.1,35.65,STOP_LOSS
short,2024-12-30 14:30:00+05:30,2024-12-30 14:55:00+05:30,23658.25,23678.83542287042,23678.83542287042,23678.83542287042,3,False,False,-20.59,17.4,49.25,STOP_LOSS
short,2024-12-31 10:30:00+05:30,2024-12-31 10:50:00+05:30,23519.55,23549.412085729396,23549.412085729396,23549.412085729396,2,False,False,-29.86,2.6,72.5,STOP_LOSS
long,2025-01-01 14:15:00+05:30,2025-01-01 14:50:00+05:30,23782.15,23756.31261760158,23756.31261760158,23756.31261760158,2,False,False,-25.84,15.5,37.45,STOP_LOSS
short,2025-01-06 14:15:00+05:30,2025-01-06 14:40:00+05:30,23651.05,23572.263447854537,23677.83107543953,23572.263447854537,2,True,True,78.79,99.15,9.15,TRAIL_SL
