direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
short,C,2015-01-09 12:15:00+05:30,2015-01-09 12:50:00+05:30,8221.5,8245.0,8234.007379887844,8234.007379887844,False,-23.5,23.1,31.35,16.75,STOP_LOSS,35,0H:35M,23.5,-0.2,-0.1812,0.0008,0.0,6.0,,,0.0,-4.5012,0.0,16.5675,0.0,0.0,-4.5012,-4.5012,-337.59,50.0,-387.59,0.0
long,A,2015-01-12 09:30:00+05:30,2015-01-12 10:05:00+05:30,8262.85,8274.05,8243.968013676635,8277.42961554702,True,11.2,29.85,6.5,23.05,TRAIL_SL,35,0H:35M,11.2,0.2,0.20896,0.0008,0.0,6.0,,,0.0,2.2852,0.0,3.7632,0.0,0.0,2.2852,2.2852,171.39,50.0,121.39,0.0
long,A,2015-01-12 10:05:00+05:30,2015-01-12 10:35:00+05:30,8274.05,8281.4,8257.38800024397,8286.276775950302,True,7.35,23.25,0.6,20.0,TRAIL_SL,30,0H:30M,7.35,0.2,0.20588,0.0008,0.0,6.0,,,0.0,1.4894,0.0,1.6207,0.0,0.0,1.4894,1.4894,111.71,50.0,61.71,0.0
long,A,2015-01-12 10:35:00+05:30,2015-01-12 12:10:00+05:30,8281.4,8268.6,8268.828845649787,8268.828845649787,False,-12.8,12.5,18.0,9.6,STOP_LOSS,95,1H:35M,-12.8,0.2,0.18976,0.0008,0.0,6.0,,,0.0,-2.501,0.0,4.9152,0.0,0.0,-2.501,-2.501,-187.58,50.0,-237.58,0.0
long,A,2015-01-13 09:30:00+05:30,2015-01-13 13:20:00+05:30,8327.8,8346.9,8313.097033698441,8350.981468729175,True,19.1,28.45,6.5,27.05,TRAIL_SL,230,3H:50M,19.1,0.2,0.21528,0.0008,0.0,6.0,,,0.0,3.9513,0.0,10.9443,0.0,0.0,3.9513,3.9513,296.35,50.0,246.35,0.0
short,C,2015-01-14 11:15:00+05:30,2015-01-14 11:45:00+05:30,8284.1,8292.05,8290.225923398031,8290.225923398031,False,-7.95,5.55,8.4,2.4,STOP_LOSS,30,0H:30M,7.95,-0.2,-0.19364,0.0008,0.0,6.0,,,0.0,-1.5672,0.0,1.8961,0.0,0.0,-1.5672,-1.5672,-117.54,50.0,-167.54,0.0
short,C,2015-01-14 12:15:00+05:30,2015-01-14 12:40:00+05:30,8275.6,8253.85,8281.334968384512,8250.53071716522,True,21.75,38.85,1.95,31.15,TRAIL_SL,25,0H:25M,-21.75,-0.2,-0.2174,0.0008,0.0,6.0,,,0.0,4.5203,0.0,14.1919,0.0,0.0,4.5203,4.5203,339.02,50.0,289.02,0.0
short,B,2015-01-14 12:55:00+05:30,2015-01-14 14:05:00+05:30,8252.45,8272.65,8259.853118450084,8259.853118450084,False,-20.2,8.4,20.3,6.5,STOP_LOSS,70,1H:10M,20.2,-0.2,-0.18384,0.0008,0.0,6.0,,,0.0,-3.8931,0.0,12.2412,0.0,0.0,-3.8931,-3.8931,-291.98,50.0,-341.98,0.0
long,C,2015-01-15 09:30:00+05:30,2015-01-15 12:05:00+05:30,8430.1,8454.15,8394.958572775966,8458.025295590014,True,24.05,38.45,31.0,33.3,TRAIL_SL,155,2H:35M,24.05,0.2,0.21924,0.0008,0.0,6.0,,,0.0,5.0182,0.0,17.3521,0.0,0.0,5.0182,5.0182,376.37,50.0,326.37,0.0
long,A,2015-01-15 12:05:00+05:30,2015-01-15 12:50:00+05:30,8454.15,8474.15,8443.699999597444,8477.740392403564,True,20.0,28.8,2.4,28.6,TRAIL_SL,45,0H:45M,20.0,0.2,0.216,0.0008,0.0,6.0,,,0.0,4.144,0.0,12.0,0.0,0.0,4.144,4.144,310.8,50.0,260.8,0.0
long,A,2015-01-15 13:05:00+05:30,2015-01-15 14:50:00+05:30,8474.85,8515.85,8466.592073577805,8520.9244562663,True,41.0,52.05,6.7,51.65,TRAIL_SL,105,1H:45M,41.0,0.2,0.2328,0.0008,0.0,6.0,,,0.0,8.8052,0.0,50.43,0.0,0.0,8.8052,8.8052,660.39,50.0,610.39,0.0
long,C,2015-01-19 09:30:00+05:30,2015-01-19 15:10:00+05:30,8557.65,8551.45,8529.288012502295,8529.288012502295,False,-6.2,13.15,25.95,11.05,SOFT_EOD_EXIT,340,5H:40M,-6.2,0.2,0.19504,0.0008,0.0,6.0,,,0.0,-1.2262,0.0,1.1532,0.0,0.0,-1.2262,-1.2262,-91.96,50.0,-141.96,0.0
long,C,2015-01-20 09:30:00+05:30,2015-01-20 12:45:00+05:30,8589.0,8618.5,8577.45357324358,8620.978042236546,True,29.5,40.3,1.3,35.55,TRAIL_SL,195,3H:15M,29.5,0.2,0.2236,0.0008,0.0,6.0,,,0.0,6.2133,0.0,26.1075,0.0,0.0,6.2133,6.2133,466.0,50.0,416.0,0.0
long,C,2015-01-20 12:45:00+05:30,2015-01-20 13:45:00+05:30,8618.5,8635.25,8610.532606543347,8637.022010931649,True,16.75,25.45,5.6,23.1,TRAIL_SL,60,1H:00M,16.75,0.2,0.2134,0.0008,0.0,6.0,,,0.0,3.451,0.0,8.4169,0.0,0.0,3.451,3.451,258.83,50.0,208.83,0.0
long,C,2015-01-21 09:30:00+05:30,2015-01-21 10:05:00+05:30,8716.55,8720.6,8703.35183878524,8730.851859351227,True,4.05,24.95,0.0,20.6,TRAIL_SL,35,0H:35M,4.05,0.2,0.20324,0.0008,0.0,6.0,,,0.0,0.8159,0.0,0.4921,0.0,0.0,0.8159,0.8159,61.19,50.0,11.19,0.0
long,A,2015-01-21 10:05:00+05:30,2015-01-21 10:55:00+05:30,8720.6,8703.65,8706.85122287546,8706.85122287546,False,-16.95,12.55,17.4,8.0,STOP_LOSS,50,0H:50M,-16.95,0.2,0.18644,0.0008,0.0,6.0,,,0.0,-3.2866,0.0,8.6191,0.0,0.0,-3.2866,-3.2866,-246.49,50.0,-296.49,0.0
long,C,2015-01-22 09:30:00+05:30,2015-01-22 10:50:00+05:30,8744.45,8761.4,8732.212287609702,8766.846321424988,True,16.95,28.0,1.75,26.4,TRAIL_SL,80,1H:20M,16.95,0.2,0.21356,0.0008,0.0,6.0,,,0.0,3.4934,0.0,8.6191,0.0,0.0,3.4934,3.4934,262.01,50.0,212.01,0.0
long,A,2015-01-22 10:50:00+05:30,2015-01-22 10:55:00+05:30,8761.4,8752.8,8752.876290469978,8752.876290469978,False,-8.6,0.0,8.65,0.0,STOP_LOSS,5,0H:05M,-8.6,0.2,0.19312,0.0008,0.0,6.0,,,0.0,-1.6934,0.0,2.2188,0.0,0.0,-1.6934,-1.6934,-127.0,50.0,-177.0,0.0
long,C,2015-01-23 09:30:00+05:30,2015-01-23 10:15:00+05:30,8862.8,8835.9,8842.087238004311,8842.087238004311,False,-26.9,3.35,32.1,0.0,STOP_LOSS,45,0H:45M,-26.9,0.2,0.17848,0.0008,0.0,6.0,,,0.0,-5.1195,0.0,21.7083,0.0,0.0,-5.1195,-5.1195,-383.96,50.0,-433.96,0.0
