direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
short,B,2015-01-30 11:30:00+05:30,2015-01-30 15:00:00+05:30,8843.9,8806.8,8857.225586241686,8809.75,8747.92,True,37.1,68.3,14.35,EOD_EXIT,1000,1042,TP=8748 RR=7.20 space=111pts opp_str=58 no_align
short,B,2015-02-09 10:00:00+05:30,2015-02-09 10:20:00+05:30,8551.95,8564.184175148943,8564.184175148943,8564.184175148943,8338.63,False,-12.23,3.75,22.45,STOP_LOSS,1432,1436,TP=8339 RR=17.44 space=228pts opp_str=49 no_align
short,B,2015-04-30 09:35:00+05:30,2015-04-30 10:25:00+05:30,8156.75,8169.4891395197565,8169.4891395197565,8169.4891395197565,8118.53258144073,False,-12.74,9.0,19.95,STOP_LOSS,5471,5481,TP=8119 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2015-05-06 09:55:00+05:30,2015-05-06 10:15:00+05:30,8186.05,8163.450000000001,8205.552798003955,8163.450000000001,8127.541605988133,True,22.6,45.2,2.05,TRAIL_SL,5700,5704,TP=8128 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@8217(str=63)
short,B,2015-05-06 10:15:00+05:30,2015-05-06 13:00:00+05:30,8164.55,8132.75,8183.790883729204,8132.75,8106.827348812387,True,31.8,63.6,18.2,TRAIL_SL,5704,5737,TP=8107 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2015-08-24 13:05:00+05:30,2015-08-24 13:10:00+05:30,7923.8,7936.208197069038,7936.208197069038,7936.208197069038,7886.575408792887,False,-12.41,0.0,25.85,STOP_LOSS,11588,11589,TP=7887 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@7947(str=42)
short,B,2015-08-26 14:35:00+05:30,2015-08-26 14:40:00+05:30,7816.0,7830.539963326608,7830.539963326608,7830.539963326608,7772.380110020176,False,-14.54,5.35,17.9,STOP_LOSS,11756,11757,TP=7772 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2015-09-04 09:35:00+05:30,2015-09-04 10:15:00+05:30,7697.15,7668.45,7715.724955189405,7668.45,7641.4251344317845,True,28.7,57.4,2.95,TRAIL_SL,12221,12229,TP=7641 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2015-10-05 09:40:00+05:30,2015-10-05 15:00:00+05:30,8058.2,8124.7,8039.054381799753,8100.95,8328.94,True,66.5,68.65,7.8,EOD_EXIT,13571,13635,TP=8329 RR=14.14 space=286pts opp_str=47 SUP@8028(str=63)
short,B,2016-01-11 09:35:00+05:30,2016-01-11 09:55:00+05:30,7500.0,7512.18773015154,7512.18773015154,7512.18773015154,7463.436809545382,False,-12.19,5.45,16.0,STOP_LOSS,18442,18446,TP=7463 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2016-01-13 11:35:00+05:30,2016-01-13 11:50:00+05:30,7465.5,7479.855687796086,7479.855687796086,7479.855687796086,7422.432936611741,False,-14.36,11.95,22.4,STOP_LOSS,18616,18619,TP=7422 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2016-01-20 09:35:00+05:30,2016-01-20 14:50:00+05:30,7308.2,7268.3,7324.549604398696,7268.3,7259.151186803911,True,39.9,66.6,15.5,TRAIL_SL,18967,19030,TP=7259 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2016-02-11 14:20:00+05:30,2016-02-11 15:00:00+05:30,7034.2,6965.25,7046.832634142091,7006.85,6996.302097573727,True,68.95,70.4,16.6,EOD_EXIT,20149,20157,TP=6996 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2016-02-12 10:15:00+05:30,2016-02-12 10:30:00+05:30,6931.2,6946.4885429279575,6946.4885429279575,6946.4885429279575,6885.334371216127,False,-15.29,10.8,21.2,STOP_LOSS,20175,20178,TP=6885 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2016-02-29 12:15:00+05:30,2016-02-29 12:25:00+05:30,6941.05,6908.475,6961.3564730927765,6908.475,6880.130580721671,True,32.57,114.7,0.0,TRAIL_SL,21024,21026,TP=6880 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@6965(str=62)
short,B,2016-02-29 12:25:00+05:30,2016-02-29 12:45:00+05:30,6912.75,6944.593750900796,6944.593750900796,6944.593750900796,6817.21874729761,False,-31.84,40.6,55.35,STOP_LOSS,21026,21030,TP=6817 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2016-04-13 09:35:00+05:30,2016-04-13 14:05:00+05:30,7821.85,7833.05,7804.145809627299,7833.05,7874.962571118103,True,11.2,26.65,10.5,TRAIL_SL,23167,23221,TP=7875 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2016-07-11 09:35:00+05:30,2016-07-11 10:35:00+05:30,8452.55,8453.4,8434.836304709168,8434.836304709168,8505.691085872491,False,0.85,9.45,6.95,NO_PROGRESS,27592,27604,TP=8506 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
