direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason
short,2015-01-09 10:00:00+05:30,2015-01-09 11:35:00+05:30,8285.5,8254.923992511378,8294.236002139607,8254.923992511378,30.58,TAKE_PROFIT
short,2015-01-09 12:45:00+05:30,2015-01-09 12:50:00+05:30,8217.2,8228.690471219452,8228.690471219452,8176.98335073192,-11.49,STOP_LOSS
short,2015-01-09 14:05:00+05:30,2015-01-09 14:15:00+05:30,8230.05,8241.89272302418,8241.89272302418,8188.600469415367,-11.84,STOP_LOSS
long,2015-01-12 10:05:00+05:30,2015-01-12 12:15:00+05:30,8274.05,8263.63625015248,8263.63625015248,8310.498124466316,-10.41,STOP_LOSS
long,2015-01-12 14:10:00+05:30,2015-01-12 14:20:00+05:30,8283.3,8301.797390493792,8278.015031287487,8301.797390493792,18.5,TAKE_PROFIT
long,2015-01-12 14:45:00+05:30,2015-01-12 15:15:00+05:30,8304.95,8328.55,8297.393829580604,8331.396596467888,23.6,EOD_EXIT
long,2015-01-13 09:30:00+05:30,2015-01-13 14:25:00+05:30,8327.8,8318.610646061526,8318.610646061526,8359.962738784656,-9.19,STOP_LOSS
short,2015-01-14 13:20:00+05:30,2015-01-14 14:05:00+05:30,8256.65,8262.664971336542,8262.664971336542,8235.5976003221,-6.01,STOP_LOSS
long,2015-01-15 10:15:00+05:30,2015-01-15 11:35:00+05:30,8403.55,8443.673637913862,8392.08610345318,8443.673637913862,40.12,TAKE_PROFIT
long,2015-01-15 12:05:00+05:30,2015-01-15 12:45:00+05:30,8454.15,8477.009375880592,8447.618749748402,8477.009375880592,22.86,TAKE_PROFIT
long,2015-01-15 13:10:00+05:30,2015-01-15 14:10:00+05:30,8472.65,8490.84315217541,8467.45195652131,8490.84315217541,18.19,TAKE_PROFIT
long,2015-01-19 10:40:00+05:30,2015-01-19 11:25:00+05:30,8560.0,8554.036337067377,8554.036337067377,8580.872820264181,-5.96,STOP_LOSS
long,2015-01-20 10:35:00+05:30,2015-01-20 12:20:00+05:30,8594.5,8609.435718936084,8590.232651732547,8609.435718936084,14.94,TAKE_PROFIT
long,2015-01-21 10:15:00+05:30,2015-01-21 10:50:00+05:30,8721.55,8713.094046294313,8713.094046294313,8751.145837969902,-8.46,STOP_LOSS
long,2015-01-23 14:20:00+05:30,2015-01-23 15:15:00+05:30,8827.25,8831.1,8821.34732984663,8847.909345536791,3.85,EOD_EXIT
long,2015-01-27 10:25:00+05:30,2015-01-27 10:40:00+05:30,8856.2,8850.582106108981,8850.582106108981,8875.862628618572,-5.62,STOP_LOSS
long,2015-01-27 13:45:00+05:30,2015-01-27 13:50:00+05:30,8852.5,8846.75809466782,8846.75809466782,8872.596668662629,-5.74,STOP_LOSS
long,2015-01-28 09:35:00+05:30,2015-01-28 09:40:00+05:30,8903.95,8894.983977630385,8894.983977630385,8935.331078293653,-8.97,STOP_LOSS
long,2015-01-28 09:45:00+05:30,2015-01-28 11:15:00+05:30,8901.7,8935.216509918344,8892.123854309046,8935.216509918344,33.52,TAKE_PROFIT
short,2015-01-29 09:45:00+05:30,2015-01-29 10:35:00+05:30,8877.45,8886.480250230996,8886.480250230996,8845.844124191517,-9.03,STOP_LOSS
long,2015-01-30 09:35:00+05:30,2015-01-30 09:45:00+05:30,8948.3,8935.017320870615,8935.017320870615,8994.789376952842,-13.28,STOP_LOSS
short,2015-01-30 12:25:00+05:30,2015-01-30 14:10:00+05:30,8846.05,8807.971313367527,8856.929624752134,8807.971313367527,38.08,TAKE_PROFIT
short,2015-02-02 09:45:00+05:30,2015-02-02 13:35:00+05:30,8790.1,8803.687474393484,8803.687474393484,8742.543839622807,-13.59,STOP_LOSS
long,2015-02-03 09:50:00+05:30,2015-02-03 09:55:00+05:30,8815.75,8806.91251320521,8806.91251320521,8846.681203781762,-8.84,STOP_LOSS
short,2015-02-03 12:35:00+05:30,2015-02-03 13:45:00+05:30,8749.05,8759.273332909106,8759.273332909106,8713.268334818124,-10.22,STOP_LOSS
short,2015-02-04 10:35:00+05:30,2015-02-04 11:20:00+05:30,8746.1,8755.94383633385,8755.94383633385,8711.646572831527,-9.84,STOP_LOSS
short,2015-02-05 09:35:00+05:30,2015-02-05 10:00:00+05:30,8732.65,8743.295104561,8743.295104561,8695.392134036492,-10.65,STOP_LOSS
long,2015-02-05 14:20:00+05:30,2015-02-05 14:35:00+05:30,8817.3,8808.442662474215,8808.442662474215,8848.300681340244,-8.86,STOP_LOSS
short,2015-02-06 09:40:00+05:30,2015-02-06 14:35:00+05:30,8713.35,8665.358303716097,8727.061913223974,8665.358303716097,47.99,TAKE_PROFIT
short,2015-02-06 14:55:00+05:30,2015-02-06 15:15:00+05:30,8674.45,8666.45,8684.266824764094,8640.091113325678,8.0,EOD_EXIT
short,2015-02-09 10:20:00+05:30,2015-02-09 12:45:00+05:30,8572.0,8584.194414843041,8584.194414843041,8529.31954804936,-12.19,STOP_LOSS
long,2015-02-10 11:00:00+05:30,2015-02-10 11:15:00+05:30,8593.65,8628.814287637873,8583.603060674894,8628.814287637873,35.16,TAKE_PROFIT
long,2015-02-10 11:45:00+05:30,2015-02-10 12:00:00+05:30,8622.9,8612.340499671049,8612.340499671049,8659.858251151325,-10.56,STOP_LOSS
long,2015-02-11 09:45:00+05:30,2015-02-11 13:05:00+05:30,8596.1,8635.828975627493,8584.74886410643,8635.828975627493,39.73,TAKE_PROFIT
long,2015-02-13 10:00:00+05:30,2015-02-13 10:45:00+05:30,8753.3,8744.624271909903,8744.624271909903,8783.665048315337,-8.68,STOP_LOSS
long,2015-02-13 11:00:00+05:30,2015-02-13 12:00:00+05:30,8746.65,8772.244770620631,8739.337208394105,8772.244770620631,25.59,TAKE_PROFIT
long,2015-02-13 13:45:00+05:30,2015-02-13 14:40:00+05:30,8783.35,8807.690070591652,8776.39569411667,8807.690070591652,24.34,TAKE_PROFIT
long,2015-02-16 09:55:00+05:30,2015-02-16 11:15:00+05:30,8844.55,8835.417756083922,8835.417756083922,8876.512853706268,-9.13,STOP_LOSS
long,2015-02-18 10:40:00+05:30,2015-02-18 12:00:00+05:30,8850.8,8844.777938008934,8844.777938008934,8871.877216968727,-6.02,STOP_LOSS
long,2015-02-18 14:20:00+05:30,2015-02-18 14:45:00+05:30,8864.45,8885.130256112907,8858.541355396314,8885.130256112907,20.68,TAKE_PROFIT
long,2015-02-19 09:35:00+05:30,2015-02-19 10:35:00+05:30,8883.5,8873.92613832279,8873.92613832279,8917.008515870237,-9.57,STOP_LOSS
short,2015-02-19 12:00:00+05:30,2015-02-19 12:40:00+05:30,8833.25,8841.617519769925,8841.617519769925,8803.963680805266,-8.37,STOP_LOSS
short,2015-02-19 14:20:00+05:30,2015-02-19 14:30:00+05:30,8819.6,8828.194716436466,8828.194716436466,8789.51849247237,-8.59,STOP_LOSS
long,2015-02-20 12:00:00+05:30,2015-02-20 12:15:00+05:30,8867.1,8859.699155760187,8859.699155760187,8893.002954839347,-7.4,STOP_LOSS
long,2015-02-20 13:35:00+05:30,2015-02-20 13:50:00+05:30,8874.1,8866.941718087257,8866.941718087257,8899.1539866946,-7.16,STOP_LOSS
short,2015-02-24 14:50:00+05:30,2015-02-24 15:10:00+05:30,8752.65,8763.63385274161,8763.63385274161,8714.206515404365,-10.98,STOP_LOSS
long,2015-02-25 10:10:00+05:30,2015-02-25 13:50:00+05:30,8816.2,8808.787588663708,8808.787588663708,8842.143439677027,-7.41,STOP_LOSS
short,2015-02-26 09:55:00+05:30,2015-02-26 11:15:00+05:30,8747.95,8756.085156178677,8756.085156178677,8719.476953374635,-8.14,STOP_LOSS
long,2015-02-27 12:25:00+05:30,2015-02-27 13:05:00+05:30,8766.3,8789.548532680812,8759.657562091195,8789.548532680812,23.25,TAKE_PROFIT
long,2015-02-27 14:00:00+05:30,2015-02-27 15:00:00+05:30,8810.8,8840.188089910178,8802.403402882806,8840.188089910178,29.39,TAKE_PROFIT
long,2015-02-28 10:25:00+05:30,2015-02-28 11:30:00+05:30,8904.1,8897.08560704844,8897.08560704844,8928.650375330457,-7.01,STOP_LOSS
long,2015-03-02 10:05:00+05:30,2015-03-02 10:45:00+05:30,8952.6,8940.22937415213,8940.22937415213,8995.897190467549,-12.37,STOP_LOSS
long,2015-03-03 10:10:00+05:30,2015-03-03 11:15:00+05:30,8952.3,8942.969736997515,8942.969736997515,8984.955920508693,-9.33,STOP_LOSS
long,2015-03-04 10:25:00+05:30,2015-03-04 11:00:00+05:30,9073.5,9065.53489548571,9065.53489548571,9101.377865800014,-7.97,STOP_LOSS
short,2015-03-05 10:05:00+05:30,2015-03-05 10:15:00+05:30,8918.35,8930.92046644563,8930.92046644563,8874.353367440299,-12.57,STOP_LOSS
short,2015-03-05 10:35:00+05:30,2015-03-05 12:45:00+05:30,8926.15,8892.459362832693,8935.775896333516,8892.459362832693,33.69,TAKE_PROFIT
short,2015-03-05 13:25:00+05:30,2015-03-05 13:55:00+05:30,8875.7,8884.9516390651,8884.9516390651,8843.319263272153,-9.25,STOP_LOSS
short,2015-03-09 10:35:00+05:30,2015-03-09 13:10:00+05:30,8822.1,8789.661458800372,8831.368154628466,8789.661458800372,32.44,TAKE_PROFIT
short,2015-03-09 13:55:00+05:30,2015-03-09 14:35:00+05:30,8780.7,8789.305316537793,8789.305316537793,8750.581392117729,-8.61,STOP_LOSS
short,2015-03-10 09:40:00+05:30,2015-03-10 10:35:00+05:30,8749.9,8760.806061395933,8760.806061395933,8711.728785114232,-10.91,STOP_LOSS
short,2015-03-10 14:55:00+05:30,2015-03-10 15:05:00+05:30,8692.65,8702.545484273747,8702.545484273747,8658.015805041883,-9.9,STOP_LOSS
short,2015-03-11 11:40:00+05:30,2015-03-11 12:25:00+05:30,8704.3,8712.088873216178,8712.088873216178,8677.038943743371,-7.79,STOP_LOSS
long,2015-03-11 14:30:00+05:30,2015-03-11 14:40:00+05:30,8733.85,8723.891150755378,8723.891150755378,8768.70597235618,-9.96,STOP_LOSS
long,2015-03-12 10:10:00+05:30,2015-03-12 12:05:00+05:30,8755.85,8746.852505843139,8746.852505843139,8787.34122954902,-9.0,STOP_LOSS
long,2015-03-13 09:45:00+05:30,2015-03-13 10:05:00+05:30,8794.1,8782.756559607657,8782.756559607657,8833.802041373205,-11.34,STOP_LOSS
short,2015-03-13 11:20:00+05:30,2015-03-13 11:30:00+05:30,8740.15,8711.43257758114,8748.35497783396,8711.43257758114,28.72,TAKE_PROFIT
short,2015-03-13 12:20:00+05:30,2015-03-13 14:00:00+05:30,8693.15,8661.513470874292,8702.189008321631,8661.513470874292,31.64,TAKE_PROFIT
short,2015-03-13 14:35:00+05:30,2015-03-13 15:15:00+05:30,8658.2,8650.4,8668.306591574756,8622.826929488358,7.8,EOD_EXIT
short,2015-03-16 10:10:00+05:30,2015-03-16 11:55:00+05:30,8639.15,8648.112016512365,8648.112016512365,8607.78294220672,-8.96,STOP_LOSS
long,2015-03-17 11:05:00+05:30,2015-03-17 12:00:00+05:30,8719.8,8713.0704430193,8713.0704430193,8743.353449432445,-6.73,STOP_LOSS
short,2015-03-17 13:55:00+05:30,2015-03-17 14:55:00+05:30,8652.0,8661.401765194005,8661.401765194005,8619.093821820981,-9.4,STOP_LOSS
long,2015-03-18 09:35:00+05:30,2015-03-18 09:40:00+05:30,8714.5,8703.673959612022,8703.673959612022,8752.39114135792,-10.83,STOP_LOSS
long,2015-03-18 10:05:00+05:30,2015-03-18 10:30:00+05:30,8703.85,8693.974755502526,8693.974755502526,8738.413355741162,-9.88,STOP_LOSS
short,2015-03-18 14:00:00+05:30,2015-03-18 15:15:00+05:30,8695.5,8685.7,8704.223783774101,8664.966756790644,9.8,EOD_EXIT
long,2015-03-19 10:30:00+05:30,2015-03-19 10:35:00+05:30,8772.55,8765.26700941294,8765.26700941294,8798.040467054703,-7.28,STOP_LOSS
long,2015-03-19 10:45:00+05:30,2015-03-19 10:50:00+05:30,8766.25,8759.583731757106,8759.583731757106,8789.58193885013,-6.67,STOP_LOSS
short,2015-03-20 10:30:00+05:30,2015-03-20 11:30:00+05:30,8603.3,8611.021976352888,8611.021976352888,8576.273082764888,-7.72,STOP_LOSS
short,2015-03-23 14:00:00+05:30,2015-03-23 15:15:00+05:30,8565.8,8549.3,8573.57293406239,8538.594730781633,16.5,EOD_EXIT
long,2015-03-24 11:40:00+05:30,2015-03-24 11:55:00+05:30,8592.15,8586.960725071945,8586.960725071945,8610.31246224819,-5.19,STOP_LOSS
long,2015-03-24 14:35:00+05:30,2015-03-24 14:40:00+05:30,8604.25,8594.255231709703,8594.255231709703,8639.231689016038,-9.99,STOP_LOSS
short,2015-03-25 09:30:00+05:30,2015-03-25 13:25:00+05:30,8558.65,8523.261533417868,8568.760990452038,8523.261533417868,35.39,TAKE_PROFIT
short,2015-03-25 13:35:00+05:30,2015-03-25 14:05:00+05:30,8531.0,8536.157481233076,8536.157481233076,8512.948815684233,-5.16,STOP_LOSS
short,2015-03-26 10:40:00+05:30,2015-03-26 11:00:00+05:30,8470.25,8474.665991954109,8474.665991954109,8454.79402816062,-4.42,STOP_LOSS
short,2015-03-26 11:20:00+05:30,2015-03-26 11:50:00+05:30,8469.5,8455.037934543137,8473.632018701961,8455.037934543137,14.46,TAKE_PROFIT
short,2015-03-26 12:10:00+05:30,2015-03-26 13:30:00+05:30,8452.05,8433.253287883486,8457.420489176146,8433.253287883486,18.8,TAKE_PROFIT
short,2015-03-26 14:45:00+05:30,2015-03-26 15:00:00+05:30,8405.65,8377.770231955059,8413.61564801284,8377.770231955059,27.88,TAKE_PROFIT
short,2015-03-27 09:55:00+05:30,2015-03-27 12:15:00+05:30,8363.95,8317.389519813372,8377.252994339038,8317.389519813372,46.56,TAKE_PROFIT
short,2015-03-27 13:00:00+05:30,2015-03-27 13:20:00+05:30,8297.25,8306.42660643656,8306.42660643656,8265.131877472037,-9.18,STOP_LOSS
long,2015-03-30 10:10:00+05:30,2015-03-30 13:05:00+05:30,8399.75,8429.55117615003,8391.235378242849,8429.55117615003,29.8,TAKE_PROFIT
long,2015-03-30 14:25:00+05:30,2015-03-30 15:05:00+05:30,8462.85,8485.280879750771,8456.441177214067,8485.280879750771,22.43,TAKE_PROFIT
long,2015-03-31 10:10:00+05:30,2015-03-31 13:25:00+05:30,8513.5,8539.902371285518,8505.956465346995,8539.902371285518,26.4,TAKE_PROFIT
long,2015-03-31 13:35:00+05:30,2015-03-31 14:15:00+05:30,8534.15,8529.662095148782,8529.662095148782,8549.857666979258,-4.49,STOP_LOSS
short,2015-04-01 09:30:00+05:30,2015-04-01 10:20:00+05:30,8485.95,8495.127463551195,8495.127463551195,8453.82887757082,-9.18,STOP_LOSS
long,2015-04-01 13:35:00+05:30,2015-04-01 14:10:00+05:30,8518.65,8540.36783351312,8512.444904710535,8540.36783351312,21.72,TAKE_PROFIT
long,2015-04-01 14:20:00+05:30,2015-04-01 14:50:00+05:30,8531.0,8557.050948596483,8523.556871829576,8557.050948596483,26.05,TAKE_PROFIT
long,2015-04-06 09:30:00+05:30,2015-04-06 13:45:00+05:30,8583.75,8618.001729912481,8573.963791453578,8618.001729912481,34.25,TAKE_PROFIT
long,2015-04-06 14:00:00+05:30,2015-04-06 14:35:00+05:30,8616.65,8640.930396402468,8609.71274388501,8640.930396402468,24.28,TAKE_PROFIT
long,2015-04-07 09:45:00+05:30,2015-04-07 10:25:00+05:30,8664.6,8654.005575743484,8654.005575743484,8701.680484897806,-10.59,STOP_LOSS
short,2015-04-07 12:55:00+05:30,2015-04-07 14:15:00+05:30,8610.1,8620.234302293378,8620.234302293378,8574.629941973177,-10.13,STOP_LOSS
long,2015-04-08 09:50:00+05:30,2015-04-08 10:20:00+05:30,8698.65,8688.836724527297,8688.836724527297,8732.996464154463,-9.81,STOP_LOSS
long,2015-04-08 10:30:00+05:30,2015-04-08 11:30:00+05:30,8696.35,8688.160171713826,8688.160171713826,8725.01439900161,-8.19,STOP_LOSS
long,2015-04-08 12:35:00+05:30,2015-04-08 12:40:00+05:30,8720.05,8714.632699487458,8714.632699487458,8739.010551793892,-5.42,STOP_LOSS
long,2015-04-09 09:35:00+05:30,2015-04-09 09:45:00+05:30,8730.7,8721.771656274726,8721.771656274726,8761.949203038459,-8.93,STOP_LOSS
long,2015-04-09 13:40:00+05:30,2015-04-09 13:50:00+05:30,8750.7,8744.95742209152,8744.95742209152,8770.799022679685,-5.74,STOP_LOSS
long,2015-04-10 09:35:00+05:30,2015-04-10 11:20:00+05:30,8767.6,8759.47955784606,8759.47955784606,8796.021547538792,-8.12,STOP_LOSS
long,2015-04-13 09:55:00+05:30,2015-04-13 10:10:00+05:30,8778.15,8771.203243834161,8771.203243834161,8802.463646580436,-6.95,STOP_LOSS
long,2015-04-13 12:45:00+05:30,2015-04-13 13:55:00+05:30,8813.0,8807.147985130581,8807.147985130581,8833.482052042964,-5.85,STOP_LOSS
long,2015-04-15 14:20:00+05:30,2015-04-15 14:55:00+05:30,8824.6,8819.906655121642,8819.906655121642,8841.026707074256,-4.69,STOP_LOSS
short,2015-04-16 10:35:00+05:30,2015-04-16 12:20:00+05:30,8713.4,8684.53669449704,8721.646658715132,8684.53669449704,28.86,TAKE_PROFIT
short,2015-04-16 12:50:00+05:30,2015-04-16 13:05:00+05:30,8676.75,8655.55805348048,8682.80484186272,8655.55805348048,21.19,TAKE_PROFIT
short,2015-04-17 10:30:00+05:30,2015-04-17 11:10:00+05:30,8655.9,8663.979108695203,8663.979108695203,8627.623119566788,-8.08,STOP_LOSS
short,2015-04-17 13:30:00+05:30,2015-04-17 14:55:00+05:30,8644.85,8623.290781960339,8651.009776582761,8623.290781960339,21.56,TAKE_PROFIT
short,2015-04-20 10:25:00+05:30,2015-04-20 11:10:00+05:30,8562.15,8533.189789081996,8570.424345976571,8533.189789081996,28.96,TAKE_PROFIT
short,2015-04-20 13:30:00+05:30,2015-04-20 14:00:00+05:30,8532.55,8509.004706855592,8539.277226612687,8509.004706855592,23.55,TAKE_PROFIT
short,2015-04-21 09:30:00+05:30,2015-04-21 10:20:00+05:30,8450.65,8401.591761332184,8464.666639619376,8401.591761332184,49.06,TAKE_PROFIT
short,2015-04-21 10:55:00+05:30,2015-04-21 11:00:00+05:30,8414.05,8423.772662137158,8423.772662137158,8380.020682519942,-9.72,STOP_LOSS
short,2015-04-22 09:45:00+05:30,2015-04-22 13:30:00+05:30,8397.3,8357.108971381289,8408.783151033917,8357.108971381289,40.19,TAKE_PROFIT
short,2015-04-22 14:20:00+05:30,2015-04-22 14:30:00+05:30,8316.2,8327.377810921771,8327.377810921771,8277.077661773807,-11.18,STOP_LOSS
long,2015-04-23 10:15:00+05:30,2015-04-23 10:30:00+05:30,8484.1,8475.370985100377,8475.370985100377,8514.651552148685,-8.73,STOP_LOSS
short,2015-04-23 13:20:00+05:30,2015-04-23 13:45:00+05:30,8387.35,8396.457654462622,8396.457654462622,8355.473209380825,-9.11,STOP_LOSS
short,2015-04-24 10:10:00+05:30,2015-04-24 14:30:00+05:30,8358.9,8323.102924181601,8369.127735948114,8323.102924181601,35.8,TAKE_PROFIT
short,2015-04-27 11:05:00+05:30,2015-04-27 11:15:00+05:30,8243.5,8252.307541543269,8252.307541543269,8212.673604598558,-8.81,STOP_LOSS
short,2015-04-27 14:30:00+05:30,2015-04-27 15:15:00+05:30,8237.3,8211.75,8247.705727145221,8200.879954991722,25.55,EOD_EXIT
short,2015-04-28 12:15:00+05:30,2015-04-28 13:45:00+05:30,8218.0,8225.79220305093,8225.79220305093,8190.727289321744,-7.79,STOP_LOSS
long,2015-04-29 09:40:00+05:30,2015-04-29 10:10:00+05:30,8275.3,8263.727414675557,8263.727414675557,8315.804048635548,-11.57,STOP_LOSS
short,2015-04-29 11:00:00+05:30,2015-04-29 12:10:00+05:30,8238.4,8246.253255824218,8246.253255824218,8210.913604615233,-7.85,STOP_LOSS
long,2015-04-29 13:55:00+05:30,2015-04-29 14:00:00+05:30,8290.75,8283.016171339561,8283.016171339561,8317.818400311538,-7.73,STOP_LOSS
short,2015-04-30 10:15:00+05:30,2015-04-30 11:15:00+05:30,8168.7,8177.31934566711,8177.31934566711,8138.532290165114,-8.62,STOP_LOSS
short,2015-04-30 13:20:00+05:30,2015-04-30 13:50:00+05:30,8162.55,8168.91612078468,8168.91612078468,8140.268577253621,-6.37,STOP_LOSS
long,2015-05-04 10:30:00+05:30,2015-05-04 14:05:00+05:30,8264.2,8296.041702769247,8255.102370637358,8296.041702769247,31.84,TAKE_PROFIT
long,2015-05-05 09:40:00+05:30,2015-05-05 13:10:00+05:30,8314.85,8304.237028149513,8304.237028149513,8351.995401476705,-10.61,STOP_LOSS
short,2015-05-05 13:40:00+05:30,2015-05-05 13:45:00+05:30,8305.25,8313.134224305088,8313.134224305088,8277.655214932196,-7.88,STOP_LOSS
short,2015-05-06 10:45:00+05:30,2015-05-06 12:30:00+05:30,8167.25,8118.230211796344,8181.255653772473,8118.230211796344,49.02,TAKE_PROFIT
short,2015-05-06 12:45:00+05:30,2015-05-06 13:35:00+05:30,8126.8,8135.998877945464,8135.998877945464,8094.603927190876,-9.2,STOP_LOSS
short,2015-05-07 14:20:00+05:30,2015-05-07 15:05:00+05:30,8045.7,8056.651536253463,8056.651536253463,8007.369623112878,-10.95,STOP_LOSS
long,2015-05-08 10:30:00+05:30,2015-05-08 12:30:00+05:30,8157.05,8187.7699181822645,8148.272880519353,8187.7699181822645,30.72,TAKE_PROFIT
long,2015-05-08 13:10:00+05:30,2015-05-08 13:45:00+05:30,8193.45,8187.1458200816205,8187.1458200816205,8215.514629714333,-6.3,STOP_LOSS
long,2015-05-08 14:45:00+05:30,2015-05-08 15:05:00+05:30,8205.5,8196.615772845185,8196.615772845185,8236.594795041849,-8.88,STOP_LOSS
long,2015-05-11 12:00:00+05:30,2015-05-11 14:25:00+05:30,8304.35,8298.191221694551,8298.191221694551,8325.905724069074,-6.16,STOP_LOSS
short,2015-05-12 11:00:00+05:30,2015-05-12 12:15:00+05:30,8181.6,8146.711801416639,8191.568056738103,8146.711801416639,34.89,TAKE_PROFIT
short,2015-05-12 12:30:00+05:30,2015-05-12 15:00:00+05:30,8159.25,8131.778295291515,8167.099058488138,8131.778295291515,27.47,TAKE_PROFIT
long,2015-05-13 10:20:00+05:30,2015-05-13 10:45:00+05:30,8235.25,8224.92842929966,8224.92842929966,8271.375497451194,-10.32,STOP_LOSS
short,2015-05-13 12:00:00+05:30,2015-05-13 13:00:00+05:30,8133.35,8146.531718046328,8146.531718046328,8087.213986837852,-13.18,STOP_LOSS
long,2015-05-13 14:15:00+05:30,2015-05-13 15:15:00+05:30,8220.05,8230.55,8209.045988696165,8258.564039563416,10.5,EOD_EXIT
short,2015-05-14 09:55:00+05:30,2015-05-14 10:05:00+05:30,8191.6,8203.915658181213,8203.915658181213,8148.495196365753,-12.32,STOP_LOSS
short,2015-05-14 11:05:00+05:30,2015-05-14 13:20:00+05:30,8188.05,8198.014425704805,8198.014425704805,8153.174510033181,-9.96,STOP_LOSS
long,2015-05-14 14:25:00+05:30,2015-05-14 15:15:00+05:30,8198.35,8230.520510926208,8189.158425449656,8230.520510926208,32.17,TAKE_PROFIT
long,2015-05-15 09:40:00+05:30,2015-05-15 15:15:00+05:30,8239.0,8262.6,8223.331231415637,8293.840690045266,23.6,EOD_EXIT
long,2015-05-18 10:30:00+05:30,2015-05-18 10:35:00+05:30,8312.8,8306.66976964353,8306.66976964353,8334.255806247644,-6.13,STOP_LOSS
long,2015-05-18 10:40:00+05:30,2015-05-18 10:50:00+05:30,8309.0,8302.848515865584,8302.848515865584,8330.530194470453,-6.15,STOP_LOSS
long,2015-05-18 14:50:00+05:30,2015-05-18 15:00:00+05:30,8337.5,8356.373867891496,8332.107466316715,8356.373867891496,18.87,TAKE_PROFIT
long,2015-05-19 10:55:00+05:30,2015-05-19 11:05:00+05:30,8363.3,8357.954829364544,8357.954829364544,8382.008097224096,-5.35,STOP_LOSS
long,2015-05-20 10:10:00+05:30,2015-05-20 12:10:00+05:30,8422.65,8414.69810444486,8414.69810444486,8450.481634442987,-7.95,STOP_LOSS
short,2015-05-21 10:40:00+05:30,2015-05-21 10:50:00+05:30,8396.6,8403.69394410735,8403.69394410735,8371.771195624275,-7.09,STOP_LOSS
long,2015-05-21 13:50:00+05:30,2015-05-21 14:00:00+05:30,8424.1,8418.358649032549,8418.358649032549,8444.194728386079,-5.74,STOP_LOSS
long,2015-05-22 10:05:00+05:30,2015-05-22 10:30:00+05:30,8433.85,8453.908889649234,8428.118888671648,8453.908889649234,20.06,TAKE_PROFIT
long,2015-05-22 11:15:00+05:30,2015-05-22 12:10:00+05:30,8462.3,8476.578848180194,8458.220329091371,8476.578848180194,14.28,TAKE_PROFIT
short,2015-05-25 10:00:00+05:30,2015-05-25 10:20:00+05:30,8426.35,8434.06199357475,8434.06199357475,8399.358022488375,-7.71,STOP_LOSS
short,2015-05-25 10:35:00+05:30,2015-05-25 12:40:00+05:30,8429.55,8410.44981774221,8435.007194930797,8410.44981774221,19.1,TAKE_PROFIT
short,2015-05-25 13:55:00+05:30,2015-05-25 14:25:00+05:30,8384.2,8390.849635075147,8390.849635075147,8360.926277236991,-6.65,STOP_LOSS
short,2015-05-26 09:50:00+05:30,2015-05-26 10:05:00+05:30,8354.3,8361.281252352463,8361.281252352463,8329.86561676638,-6.98,STOP_LOSS
short,2015-05-26 10:15:00+05:30,2015-05-26 13:45:00+05:30,8357.4,8334.40478646392,8363.970061010308,8334.40478646392,23.0,TAKE_PROFIT
short,2015-05-26 14:15:00+05:30,2015-05-26 15:15:00+05:30,8331.0,8335.98078454914,8335.98078454914,8313.567254078012,-4.98,STOP_LOSS
long,2015-05-28 09:35:00+05:30,2015-05-28 10:30:00+05:30,8342.75,8335.74226900741,8335.74226900741,8367.277058474061,-7.01,STOP_LOSS
short,2015-05-28 13:30:00+05:30,2015-05-28 14:00:00+05:30,8282.45,8287.916898443307,8287.916898443307,8263.315855448427,-5.47,STOP_LOSS
