direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
short,2015-01-09 10:00:00+05:30,2015-01-09 11:50:00+05:30,8285.5,8257.289764750169,8257.289764750169,28.21,TRAIL_SL
short,2015-01-09 12:45:00+05:30,2015-01-09 12:50:00+05:30,8217.2,8228.690471219452,8228.690471219452,-11.49,STOP_LOSS
short,2015-01-09 14:05:00+05:30,2015-01-09 14:15:00+05:30,8230.05,8241.89272302418,8241.89272302418,-11.84,STOP_LOSS
long,2015-01-12 14:45:00+05:30,2015-01-12 15:15:00+05:30,8304.95,8328.55,8292.860127328966,23.6,EOD_EXIT
long,2015-01-13 10:00:00+05:30,2015-01-13 14:25:00+05:30,8335.35,8323.869561773734,8323.869561773734,-11.48,STOP_LOSS
short,2015-01-14 13:20:00+05:30,2015-01-14 14:05:00+05:30,8256.65,8262.664971336542,8262.664971336542,-6.01,STOP_LOSS
long,2015-01-15 10:15:00+05:30,2015-01-15 12:05:00+05:30,8403.55,8458.025295590014,8458.025295590014,54.48,TRAIL_SL
long,2015-01-15 12:05:00+05:30,2015-01-15 14:50:00+05:30,8454.15,8520.9244562663,8520.9244562663,66.77,TRAIL_SL
long,2015-01-19 10:40:00+05:30,2015-01-19 11:35:00+05:30,8560.0,8550.458139307802,8550.458139307802,-9.54,STOP_LOSS
long,2015-01-20 10:35:00+05:30,2015-01-20 13:45:00+05:30,8594.5,8637.022010931649,8637.022010931649,42.52,TRAIL_SL
long,2015-01-21 10:15:00+05:30,2015-01-21 10:55:00+05:30,8721.55,8708.020474070901,8708.020474070901,-13.53,STOP_LOSS
long,2015-01-23 14:20:00+05:30,2015-01-23 15:15:00+05:30,8827.25,8831.1,8817.80572775461,3.85,EOD_EXIT
long,2015-01-27 10:30:00+05:30,2015-01-27 11:05:00+05:30,8855.3,8846.797853804452,8846.797853804452,-8.5,STOP_LOSS
long,2015-01-28 09:45:00+05:30,2015-01-28 12:35:00+05:30,8901.7,8978.643827624595,8978.643827624595,76.94,TRAIL_SL
short,2015-01-29 09:45:00+05:30,2015-01-29 10:35:00+05:30,8877.45,8886.480250230996,8886.480250230996,-9.03,STOP_LOSS
short,2015-01-30 12:25:00+05:30,2015-01-30 14:30:00+05:30,8846.05,8792.06620675958,8792.06620675958,53.98,TRAIL_SL
short,2015-02-02 09:45:00+05:30,2015-02-02 13:35:00+05:30,8790.1,8803.687474393484,8803.687474393484,-13.59,STOP_LOSS
short,2015-02-03 12:35:00+05:30,2015-02-03 13:45:00+05:30,8749.05,8759.273332909106,8759.273332909106,-10.22,STOP_LOSS
short,2015-02-04 10:25:00+05:30,2015-02-04 11:20:00+05:30,8745.8,8756.839427071693,8756.839427071693,-11.04,STOP_LOSS
long,2015-02-05 14:20:00+05:30,2015-02-05 14:40:00+05:30,8817.3,8803.128259958745,8803.128259958745,-14.17,STOP_LOSS
short,2015-02-06 09:50:00+05:30,2015-02-06 11:00:00+05:30,8714.1,8678.245036933235,8678.245036933235,35.85,TRAIL_SL
short,2015-02-06 11:05:00+05:30,2015-02-06 11:40:00+05:30,8682.65,8693.264145181483,8693.264145181483,-10.61,STOP_LOSS
short,2015-02-06 14:55:00+05:30,2015-02-06 15:15:00+05:30,8674.45,8666.45,8684.266824764094,8.0,EOD_EXIT
short,2015-02-09 10:20:00+05:30,2015-02-09 12:45:00+05:30,8572.0,8584.194414843041,8584.194414843041,-12.19,STOP_LOSS
long,2015-02-13 10:00:00+05:30,2015-02-13 10:55:00+05:30,8753.3,8739.418835055845,8739.418835055845,-13.88,STOP_LOSS
long,2015-02-13 11:00:00+05:30,2015-02-13 13:45:00+05:30,8746.65,8786.984486876927,8786.984486876927,40.33,TRAIL_SL
long,2015-02-16 09:55:00+05:30,2015-02-16 11:20:00+05:30,8844.55,8829.938409734275,8829.938409734275,-14.61,STOP_LOSS
