direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,2015-01-09 10:00:00+05:30,2015-01-09 11:50:00+05:30,8285.5,8257.289764750169,8294.236002139607,8257.289764750169,True,28.21,35.3,5.95,TRAIL_SL,110,-28.2102,-0.2,-0.216926,0.0006,-10.53,5.8569,15.5184,-3.0888,0.0,2.7681,2.7681,179.93,50.0,129.93,-15.1019,65
long,2015-01-12 14:45:00+05:30,2015-01-13 09:25:00+05:30,8304.95,8334.060284190315,8292.860127328966,8334.060284190315,True,29.11,50.95,3.7,TRAIL_SL,1120,29.1103,0.2,0.217466,0.0006,-10.53,6.0509,16.5245,-31.4496,0.0,-25.3987,-25.3987,-1650.92,50.0,-1700.92,131.3635,65
long,2015-01-13 09:30:00+05:30,2015-01-13 13:20:00+05:30,8327.8,8350.981468729175,8313.097033698441,8350.981468729175,True,23.18,28.45,6.5,TRAIL_SL,230,23.1815,0.2,0.213909,0.0006,-10.53,4.7814,10.4789,-6.4584,0.0,-1.677,-1.677,-109.01,50.0,-159.01,30.8632,65
long,2015-01-15 10:10:00+05:30,2015-01-15 12:05:00+05:30,8407.8,8458.025295590014,8387.780498682798,8458.025295590014,True,50.23,60.75,8.7,TRAIL_SL,115,50.2253,0.2,0.230135,0.0006,-10.53,10.7262,49.1903,-3.2292,0.0,7.497,7.497,487.3,50.0,437.3,15.7728,65
long,2015-01-21 10:15:00+05:30,2015-01-21 10:55:00+05:30,8721.55,8708.020474070901,8708.020474070901,8708.020474070901,False,-13.53,11.6,18.35,STOP_LOSS,40,-13.5295,0.2,0.191882,0.0006,-10.53,-2.6565,3.5694,-1.1232,0.0,-3.7797,-3.7797,-245.68,50.0,-295.68,5.5695,65
long,2015-01-27 10:10:00+05:30,2015-01-27 11:25:00+05:30,8854.3,8843.789091027988,8843.789091027988,8843.789091027988,False,-10.51,6.85,14.25,STOP_LOSS,75,-10.5109,0.2,0.193693,0.0006,-10.53,-2.0724,2.1543,-2.106,0.0,-4.1784,-4.1784,-271.59,50.0,-321.59,10.3687,65
long,2015-01-28 09:35:00+05:30,2015-01-28 12:35:00+05:30,8903.95,8978.643827624595,8889.604364208617,8978.643827624595,True,74.69,81.1,14.6,TRAIL_SL,180,74.6938,0.2,0.244816,0.0006,-10.53,16.4451,108.7938,-5.0544,0.0,11.3907,11.3907,740.4,50.0,690.4,24.3804,65
short,2015-01-29 09:45:00+05:30,2015-01-29 10:35:00+05:30,8877.45,8886.480250230996,8886.480250230996,8886.480250230996,False,-9.03,8.65,13.45,STOP_LOSS,50,9.0303,-0.2,-0.194582,0.0006,-10.53,-1.784,1.5901,-1.404,0.0,-3.188,-3.188,-207.22,50.0,-257.22,-6.9476,65
long,2015-01-30 09:30:00+05:30,2015-01-30 09:45:00+05:30,8949.75,8927.517361607292,8927.517361607292,8927.517361607292,False,-22.23,0.85,26.25,STOP_LOSS,15,-22.2326,0.2,0.18666,0.0006,-10.53,-4.3131,9.6387,-0.4212,0.0,-4.7343,-4.7343,-307.73,50.0,-357.73,2.0994,65
short,2015-01-30 14:40:00+05:30,2015-01-30 15:15:00+05:30,8808.2,8807.5,8819.670272685482,8819.670272685482,False,0.7,23.75,15.55,SOFT_EOD_EXIT,35,-0.7,-0.2,-0.20042,0.0006,-10.53,0.1401,0.0096,-0.9828,0.0,-0.8427,-0.8427,-54.77,50.0,-104.77,-4.8783,65
short,2015-02-02 09:40:00+05:30,2015-02-02 12:10:00+05:30,8787.1,8763.262118967019,8801.179778146326,8763.262118967019,True,23.84,35.65,18.15,TRAIL_SL,150,-23.8379,-0.2,-0.214303,0.0006,-10.53,4.921,11.0808,-4.212,0.0,0.709,0.709,46.09,50.0,-3.91,-20.4337,65
long,2015-02-05 14:30:00+05:30,2015-02-05 14:35:00+05:30,8820.35,8805.967848591235,8805.967848591235,8805.967848591235,False,-14.38,0.0,17.2,STOP_LOSS,5,-14.3822,0.2,0.191371,0.0006,-10.53,-2.8206,4.0335,-0.1404,0.0,-2.961,-2.961,-192.46,50.0,-242.46,0.7013,65
short,2015-02-06 09:40:00+05:30,2015-02-06 11:00:00+05:30,8713.35,8678.245036933235,8727.061913223974,8678.245036933235,True,35.1,50.25,12.45,TRAIL_SL,80,-35.105,-0.2,-0.221063,0.0006,-10.53,7.3537,24.031,-2.2464,0.0,5.1073,5.1073,331.98,50.0,281.98,-11.0489,65
short,2015-02-06 14:50:00+05:30,2015-02-06 15:15:00+05:30,8671.1,8666.45,8681.250182420106,8681.250182420106,False,4.65,24.45,7.1,SOFT_EOD_EXIT,25,-4.65,-0.2,-0.20279,0.0006,-10.53,0.9358,0.4216,-0.702,0.0,0.2338,0.2338,15.2,50.0,-34.8,-3.4917,65
short,2015-02-09 10:20:00+05:30,2015-02-09 12:45:00+05:30,8572.0,8584.194414843041,8584.194414843041,8584.194414843041,False,-12.19,17.85,16.85,STOP_LOSS,145,12.1944,-0.2,-0.192683,0.0006,-10.53,-2.3987,2.8997,-4.0716,0.0,-6.4703,-6.4703,-420.57,50.0,-470.57,-19.7716,65
long,2015-02-13 10:00:00+05:30,2015-02-13 10:55:00+05:30,8753.3,8739.418835055845,8739.418835055845,8739.418835055845,False,-13.88,6.7,17.6,STOP_LOSS,55,-13.8812,0.2,0.191671,0.0006,-10.53,-2.7242,3.7574,-1.5444,0.0,-4.2686,-4.2686,-277.46,50.0,-327.46,7.6346,65
long,2015-02-16 09:55:00+05:30,2015-02-16 10:40:00+05:30,8844.55,8862.913310413944,8829.938409734275,8862.913310413944,True,18.36,24.8,2.65,TRAIL_SL,45,18.3633,0.2,0.211018,0.0006,-10.53,3.7637,6.5756,-1.2636,0.0,2.5001,2.5001,162.51,50.0,112.51,6.2592,65
long,2015-02-19 09:35:00+05:30,2015-02-19 10:35:00+05:30,8883.5,8868.181821316464,8868.181821316464,8868.181821316464,False,-15.32,15.1,17.55,STOP_LOSS,60,-15.3182,0.2,0.190809,0.0006,-10.53,-3.0003,4.5756,-1.6848,0.0,-4.6851,-4.6851,-304.53,50.0,-354.53,8.3202,65
short,2015-02-20 10:10:00+05:30,2015-02-20 10:20:00+05:30,8835.8,8846.375636950834,8846.375636950834,8846.375636950834,False,-10.58,0.0,16.25,STOP_LOSS,10,10.5756,-0.2,-0.193655,0.0006,-10.53,-2.0849,2.181,-0.2808,0.0,-2.3657,-2.3657,-153.77,50.0,-203.77,-1.4011,65
short,2015-02-24 14:50:00+05:30,2015-02-24 15:10:00+05:30,8752.65,8763.63385274161,8763.63385274161,8763.63385274161,False,-10.98,4.9,19.65,STOP_LOSS,20,10.9839,-0.2,-0.19341,0.0006,-10.53,-2.1642,2.3526,-0.5616,0.0,-2.7258,-2.7258,-177.18,50.0,-227.18,-2.7963,65
short,2015-02-26 09:50:00+05:30,2015-02-26 11:15:00+05:30,8746.1,8754.54056482155,8754.54056482155,8754.54056482155,False,-8.44,14.4,10.35,STOP_LOSS,85,8.4406,-0.2,-0.194936,0.0006,-10.53,-1.6689,1.3892,-2.3868,0.0,-4.0557,-4.0557,-263.62,50.0,-313.62,-11.7277,65
long,2015-02-27 14:35:00+05:30,2015-02-27 15:15:00+05:30,8814.5,8844.950627532478,8802.001762221005,8844.950627532478,True,30.45,42.45,12.05,TRAIL_SL,40,30.4506,0.2,0.21827,0.0006,-10.53,6.3405,18.0812,-1.1232,0.0,5.2173,5.2173,339.12,50.0,289.12,5.5695,65
long,2015-02-28 10:05:00+05:30,2015-02-28 11:20:00+05:30,8898.85,8917.26902062396,8885.30408252245,8917.26902062396,True,18.42,30.75,10.9,TRAIL_SL,75,18.419,0.2,0.211051,0.0006,-10.53,3.7754,6.6156,-2.106,0.0,1.6694,1.6694,108.51,50.0,58.51,10.3687,65
long,2015-03-02 10:05:00+05:30,2015-03-02 10:20:00+05:30,8952.6,8961.178495046079,8932.806998643406,8961.178495046079,True,8.58,19.1,3.55,TRAIL_SL,15,8.5785,0.2,0.205147,0.0006,-10.53,1.7356,1.435,-0.4212,0.0,1.3144,1.3144,85.43,50.0,35.43,2.0994,65
long,2015-03-02 10:20:00+05:30,2015-03-02 10:40:00+05:30,8961.1,8942.46405807987,8942.46405807987,8942.46405807987,False,-18.64,0.0,21.35,STOP_LOSS,20,-18.6359,0.2,0.188818,0.0006,-10.53,-3.6334,6.7723,-0.5616,0.0,-4.195,-4.195,-272.68,50.0,-322.68,2.7963,65
long,2015-03-03 14:30:00+05:30,2015-03-03 15:10:00+05:30,8981.5,8998.745569036551,8970.934332846806,8998.745569036551,True,17.25,26.75,3.25,TRAIL_SL,40,17.2456,0.2,0.210347,0.0006,-10.53,3.5294,5.7995,-1.1232,0.0,2.4062,2.4062,156.4,50.0,106.4,5.5695,65
long,2015-03-04 10:25:00+05:30,2015-03-04 11:00:00+05:30,9073.5,9060.755832777137,9060.755832777137,9060.755832777137,False,-12.74,9.05,15.1,STOP_LOSS,35,-12.7442,0.2,0.192353,0.0006,-10.53,-2.505,3.1671,-0.9828,0.0,-3.4878,-3.4878,-226.71,50.0,-276.71,4.8783,65
short,2015-03-05 09:30:00+05:30,2015-03-05 10:00:00+05:30,8939.0,8912.204047101854,8953.86969107945,8912.204047101854,True,26.8,46.35,7.1,TRAIL_SL,30,-26.796,-0.2,-0.216078,0.0006,-10.53,5.5531,14.0015,-0.8424,0.0,4.7107,4.7107,306.19,50.0,256.19,-4.1857,65
