direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
long,2015-01-09 13:05:00+05:30,2015-01-09 13:55:00+05:30,8269.85,8216.45,0.0,-53.4,STOP_LOSS
long,2015-01-12 10:20:00+05:30,2015-01-12 12:10:00+05:30,8293.15,8268.6,0.2,-24.55,ST_TRAIL
long,2015-01-12 14:30:00+05:30,2015-01-12 15:15:00+05:30,8317.1,8328.55,11.45,11.45,EOD_EXIT
long,2015-01-13 10:45:00+05:30,2015-01-13 11:20:00+05:30,8341.85,8328.95,0.75,-12.9,ST_TRAIL
short,2015-01-13 14:15:00+05:30,2015-01-13 15:10:00+05:30,8338.35,8304.8,62.0,33.55,ST_TRAIL
long,2015-01-14 09:45:00+05:30,2015-01-14 10:15:00+05:30,8321.3,8297.5,0.0,-23.8,ST_TRAIL
long,2015-01-14 14:20:00+05:30,2015-01-14 14:35:00+05:30,8291.45,8269.4,0.0,-22.05,ST_TRAIL
long,2015-01-15 10:55:00+05:30,2015-01-15 15:15:00+05:30,8418.85,8498.1,107.65,79.25,EOD_EXIT
long,2015-01-19 09:45:00+05:30,2015-01-19 11:25:00+05:30,8557.8,8551.2,10.9,-6.6,ST_TRAIL
long,2015-01-19 13:00:00+05:30,2015-01-19 14:50:00+05:30,8549.9,8548.7,16.3,-1.2,ST_TRAIL
long,2015-01-20 09:40:00+05:30,2015-01-20 15:15:00+05:30,8592.6,8690.45,108.45,97.85,EOD_EXIT
long,2015-01-21 10:00:00+05:30,2015-01-21 10:10:00+05:30,8737.15,8715.75,0.0,-21.4,ST_TRAIL
long,2015-01-21 13:35:00+05:30,2015-01-21 14:15:00+05:30,8729.85,8706.3,0.0,-23.55,ST_TRAIL
long,2015-01-22 10:35:00+05:30,2015-01-22 10:55:00+05:30,8770.85,8752.8,0.0,-18.05,ST_TRAIL
long,2015-01-22 13:40:00+05:30,2015-01-22 13:55:00+05:30,8748.45,8743.15,1.3,-5.3,ST_TRAIL
short,2015-01-22 14:00:00+05:30,2015-01-22 15:00:00+05:30,8740.95,8752.3,5.6,-11.35,ST_TRAIL
short,2015-01-23 11:10:00+05:30,2015-01-23 13:25:00+05:30,8806.15,8824.1,3.25,-17.95,ST_TRAIL
short,2015-01-23 13:40:00+05:30,2015-01-23 13:55:00+05:30,8810.05,8834.4,0.0,-24.35,ST_TRAIL
long,2015-01-27 09:50:00+05:30,2015-01-27 11:35:00+05:30,8855.55,8836.85,3.85,-18.7,ST_TRAIL
long,2015-01-27 13:15:00+05:30,2015-01-27 15:15:00+05:30,8849.9,8912.15,67.3,62.25,EOD_EXIT
long,2015-01-28 11:15:00+05:30,2015-01-28 12:35:00+05:30,8944.5,8958.55,39.3,14.05,ST_TRAIL
short,2015-01-28 13:00:00+05:30,2015-01-28 15:00:00+05:30,8919.15,8909.65,41.35,9.5,ST_TRAIL
short,2015-01-29 11:25:00+05:30,2015-01-29 11:50:00+05:30,8867.7,8882.65,0.0,-14.95,ST_TRAIL
short,2015-01-29 14:10:00+05:30,2015-01-29 14:35:00+05:30,8883.2,8895.85,5.0,-12.65,ST_TRAIL
short,2015-01-30 10:45:00+05:30,2015-01-30 15:15:00+05:30,8917.3,8807.5,134.0,109.8,EOD_EXIT
short,2015-02-02 10:20:00+05:30,2015-02-02 13:25:00+05:30,8777.25,8778.9,20.7,-1.65,ST_TRAIL
long,2015-02-02 13:40:00+05:30,2015-02-02 14:30:00+05:30,8810.7,8793.35,22.55,-17.35,ST_TRAIL
long,2015-02-03 11:15:00+05:30,2015-02-03 11:45:00+05:30,8824.0,8759.0,0.0,-65.0,STOP_LOSS
short,2015-02-03 13:10:00+05:30,2015-02-03 13:40:00+05:30,8733.6,8756.35,1.65,-22.75,ST_TRAIL
short,2015-02-04 10:15:00+05:30,2015-02-04 11:20:00+05:30,8735.1,8757.9,13.2,-22.8,ST_TRAIL
long,2015-02-05 10:00:00+05:30,2015-02-05 11:50:00+05:30,8753.4,8743.6,11.4,-9.8,ST_TRAIL
long,2015-02-05 13:25:00+05:30,2015-02-05 14:35:00+05:30,8806.6,8805.15,25.4,-1.45,ST_TRAIL
short,2015-02-06 10:25:00+05:30,2015-02-06 11:50:00+05:30,8687.1,8701.2,17.7,-14.1,ST_TRAIL
short,2015-02-06 13:15:00+05:30,2015-02-06 15:15:00+05:30,8679.55,8666.45,24.85,13.1,EOD_EXIT
short,2015-02-09 10:00:00+05:30,2015-02-09 12:45:00+05:30,8551.95,8588.45,0.0,-36.5,ST_TRAIL
