bar_idx,bar_time,direction,entry_price,stop_price,target_price,risk_pts,reward_pts,rr_ratio,score_contraction,score_signature,score_time,score_sr,score_rev_guard,confidence,signature_tags,contraction_start,contraction_end,sr_context,reason,hit_target,hit_stop,outcome_pts,bars_to_close
1012,2022-11-21 12:20:00,short,18153.45,18165.38,18177.3,11.93,23.85,2.0,0.829,0.35,0.65,0.3,0.8,57.5,['SQUEEZE(avg=8.4pts)'],975,1008,near_support,C Q=0.83 bars=975-1008 | Sigs=[SQUEEZE(avg=8.4pts)] | T=12:20(s=0.65) | SR=near_support(s=0.30) | Rev=0.80 | Conf=57.5,True,False,23.85,1
2418,2022-12-16 10:45:00,short,18283.45,18288.91,18294.36,5.46,10.91,2.0,0.787,0.35,0.4,0.9,1.0,64.7,['SQUEEZE(avg=18.5pts)'],2402,2416,broke_below_sr,C Q=0.79 bars=2402-2416 | Sigs=[SQUEEZE(avg=18.5pts)] | T=10:45(s=0.40) | SR=broke_below_sr(s=0.90) | Rev=1.00 | Conf=64.7,True,False,10.91,1
6844,2023-03-13 10:50:00,long,17439.6,17429.95,17458.9,9.65,19.3,2.0,0.777,0.35,0.4,0.3,1.0,55.4,['SQUEEZE(avg=18.8pts)'],6826,6843,near_resistance,C Q=0.78 bars=6826-6843 | Sigs=[SQUEEZE(avg=18.8pts)] | T=10:50(s=0.40) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=55.4,False,True,-9.65,2
7670,2023-03-28 10:55:00,short,16932.05,16945.66,16959.27,13.61,27.22,2.0,0.754,0.5,0.4,0.3,1.0,59.4,"['SQUEEZE(avg=11.8pts)', 'HL_STAIRCASE(bullish)']",7644,7669,near_support,"C Q=0.75 bars=7644-7669 | Sigs=[SQUEEZE(avg=11.8pts), HL_STAIRCASE(bullish)] | T=10:55(s=0.40) | SR=near_support(s=0.30) | Rev=1.00 | Conf=59.4",True,False,27.22,1
8214,2023-04-11 12:30:00,short,17677.3,17696.23,17715.16,18.93,37.86,2.0,0.748,0.52,0.65,0.3,0.75,59.8,"['SQUEEZE(avg=11.3pts)', 'LH_CASCADE(bearish)']",8174,8213,near_support,"C Q=0.75 bars=8174-8213 | Sigs=[SQUEEZE(avg=11.3pts), LH_CASCADE(bearish)] | T=12:30(s=0.65) | SR=near_support(s=0.30) | Rev=0.75 | Conf=59.8",True,False,37.86,1
13253,2023-07-18 13:40:00,long,19738.65,19711.1,19793.75,27.55,55.1,2.0,0.784,0.55,0.65,0.9,0.8,71.3,"['SQUEEZE(avg=15.7pts)', 'DOJI(x1)']",13222,13248,broke_above_sr,"C Q=0.78 bars=13222-13248 | Sigs=[SQUEEZE(avg=15.7pts), DOJI(x1)] | T=13:40(s=0.65) | SR=broke_above_sr(s=0.90) | Rev=0.80 | Conf=71.3",True,False,55.1,22
18998,2023-11-08 11:10:00,short,19408.2,19426.06,19443.92,17.86,35.72,2.0,0.77,0.7,0.4,0.3,0.55,59.0,"['SQUEEZE(avg=6.1pts)', 'DOJI(x1)', 'HL_STAIRCASE(bullish)']",18976,18994,near_support,"C Q=0.77 bars=18976-18994 | Sigs=[SQUEEZE(avg=6.1pts), DOJI(x1), HL_STAIRCASE(bullish)] | T=11:10(s=0.40) | SR=near_support(s=0.30) | Rev=0.55 | Conf=59.0",True,False,35.72,1
20457,2023-12-07 13:00:00,short,20909.75,20912.25,20914.75,2.5,5.0,2.0,0.789,0.5,0.65,0.3,1.0,64.0,"['SQUEEZE(avg=8.6pts)', 'HL_STAIRCASE(bullish)']",20425,20454,near_support,"C Q=0.79 bars=20425-20454 | Sigs=[SQUEEZE(avg=8.6pts), HL_STAIRCASE(bullish)] | T=13:00(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=64.0",True,False,5.0,1
20815,2023-12-14 11:35:00,long,21167.15,21162.27,21176.9,4.88,9.75,2.0,0.803,0.35,0.4,0.7,0.75,58.3,['SQUEEZE(avg=8.9pts)'],20787,20814,clear,C Q=0.80 bars=20787-20814 | Sigs=[SQUEEZE(avg=8.9pts)] | T=11:35(s=0.40) | SR=clear(s=0.70) | Rev=0.75 | Conf=58.3,True,False,9.75,1
20962,2023-12-18 11:20:00,short,21463.95,21473.49,21483.02,9.54,19.07,2.0,0.837,0.35,0.4,0.9,0.75,62.2,['SQUEEZE(avg=13.2pts)'],20933,20960,broke_below_sr,C Q=0.84 bars=20933-20960 | Sigs=[SQUEEZE(avg=13.2pts)] | T=11:20(s=0.40) | SR=broke_below_sr(s=0.90) | Rev=0.75 | Conf=62.2,True,False,19.07,1
21789,2024-01-03 11:30:00,short,21557.75,21567.97,21578.19,10.22,20.44,2.0,0.807,0.55,0.4,0.3,0.7,57.7,"['SQUEEZE(avg=12.2pts)', 'DOJI(x1)']",21771,21787,near_support,"C Q=0.81 bars=21771-21787 | Sigs=[SQUEEZE(avg=12.2pts), DOJI(x1)] | T=11:30(s=0.40) | SR=near_support(s=0.30) | Rev=0.70 | Conf=57.7",True,False,20.44,1
