bar_open,bar_close,direction,signal_type,confidence,entry,stop,target_1,target_2,target_3,exit_price,exit_reason,r_multiple,size,t1_hit,t2_hit
511,519,short,failed_breakout,0.45,17986.15,18018.1154,17954.1846,17982.705,17972.85,18018.1154,stop,-1.0,15.0,False,False
555,587,long,pullback,0.61,18321.05,18352.3745,18352.3745,18329.0716,21995.2516,18352.3745,stop,1.0,15.0,True,True
643,652,long,pullback,0.58,18325.5,18359.5211,18359.5211,18329.4654,21995.6454,18359.5211,stop,1.0,14.0,True,True
798,834,long,pb_after_breakout,0.85,18409.6,18323.9916,18495.2084,18414.7479,18417.3218,18389.8,time_stop,-0.231,6.0,False,False
865,882,long,failure_test,0.65,18391.2,18391.2,18406.4956,18421.7911,18437.0867,18391.2,stop,0.0,33.0,True,False
883,896,short,failed_breakout,0.45,18391.05,18368.509,18368.509,18387.52,18383.2,18383.2,target_3,0.348,22.0,True,True
897,900,short,failure_test,0.66,18323.7,18347.2409,18300.1591,18276.6181,18253.0772,18347.2409,stop,-1.0,22.0,False,False
902,938,short,failure_test,0.76,18347.05,18291.6948,18291.6948,18236.3395,18180.9843,18240.8,time_stop,1.919,9.0,True,True
1184,1186,long,failure_test,0.66,18288.55,18279.4002,18297.6998,18306.8495,18315.9993,18279.4002,stop,-1.0,59.0,False,False
1189,1194,long,failure_test,0.68,18292.2,18292.2,18308.1017,18324.0034,18339.905,18292.2,stop,0.0,32.0,True,False
1195,1200,short,failure_test,0.77,18291.25,18291.25,18265.956,18240.6621,18215.3681,18291.25,stop,0.0,20.0,True,False
1206,1242,long,failure_test,0.68,18342.95,18342.95,18368.5572,18394.1645,18419.7717,18388.1,time_stop,1.763,20.0,True,False
1248,1259,short,failure_test,0.63,18380.85,18393.4856,18368.2144,18355.5788,18342.9432,18393.4856,stop,-1.0,44.0,False,False
1260,1269,long,failure_test,0.98,18401.8,18417.3436,18417.3436,18432.8872,18448.4308,18448.4308,target_3,3.0,34.0,True,True
1270,1276,long,failure_test,0.99,18453.7,18453.7,18509.2254,18564.7508,18620.2762,18453.7,stop,0.0,11.0,True,False
1287,1323,long,failed_breakout,0.6,18477.4,18436.3452,18518.4548,18505.91,18528.8,18482.5,time_stop,0.124,15.0,False,False
1354,1390,long,failed_breakout,0.6,18535.65,18421.4514,18649.8486,18558.92,18547.1,18587.9,time_stop,0.458,5.0,False,False
