Date,Price,Open,High,Low,Vol.,Change %
04-01-2010,23.64,23.79,24.97,23.6,,1.29%
05-01-2010,22.27,22.98,23.22,22.12,,-5.80%
06-01-2010,22.12,21.77,22.55,21.77,,-0.67%
07-01-2010,22.5,22.22,22.93,22.22,,1.72%
08-01-2010,22.57,22.37,22.71,22.19,,0.31%
11-01-2010,22.68,22.63,23.05,22.39,,0.49%
12-01-2010,23.08,22.68,23.22,22.37,,1.76%
13-01-2010,21.99,22.75,23.15,21.94,,-4.72%
14-01-2010,20.98,21.31,21.53,20.92,,-4.59%
15-01-2010,21.08,20.41,21.33,20.34,,0.48%
18-01-2010,21.55,21.6,21.97,21.49,,2.23%
19-01-2010,22.34,20.68,22.48,20.65,,3.67%
20-01-2010,22.29,21.06,22.83,20.92,,-0.22%
21-01-2010,23.5,22.67,24.35,21.46,,5.43%
22-01-2010,24.85,24.26,26.27,23.82,,5.74%
25-01-2010,25.82,26.31,26.45,25.06,,3.90%
27-01-2010,28.92,26.5,28.92,26.5,,12.01%
28-01-2010,26.96,27.57,28.82,26.79,,-6.78%
29-01-2010,26.13,28.59,28.59,26,,-3.08%
01-02-2010,25.61,26.8,27.31,25.51,,-1.99%
02-02-2010,26.69,24.78,26.99,24.78,,4.22%
03-02-2010,25.54,26.06,26.08,25.41,,-4.31%
04-02-2010,27.07,25.48,27.23,25.48,,5.99%
05-02-2010,30.07,28.24,31.23,28.24,,11.08%
06-02-2010,29.22,30.21,30.21,29.14,,-2.83%
08-02-2010,30.36,29.75,31.9,29.57,,3.90%
09-02-2010,29.91,30.36,30.42,29.66,,-1.48%
10-02-2010,30.55,28.24,30.76,28.24,,2.14%
11-02-2010,28.81,28.62,29.74,28.54,,-5.70%
15-02-2010,29.68,28.3,30.57,28.3,,3.02%
16-02-2010,28.73,28.12,29.93,28.12,,-3.20%
17-02-2010,29.04,28.38,29.76,28.29,,1.08%
18-02-2010,29.76,27.6,29.96,27.6,,2.48%
19-02-2010,31.9,29.76,31.97,29.52,,7.19%
22-02-2010,32.13,30.14,32.14,28.77,,0.72%
23-02-2010,30.99,30.23,32.1,30.23,,-3.55%
24-02-2010,30.4,28.79,31.32,28.79,,-1.90%
25-02-2010,29.55,28.93,30.49,28.91,,-2.80%
26-02-2010,24.02,29.66,29.8,23.79,,-18.71%
02-03-2010,21.63,23.75,23.81,21.63,,-9.95%
03-03-2010,20.75,21.63,21.71,20.57,,-4.07%
04-03-2010,20.98,20.45,21.47,20.45,,1.11%
05-03-2010,20.74,20.69,21.16,20.2,,-1.14%
08-03-2010,20.73,20.81,21.05,20.62,,-0.05%
09-03-2010,20.8,20.48,21,20.48,,0.34%
10-03-2010,20.09,20.77,20.77,19.89,,-3.41%
11-03-2010,20.14,20.09,20.49,20.01,,0.25%
12-03-2010,19.73,20,20.26,19.62,,-2.04%
15-03-2010,20.26,20.14,20.8,20.14,,2.69%
16-03-2010,19.59,19.64,20.16,19.2,,-3.31%
17-03-2010,17.73,19.22,20.63,17.1,,-9.49%
18-03-2010,17.97,18.25,18.85,17.32,,1.35%
19-03-2010,17.75,17.46,18.67,16.71,,-1.22%
22-03-2010,19.96,20.16,20.27,18.98,,12.45%
23-03-2010,18.13,18.1,19.53,17.47,,-9.17%
25-03-2010,17.05,18.13,19.57,17.05,,-5.96%
26-03-2010,17.89,17.45,18.03,16.98,,4.93%
29-03-2010,18.73,18.39,19.04,18.27,,4.70%
30-03-2010,19.8,18.68,19.8,18.68,,5.71%
31-03-2010,19.87,19.55,20.23,19.07,,0.35%
01-04-2010,17.62,19.16,19.5,17.53,,-11.32%
05-04-2010,17.17,17.14,18.3,16.98,,-2.55%
06-04-2010,17.2,17.03,17.57,17.03,,0.17%
07-04-2010,17.32,12.6,17.8,12.6,,0.70%
08-04-2010,19.92,17.04,19.92,17.02,,15.01%
09-04-2010,18.44,18.52,18.85,18.05,,-7.43%
12-04-2010,20.05,18.6,20.73,18.54,,8.73%
13-04-2010,20.14,19.57,20.41,19.57,,0.45%
15-04-2010,21.58,18.75,21.69,18.67,,7.15%
16-04-2010,21.78,21.54,22.07,21.23,,0.93%
19-04-2010,22.66,21.78,23.32,21.78,,4.04%
20-04-2010,20.87,18.75,22.5,18.75,,-7.90%
21-04-2010,19.23,19.93,20.29,19.13,,-7.86%
