Date,Close,Open,High,Low,Vol.,Change %
2024-01-01,14.68,14.5025,14.8675,14.3275,,1.22%
2024-01-02,14.58,14.68,15.08,14.2425,,-0.68%
2024-01-03,14.0975,14.58,14.78,14.0225,,-3.31%
2024-01-04,13.33,14.0975,14.2075,13.2125,,-5.44%
2024-01-05,12.63,13.33,13.4675,12.4875,,-5.25%
2024-01-08,13.4625,12.63,13.595,12.63,,6.59%
2024-01-09,13.2625,13.4625,13.505,12.775,,-1.49%
2024-01-10,12.97,13.2625,14.5575,12.81,,-2.21%
2024-01-11,12.7675,12.97,13.19,12.63,,-1.56%
2024-01-12,13.1,12.7675,13.285,12.42,,2.60%
2024-01-15,13.785,13.1,13.885,11.7875,,5.23%
2024-01-16,13.5725,13.785,14.0425,12.485,,-1.54%
2024-01-17,15.08,13.5725,15.23,12.715,,11.11%
2024-01-18,14.07,15.08,15.705,12.98,,-6.70%
2024-01-19,13.8775,14.07,14.1125,13.6775,,-1.37%
2024-01-20,13.715,13.0975,14.2475,13.0975,,-1.17%
2024-01-23,14.8525,13.8025,15.405,12.195,,8.29%
2024-01-24,14.375,14.8525,15.6475,14.03,,-3.21%
2024-01-25,13.865,14.375,15.3375,13.36,,-3.55%
2024-01-29,15.68,13.865,15.8475,13.795,,13.09%
2024-01-30,16.1025,15.68,16.575,14.9875,,2.69%
2024-01-31,16.0475,16.1025,16.5325,15.8,,-0.34%
2024-02-01,14.455,16.0475,16.1075,14.36,,-9.92%
2024-02-02,14.6975,14.455,15.1325,14.025,,1.68%
2024-02-05,15.6175,14.6975,16.05,14.6975,,6.26%
2024-02-06,15.785,15.6175,15.9825,15.0875,,1.07%
2024-02-07,15.505,15.785,16.0175,14.74,,-1.77%
2024-02-08,15.8275,15.505,16.0275,15.2425,,2.08%
2024-02-09,15.4475,15.8275,16.3325,15.265,,-2.40%
2024-02-12,16.0625,15.4475,16.535,15.4475,,3.98%
2024-02-13,15.8075,16.0625,16.57,15.7525,,-1.59%
2024-02-14,15.435,15.8075,16.1975,15.34,,-2.36%
2024-02-15,15.225,15.435,15.6625,15.1125,,-1.36%
2024-02-16,15.2225,15.225,15.5525,14.9025,,-0.02%
2024-02-19,16.0175,15.2225,16.1175,13.7,,5.22%
2024-02-20,16.0725,16.0175,16.36,14.2125,,0.34%
2024-02-21,15.9275,16.0725,16.31,15.68,,-0.90%
2024-02-22,15.1975,15.9275,16.15,15.1325,,-4.58%
2024-02-23,14.9725,15.1975,15.4425,14.84,,-1.48%
2024-02-26,15.6,14.9725,15.96,13.7575,,4.19%
2024-02-27,15.7275,15.6,15.9975,15.53,,0.82%
2024-02-28,16.33,15.7275,16.74,15.31,,3.83%
2024-02-29,15.5725,16.33,16.5525,15.37,,-4.64%
2024-03-01,15.235,15.5725,15.6425,15,,-2.17%
2024-03-02,14.9925,14.865,15.415,13.53,,-1.59%
2024-03-04,14.9225,14.9925,15.3025,14.8225,,-0.47%
2024-03-05,14.38,14.9225,15.165,14.1775,,-3.64%
2024-03-06,14.295,14.38,14.71,13.905,,-0.59%
2024-03-07,13.6125,14.295,14.4325,13.56,,-4.77%
2024-03-11,13.995,13.6125,14.5525,13.6125,,2.81%
2024-03-12,13.6375,13.995,14.195,13.5775,,-2.55%
2024-03-13,14.4325,13.6375,15.005,13.5325,,5.83%
2024-03-14,13.6225,14.4325,14.6825,13.5225,,-5.61%
2024-03-15,13.69,13.6225,14.3325,13.59,,0.50%
2024-03-18,13.895,13.69,14.615,13.69,,1.50%
2024-03-19,14.1125,13.895,14.445,13.875,,1.57%
2024-03-20,13.4725,14.1125,14.2825,13.085,,-4.53%
2024-03-21,12.5125,13.4725,13.4725,12.3425,,-7.13%
2024-03-22,12.22,12.5125,13.0475,11.81,,-2.34%
2024-03-26,12.82,12.22,13.1025,12.085,,4.91%
2024-03-27,12.7025,12.82,13.01,12.5325,,-0.92%
2024-03-28,12.8325,12.7025,13.18,12.26,,1.02%
2024-04-01,12.0825,12.8325,13.3575,12.005,,-5.84%
2024-04-02,11.6525,12.0825,12.305,11.5975,,-3.56%
2024-04-03,11.3725,11.6525,11.8275,11.3125,,-2.40%
2024-04-04,11.22,11.3725,11.8375,10.86,,-1.34%
2024-04-05,11.3375,11.22,11.6825,11.035,,1.05%
2024-04-08,11.61,11.3375,11.7425,11.1325,,2.40%
2024-04-09,11.355,11.61,11.6125,10.6175,,-2.20%
2024-04-10,11.1075,11.355,11.355,10.985,,-2.18%
2024-04-12,11.5325,11.1075,11.605,11.1075,,3.83%
2024-04-15,12.4675,11.5325,12.7375,11.3075,,8.11%
2024-04-16,12.615,12.4675,12.925,12.34,,1.18%
2024-04-18,13.04,12.615,13.3875,12.0275,,3.37%
2024-04-19,13.4575,13.04,14.4125,11.915,,3.20%
2024-04-22,12.7,13.4575,13.4575,12.6125,,-5.63%
2024-04-23,10.195,12.7,12.7,9.8575,,-19.72%
2024-04-24,10.275,10.195,11.1325,9.945,,0.78%
2024-04-25,10.73,10.275,11.4575,10.26,,4.43%
2024-04-26,10.925,10.73,11.315,10.5875,,1.82%
2024-04-29,12.235,10.925,12.4875,10.925,,11.99%
2024-04-30,12.87,12.235,13.2125,12.235,,5.19%
2024-05-02,13.445,12.87,13.9475,12.87,,4.47%
2024-05-03,14.6175,13.445,15.3125,13.445,,8.72%
2024-05-06,16.6,14.6175,16.9625,14.6175,,13.56%
2024-05-07,17.0075,16.6,17.6425,16.6,,2.45%
2024-05-08,17.08,17.0075,18.3175,16.4625,,0.43%
2024-05-09,18.2,17.08,19.1725,17.08,,6.56%
2024-05-10,18.4725,18.2,19.0075,17.995,,1.50%
2024-05-13,20.6,18.4725,21.485,18.4725,,11.52%
2024-05-14,20.195,20.6,21.875,20.1125,,-1.97%
2024-05-15,20.2725,20.195,20.6575,19.87,,0.38%
2024-05-16,19.995,20.2725,21.1125,18.965,,-1.37%
2024-05-17,19.7975,19.995,20.3675,18.98,,-0.99%
2024-05-18,20.525,19.7975,20.945,17.3375,,3.67%
2024-05-21,21.81,20.525,22.3025,20.525,,6.26%
2024-05-22,21.4675,21.81,22.2925,18.185,,-1.57%
2024-05-23,21.38,21.4675,24.215,18.84,,-0.41%
2024-05-24,21.71,21.38,21.8975,20.59,,1.54%
2024-05-27,23.1925,21.71,26.195,18.435,,6.83%
2024-05-28,24.195,23.1925,24.475,22.025,,4.32%
2024-05-29,24.175,24.195,24.7725,23.545,,-0.08%
2024-05-30,24.175,24.175,24.52,22.7525,,0.00%
2024-05-31,24.6025,24.175,24.81,22.5975,,1.77%
2024-06-03,20.9375,24.6025,24.6025,19.115,,-14.90%
2024-06-04,26.7475,20.9375,31.71,18.8025,,27.75%
2024-06-05,18.885,26.7475,26.925,18.6575,,-29.40%
2024-06-06,16.8,18.885,18.885,16.5575,,-11.04%
2024-06-07,16.8825,16.8,17.145,16.3725,,0.49%
2024-06-10,16.3975,16.8825,17.25,16.17,,-2.87%
2024-06-11,14.765,16.3975,16.3975,14.675,,-9.96%
2024-06-12,14.3875,14.765,14.765,13.165,,-2.56%
2024-06-13,13.4875,14.3875,14.3875,13.3125,,-6.26%
2024-06-14,12.8225,13.4875,13.4875,12.655,,-4.93%
2024-06-18,12.965,12.8225,13.42,12.625,,1.11%
2024-06-19,13.7125,12.965,13.815,11.63,,5.77%
2024-06-20,13.345,13.7125,14.06,13.1025,,-2.68%
2024-06-21,13.18,13.345,13.59,12.475,,-1.24%
2024-06-24,14.0575,13.18,14.2675,13.15,,6.66%
2024-06-25,14.3125,14.0575,14.455,13.8425,,1.81%
2024-06-26,14.045,14.3125,14.5475,13.985,,-1.87%
2024-06-27,14.1525,14.045,14.61,13.915,,0.77%
2024-06-28,13.8025,14.1525,14.29,13.6875,,-2.47%
2024-07-01,13.83,13.8025,14.2275,13.7925,,0.20%
2024-07-02,13.64,13.83,14.0125,13.3225,,-1.37%
2024-07-03,13.205,13.64,13.715,12.87,,-3.19%
2024-07-04,12.855,13.205,13.205,12.2575,,-2.65%
2024-07-05,12.695,12.855,12.99,12.08,,-1.24%
