bar_index,time,open,high,low,close,candle_range,avg_range_lookback,range_std_dev,min_range_window,max_range_window,compression_ratio,compression_pct,atr,atr_pct_of_close,body_ratio,wick_ratio,candle_direction,zone_type,zone_score,is_progressive_squeeze,prior_trend,price_vs_sma20,resistance_level,support_level,range_above_support,range_below_resist,volume_ratio_vs_avg,candles_to_breakout,breakout_direction,breakout_magnitude,max_move_next_5,max_move_next_10
14,06-12-2024 10:25,24703.3,24734.7,24701.85,24721.15,32.85,49.795,32.6274,14.65,104.5,0.6597,66.0%,52.6673,0.21%,0.543,0.457,Bullish,Mild Contraction,14.5,False,Uptrend,Below SMA20,24751.05,24620.5,100.65,29.9,N/A,,,,34.4,34.4
17,06-12-2024 10:40,24695.05,24728.35,24693.7,24724.3,34.65,51.65,31.3146,14.65,104.5,0.6709,67.1%,45.7022,0.18%,0.844,0.156,Bullish,Mild Contraction,13.6,False,Uptrend,Below SMA20,24751.05,24620.5,103.8,26.75,N/A,,,,27.3,56.35
20,06-12-2024 10:55,24701.45,24718.55,24701.45,24712.3,17.1,45.285,31.0352,15.7,104.5,0.3776,37.8%,36.7726,0.15%,0.635,0.365,Bullish,Moderate Contraction,42.0,False,Uptrend,Above SMA20,24734.7,24620.5,91.8,22.4,N/A,2,Upside Breakout,13.3,35.7,44.35
25,06-12-2024 11:20,24697.0,24701.6,24689.4,24689.8,12.2,25.955,9.0895,15.7,40.3,0.47,47.0%,29.2106,0.12%,0.59,0.41,Bearish,Moderate Contraction,40.7,False,Downtrend,Below SMA20,24748.0,24686.75,3.05,58.2,N/A,1,Downside Breakdown,18.8,21.85,26.75
29,06-12-2024 11:40,24684.05,24689.85,24679.8,24687.85,10.05,21.29,8.4012,12.2,37.9,0.4721,47.2%,23.2505,0.09%,0.378,0.622,Bullish,Moderate Contraction,39.7,False,Downtrend,Below SMA20,24748.0,24667.95,19.9,60.15,N/A,,,,28.7,28.85
33,06-12-2024 12:00,24706.8,24716.55,24705.0,24712.45,11.55,19.56,9.9016,10.0,37.9,0.5905,59.0%,20.9708,0.08%,0.489,0.511,Bullish,Mild Contraction,27.1,False,Uptrend,Above SMA20,24740.05,24667.95,44.5,27.6,N/A,,,,30.75,30.75
41,06-12-2024 12:40,24709.9,24714.85,24707.4,24710.8,7.45,16.045,7.003,10.0,32.15,0.4643,46.4%,15.7762,0.06%,0.121,0.879,Bullish,Moderate Contraction,39.6,False,Uptrend,Above SMA20,24716.7,24668.15,42.65,5.9,N/A,2,Upside Breakout,6.25,13.6,29.15
54,06-12-2024 13:45,24687.85,24699.0,24687.65,24691.45,11.35,17.405,6.944,11.25,32.2,0.6521,65.2%,17.3958,0.07%,0.317,0.683,Bullish,Mild Contraction,26.8,False,Downtrend,Below SMA20,24721.6,24669.3,22.15,30.15,N/A,9,Downside Breakdown,9.1,16.7,31.65
59,06-12-2024 14:10,24691.1,24695.1,24683.5,24692.85,11.6,18.225,6.8988,11.25,32.2,0.6365,63.6%,15.968,0.06%,0.151,0.849,Bullish,Mild Contraction,27.4,False,Uptrend,Below SMA20,24703.25,24669.3,23.55,10.4,N/A,4,Downside Breakdown,9.1,33.05,34.6
73,06-12-2024 15:20,24675.15,24676.6,24661.55,24666.65,15.05,21.755,4.8829,13.3,32.75,0.6918,69.2%,19.7529,0.08%,0.565,0.435,Bearish,Mild Contraction,23.2,False,Uptrend,Below SMA20,24695.4,24658.25,8.4,28.75,N/A,2,Downside Breakdown,36.4,44.8,57.0
